Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe803h-il-1000000
Airfoil,goe803h-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,128.654
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-goe803h-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.2533,0.10504,0.10342,-0.0244,1.0000,0.0133
-8.250,-0.2491,0.10268,0.10108,-0.0244,1.0000,0.0139
-8.000,-0.2454,0.10031,0.09873,-0.0247,0.9999,0.0143
-7.750,-0.1047,0.07682,0.07528,-0.0497,0.9582,0.0145
-7.500,-0.0812,0.07215,0.07058,-0.0536,0.9413,0.0147
-7.250,-0.0645,0.06879,0.06709,-0.0563,0.9134,0.0148
-7.000,-0.0554,0.06629,0.06450,-0.0571,0.8922,0.0150
-6.750,-0.0467,0.06382,0.06197,-0.0579,0.8760,0.0153
-6.500,-0.0378,0.06128,0.05939,-0.0588,0.8614,0.0156
-6.250,-0.0270,0.05854,0.05660,-0.0604,0.8475,0.0162
-6.000,-0.0137,0.05552,0.05353,-0.0629,0.8328,0.0169
-5.750,0.0056,0.05193,0.04987,-0.0685,0.8186,0.0175
-5.500,0.0265,0.04831,0.04619,-0.0742,0.8057,0.0175
-5.250,0.0491,0.04469,0.04251,-0.0796,0.7923,0.0176
-5.000,0.0681,0.04062,0.03837,-0.0832,0.7796,0.0177
-4.750,0.0842,0.03806,0.03576,-0.0840,0.7675,0.0179
-4.500,0.1057,0.03551,0.03314,-0.0867,0.7567,0.0181
-4.250,0.1308,0.03281,0.03040,-0.0905,0.7471,0.0184
-4.000,0.1579,0.03014,0.02767,-0.0947,0.7376,0.0190
-3.750,0.2038,0.02618,0.02359,-0.1049,0.7295,0.0210
-3.500,0.2456,0.02259,0.01988,-0.1128,0.7209,0.0211
-3.250,0.2776,0.01898,0.01617,-0.1180,0.7117,0.0214
-3.000,0.3035,0.01735,0.01448,-0.1198,0.7014,0.0217
-2.750,0.3330,0.01579,0.01284,-0.1225,0.6915,0.0222
-2.500,0.3677,0.01395,0.01091,-0.1264,0.6832,0.0231
-2.250,0.4227,0.01110,0.00780,-0.1344,0.6773,0.0252
-2.000,0.4583,0.00882,0.00538,-0.1386,0.6709,0.0259
-1.750,0.4877,0.00804,0.00453,-0.1401,0.6629,0.0265
-1.500,0.5207,0.00715,0.00352,-0.1422,0.6556,0.0276
-1.250,0.5651,0.00588,0.00190,-0.1456,0.6487,0.0300
-1.000,0.6407,0.00972,0.00436,-0.1605,0.6539,0.0257
-0.500,0.6993,0.00887,0.00327,-0.1609,0.6349,0.0269
-0.250,0.7278,0.00874,0.00307,-0.1609,0.6249,0.0280
0.000,0.7564,0.00854,0.00277,-0.1609,0.6135,0.0292
0.250,0.7850,0.00839,0.00255,-0.1608,0.6017,0.0300
0.500,0.8138,0.00814,0.00223,-0.1609,0.5892,0.0318
0.750,0.8418,0.00815,0.00220,-0.1607,0.5749,0.0334
1.000,0.8696,0.00818,0.00215,-0.1605,0.5588,0.0353
1.250,0.8974,0.00819,0.00212,-0.1604,0.5415,0.0384
1.500,0.9247,0.00832,0.00219,-0.1601,0.5235,0.0417
1.750,0.9522,0.00837,0.00216,-0.1600,0.5029,0.0457
2.000,0.9789,0.00856,0.00224,-0.1596,0.4741,0.0493
2.250,1.0054,0.00876,0.00227,-0.1593,0.4380,0.0528
2.500,1.0313,0.00905,0.00239,-0.1590,0.3960,0.0564
2.750,1.0568,0.00942,0.00255,-0.1585,0.3546,0.0593
3.000,1.0826,0.00972,0.00269,-0.1581,0.3224,0.0620
3.250,1.1090,0.00995,0.00280,-0.1578,0.2995,0.0658
3.500,1.1354,0.01016,0.00293,-0.1575,0.2832,0.0694
3.750,1.1620,0.01033,0.00306,-0.1572,0.2714,0.0724
4.000,1.1888,0.01049,0.00320,-0.1569,0.2616,0.0829
4.250,1.2141,0.00950,0.00365,-0.1569,0.2528,1.0000
4.500,1.2407,0.00969,0.00379,-0.1565,0.2463,1.0000
4.750,1.2671,0.00989,0.00394,-0.1562,0.2399,1.0000
5.000,1.2933,0.01012,0.00413,-0.1558,0.2341,1.0000
5.250,1.3199,0.01027,0.00428,-0.1555,0.2305,1.0000
5.500,1.3460,0.01047,0.00446,-0.1551,0.2257,1.0000
5.750,1.3717,0.01073,0.00468,-0.1547,0.2198,1.0000
6.000,1.3981,0.01088,0.00485,-0.1544,0.2166,1.0000
6.250,1.4242,0.01107,0.00503,-0.1540,0.2125,1.0000
6.500,1.4497,0.01130,0.00525,-0.1536,0.2074,1.0000
6.750,1.4753,0.01152,0.00547,-0.1531,0.2023,1.0000
7.000,1.5010,0.01172,0.00566,-0.1527,0.1961,1.0000
7.250,1.5258,0.01200,0.00591,-0.1522,0.1885,1.0000
7.500,1.5511,0.01223,0.00613,-0.1517,0.1801,1.0000
7.750,1.5749,0.01259,0.00642,-0.1511,0.1639,1.0000
8.000,1.5943,0.01344,0.00699,-0.1498,0.1253,1.0000
8.250,1.6134,0.01429,0.00765,-0.1484,0.0989,1.0000
8.500,1.6292,0.01547,0.00855,-0.1466,0.0597,1.0000
8.750,1.6485,0.01624,0.00923,-0.1452,0.0468,1.0000
9.000,1.6696,0.01680,0.00978,-0.1441,0.0422,1.0000
9.250,1.6916,0.01722,0.01023,-0.1432,0.0410,1.0000
9.500,1.7129,0.01769,0.01074,-0.1421,0.0398,1.0000
