Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-gu255118-il-50000
Airfoil,gu255118-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,3.93433
Max Cl/Cd alpha,13
Url,http://airfoiltools.com/polar/csv?polar=xf-gu255118-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.250,-0.3713,0.16314,0.15875,-0.0232,0.9716,0.2330
-7.000,-0.3670,0.16128,0.15688,-0.0230,0.9683,0.2426
-6.750,-0.4152,0.16072,0.15639,-0.0228,0.9650,0.2468
-6.500,-0.3696,0.15647,0.15207,-0.0228,0.9586,0.2590
-6.250,-0.3793,0.15455,0.15018,-0.0233,0.9560,0.2671
-6.000,-0.3830,0.15216,0.14779,-0.0214,0.9512,0.2780
-5.750,-0.3770,0.14938,0.14501,-0.0209,0.9453,0.2885
-5.500,-0.4213,0.14804,0.14375,-0.0200,0.9424,0.2979
-5.250,-0.4071,0.14588,0.14155,-0.0193,0.9393,0.3144
-5.000,-0.5545,0.13872,0.13424,-0.0075,0.9675,0.3016
-4.500,-0.5729,0.13371,0.12925,-0.0065,0.9561,0.3338
-4.250,-0.5821,0.13085,0.12641,-0.0038,0.9510,0.3506
-4.000,-0.5507,0.12870,0.12425,0.0000,0.9459,0.3752
-3.750,-0.5477,0.12686,0.12241,0.0021,0.9415,0.4060
-3.500,-0.5540,0.12491,0.12048,0.0061,0.9371,0.4328
-3.250,-0.4309,0.12732,0.12314,0.0011,0.8990,0.4689
-3.000,-0.4181,0.12563,0.12144,0.0033,0.8946,0.5037
-2.750,-0.4868,0.12059,0.11613,0.0163,0.9248,0.5672
-2.000,-0.4540,0.08524,0.07756,-0.0393,0.9035,0.1765
-1.750,-0.4298,0.08240,0.07396,-0.0393,0.8975,0.1607
-1.500,-0.4045,0.08108,0.07233,-0.0397,0.8938,0.1577
-1.000,-0.3690,0.07775,0.06804,-0.0372,0.8845,0.1491
-0.750,-0.3417,0.07756,0.06708,-0.0368,0.8793,0.1454
-0.500,-0.3115,0.07791,0.06705,-0.0374,0.8763,0.1453
-0.250,-0.3006,0.07636,0.06535,-0.0354,0.8716,0.1470
0.000,-0.2805,0.07579,0.06468,-0.0349,0.8656,0.1499
0.250,-0.2511,0.07644,0.06512,-0.0356,0.8616,0.1540
0.500,-0.2157,0.07825,0.06665,-0.0371,0.8593,0.1583
0.750,-0.2106,0.07628,0.06452,-0.0343,0.8521,0.1611
1.000,-0.1807,0.07695,0.06521,-0.0355,0.8474,0.1712
1.250,-0.1444,0.07861,0.06680,-0.0377,0.8445,0.1873
1.500,-0.1236,0.07904,0.06723,-0.0376,0.8413,0.2048
