Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hobie-il-500000
Airfoil,hobie-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,100.537
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-hobie-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.3825,0.08869,0.08637,-0.0313,1.0000,0.0298
-8.500,-0.3822,0.08569,0.08341,-0.0320,1.0000,0.0307
-8.250,-0.5811,0.02605,0.02263,-0.0719,0.9995,0.0216
-8.000,-0.5512,0.02046,0.01622,-0.0765,0.9965,0.0230
-7.750,-0.5132,0.02073,0.01656,-0.0787,0.9944,0.0239
-7.500,-0.4775,0.02065,0.01643,-0.0805,0.9913,0.0252
-7.250,-0.4428,0.01905,0.01447,-0.0827,0.9880,0.0271
-7.000,-0.4068,0.01770,0.01292,-0.0852,0.9853,0.0288
-6.750,-0.3672,0.01792,0.01316,-0.0876,0.9833,0.0302
-6.500,-0.3347,0.01735,0.01244,-0.0887,0.9780,0.0323
-6.250,-0.2993,0.01629,0.01114,-0.0906,0.9745,0.0348
-6.000,-0.2616,0.01627,0.01115,-0.0928,0.9721,0.0364
-5.750,-0.2234,0.01592,0.01074,-0.0950,0.9704,0.0388
-5.500,-0.1917,0.01584,0.01050,-0.0956,0.9637,0.0412
-5.250,-0.1580,0.01443,0.00899,-0.0973,0.9592,0.0441
-5.000,-0.1240,0.01403,0.00856,-0.0986,0.9540,0.0464
-4.750,-0.0929,0.01370,0.00814,-0.0991,0.9454,0.0492
-4.500,-0.0609,0.01353,0.00787,-0.0997,0.9365,0.0511
-4.250,-0.0308,0.01214,0.00633,-0.1003,0.9264,0.0538
-4.000,-0.0029,0.01159,0.00575,-0.1002,0.9124,0.0561
-3.750,0.0248,0.01116,0.00525,-0.1000,0.8981,0.0580
-3.500,0.0521,0.01082,0.00483,-0.0997,0.8839,0.0601
-3.250,0.0793,0.01050,0.00442,-0.0993,0.8697,0.0617
-3.000,0.1063,0.01023,0.00406,-0.0989,0.8556,0.0627
-2.750,0.1333,0.01010,0.00384,-0.0984,0.8415,0.0636
-2.500,0.1592,0.00949,0.00315,-0.0979,0.8278,0.0655
-2.250,0.1856,0.00917,0.00275,-0.0975,0.8144,0.0670
-2.000,0.2122,0.00895,0.00247,-0.0970,0.8008,0.0687
-1.750,0.2389,0.00879,0.00225,-0.0966,0.7878,0.0705
-1.500,0.2658,0.00866,0.00206,-0.0962,0.7759,0.0728
-1.250,0.2929,0.00856,0.00191,-0.0959,0.7641,0.0748
-1.000,0.3199,0.00848,0.00177,-0.0955,0.7525,0.0764
-0.750,0.3470,0.00842,0.00165,-0.0952,0.7410,0.0790
-0.500,0.3740,0.00834,0.00154,-0.0948,0.7295,0.0851
-0.250,0.4007,0.00807,0.00148,-0.0945,0.7179,0.1512
0.000,0.4272,0.00786,0.00152,-0.0943,0.7063,0.2465
0.250,0.4538,0.00771,0.00153,-0.0939,0.6943,0.2997
0.500,0.4803,0.00761,0.00156,-0.0936,0.6816,0.3713
0.750,0.5064,0.00747,0.00160,-0.0932,0.6678,0.4412
1.000,0.5309,0.00710,0.00169,-0.0926,0.6531,0.6106
1.250,0.5647,0.00631,0.00172,-0.0935,0.6349,1.0000
1.500,0.5907,0.00644,0.00174,-0.0929,0.6119,1.0000
1.750,0.6163,0.00660,0.00177,-0.0923,0.5866,1.0000
2.000,0.6419,0.00679,0.00183,-0.0917,0.5633,1.0000
2.250,0.6679,0.00697,0.00190,-0.0912,0.5431,1.0000
2.500,0.6938,0.00715,0.00200,-0.0907,0.5235,1.0000
2.750,0.7195,0.00736,0.00211,-0.0902,0.5034,1.0000
3.000,0.7451,0.00758,0.00222,-0.0897,0.4803,1.0000
3.250,0.7709,0.00778,0.00235,-0.0892,0.4611,1.0000
3.500,0.7967,0.00800,0.00250,-0.0887,0.4446,1.0000
3.750,0.8225,0.00821,0.00265,-0.0883,0.4299,1.0000
4.000,0.8478,0.00846,0.00283,-0.0878,0.4129,1.0000
4.250,0.8733,0.00870,0.00302,-0.0873,0.3939,1.0000
4.500,0.8988,0.00894,0.00319,-0.0868,0.3683,1.0000
4.750,0.9225,0.00934,0.00339,-0.0860,0.3221,1.0000
5.250,0.9654,0.01066,0.00415,-0.0840,0.2170,1.0000
5.500,0.9889,0.01112,0.00454,-0.0833,0.1981,1.0000
5.750,1.0120,0.01162,0.00490,-0.0825,0.1611,1.0000
6.000,1.0275,0.01296,0.00569,-0.0808,0.0694,1.0000
6.250,1.0491,0.01363,0.00633,-0.0797,0.0584,1.0000
6.500,1.0725,0.01406,0.00680,-0.0789,0.0528,1.0000
6.750,1.0932,0.01478,0.00754,-0.0777,0.0460,1.0000
7.000,1.1166,0.01517,0.00796,-0.0770,0.0416,1.0000
7.250,1.1360,0.01597,0.00877,-0.0756,0.0366,1.0000
7.500,1.1590,0.01637,0.00921,-0.0748,0.0340,1.0000
7.750,1.1805,0.01690,0.00975,-0.0738,0.0313,1.0000
8.000,1.1967,0.01791,0.01080,-0.0720,0.0287,1.0000
8.250,1.2182,0.01838,0.01134,-0.0709,0.0270,1.0000
8.500,1.2381,0.01896,0.01195,-0.0697,0.0253,1.0000
8.750,1.2551,0.01975,0.01277,-0.0681,0.0239,1.0000
9.000,1.2643,0.02121,0.01430,-0.0654,0.0225,1.0000
