Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hor04-il-500000
Airfoil,hor04-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,61.2305
Max Cl/Cd alpha,1.5
Url,http://airfoiltools.com/polar/csv?polar=xf-hor04-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.6434,0.10861,0.10642,0.0286,1.0000,0.0097
-8.250,-0.6409,0.10429,0.10211,0.0280,1.0000,0.0100
-8.000,-0.6364,0.10060,0.09843,0.0271,1.0000,0.0101
-7.750,-0.6324,0.09700,0.09485,0.0256,1.0000,0.0103
-7.500,-0.6268,0.09325,0.09111,0.0231,1.0000,0.0105
-7.250,-0.6172,0.08912,0.08699,0.0193,1.0000,0.0107
-7.000,-0.6053,0.08475,0.08262,0.0148,1.0000,0.0110
-6.750,-0.5907,0.08013,0.07798,0.0095,1.0000,0.0113
-6.500,-0.5732,0.07524,0.07307,0.0036,1.0000,0.0118
-6.250,-0.5525,0.07011,0.06790,-0.0026,1.0000,0.0125
-6.000,-0.5276,0.06471,0.06243,-0.0092,1.0000,0.0135
-5.750,-0.4876,0.05984,0.05740,-0.0170,1.0000,0.0152
-5.500,-0.4579,0.05530,0.05270,-0.0213,1.0000,0.0155
-5.250,-0.4297,0.05072,0.04792,-0.0248,1.0000,0.0156
-5.000,-0.4009,0.04639,0.04337,-0.0277,1.0000,0.0156
-4.750,-0.3764,0.03733,0.03403,-0.0329,1.0000,0.0167
-4.500,-0.3494,0.03417,0.03073,-0.0347,1.0000,0.0174
-4.250,-0.3206,0.03128,0.02766,-0.0363,1.0000,0.0182
-4.000,-0.2904,0.02850,0.02466,-0.0378,1.0000,0.0193
-3.750,-0.2589,0.02587,0.02178,-0.0389,1.0000,0.0209
-3.500,-0.2266,0.02409,0.01972,-0.0393,1.0000,0.0238
-3.250,-0.1951,0.02394,0.01929,-0.0390,1.0000,0.0253
-3.000,-0.1634,0.02167,0.01670,-0.0398,1.0000,0.0254
-2.250,-0.0682,0.01311,0.00730,-0.0421,1.0000,0.0235
-2.000,-0.0379,0.01135,0.00538,-0.0423,1.0000,0.0216
-1.750,-0.0083,0.01019,0.00413,-0.0424,1.0000,0.0214
-1.500,0.0212,0.00938,0.00328,-0.0426,1.0000,0.0230
-1.250,0.0508,0.00868,0.00253,-0.0430,1.0000,0.0275
-1.000,0.0796,0.00837,0.00225,-0.0432,1.0000,0.0367
-0.750,0.1086,0.00798,0.00187,-0.0434,1.0000,0.0481
-0.500,0.1375,0.00624,0.00162,-0.0447,1.0000,0.5361
-0.250,0.1542,0.00478,0.00145,-0.0419,1.0000,1.0000
0.000,0.1824,0.00482,0.00144,-0.0420,1.0000,1.0000
0.250,0.2106,0.00486,0.00146,-0.0421,1.0000,1.0000
0.500,0.2388,0.00492,0.00150,-0.0422,1.0000,1.0000
0.750,0.2735,0.00498,0.00156,-0.0438,0.9907,1.0000
1.000,0.3092,0.00515,0.00164,-0.0450,0.9213,1.0000
1.250,0.3295,0.00542,0.00168,-0.0426,0.8488,1.0000
1.500,0.3533,0.00577,0.00172,-0.0413,0.7717,1.0000
1.750,0.3788,0.00625,0.00179,-0.0406,0.6711,1.0000
2.000,0.4058,0.00672,0.00190,-0.0404,0.5895,1.0000
2.250,0.4335,0.00714,0.00203,-0.0405,0.5047,1.0000
2.500,0.4605,0.00844,0.00232,-0.0411,0.2534,1.0000
2.750,0.4883,0.00975,0.00281,-0.0418,0.0673,1.0000
3.000,0.5166,0.01016,0.00322,-0.0420,0.0539,1.0000
3.250,0.5448,0.01070,0.00375,-0.0421,0.0456,1.0000
3.500,0.5729,0.01116,0.00427,-0.0422,0.0425,1.0000
3.750,0.6009,0.01157,0.00472,-0.0422,0.0384,1.0000
4.000,0.6283,0.01262,0.00580,-0.0423,0.0324,1.0000
4.250,0.6561,0.01282,0.00609,-0.0423,0.0298,1.0000
4.500,0.6839,0.01325,0.00657,-0.0423,0.0258,1.0000
4.750,0.7105,0.01468,0.00809,-0.0422,0.0208,1.0000
5.000,0.7384,0.01491,0.00838,-0.0421,0.0178,1.0000
5.250,0.7656,0.01563,0.00917,-0.0420,0.0156,1.0000
5.500,0.7913,0.01853,0.01235,-0.0417,0.0135,1.0000
5.750,0.8176,0.02156,0.01584,-0.0412,0.0129,1.0000
6.000,0.8419,0.02628,0.02117,-0.0407,0.0130,1.0000
6.250,0.8663,0.02935,0.02465,-0.0401,0.0126,1.0000
6.500,0.8887,0.03356,0.02934,-0.0395,0.0120,1.0000
6.750,0.9022,0.04138,0.03778,-0.0389,0.0127,1.0000
14.000,0.7245,0.17461,0.17260,-0.0732,0.0131,1.0000
14.250,0.7257,0.17760,0.17559,-0.0744,0.0130,1.0000
