Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hq2010-il-50000
Airfoil,hq2010-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,35.7874
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-hq2010-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4139,0.09927,0.09254,-0.0138,1.0000,0.2971
-8.250,-0.4101,0.09621,0.08954,-0.0133,1.0000,0.3118
-8.000,-0.4077,0.09334,0.08673,-0.0127,1.0000,0.3276
-7.750,-0.4168,0.09151,0.08503,-0.0119,1.0000,0.3450
-7.500,-0.3967,0.08750,0.08101,-0.0099,1.0000,0.3701
-6.000,-0.4992,0.05161,0.04447,-0.0418,1.0000,0.1320
-5.750,-0.4888,0.04719,0.03980,-0.0411,1.0000,0.1244
-5.500,-0.4756,0.04307,0.03498,-0.0407,1.0000,0.1173
-5.250,-0.4601,0.03978,0.03121,-0.0398,1.0000,0.1174
-5.000,-0.4422,0.03690,0.02762,-0.0389,1.0000,0.1198
-4.750,-0.4231,0.03400,0.02466,-0.0379,1.0000,0.1239
-4.500,-0.4013,0.03154,0.02179,-0.0369,1.0000,0.1290
-4.250,-0.3800,0.02951,0.01951,-0.0359,1.0000,0.1412
-4.000,-0.3570,0.02753,0.01730,-0.0347,1.0000,0.1537
-3.750,-0.3343,0.02602,0.01553,-0.0335,1.0000,0.1755
-3.500,-0.3122,0.02445,0.01412,-0.0321,1.0000,0.2008
-3.250,-0.2901,0.02293,0.01280,-0.0308,1.0000,0.2410
-3.000,-0.2689,0.02032,0.01145,-0.0298,1.0000,0.3790
-2.750,-0.2793,0.01973,0.01256,-0.0182,1.0000,0.7293
-2.500,-0.2845,0.01983,0.01274,-0.0086,1.0000,0.8230
-2.250,-0.1077,0.02086,0.01263,-0.0276,1.0000,1.0000
-2.000,-0.1205,0.02045,0.01217,-0.0234,1.0000,1.0000
-1.750,-0.1330,0.02000,0.01166,-0.0192,1.0000,1.0000
-1.500,-0.1395,0.01961,0.01115,-0.0158,1.0000,1.0000
-1.250,-0.1312,0.01947,0.01079,-0.0146,1.0000,1.0000
-1.000,-0.1147,0.01952,0.01057,-0.0146,1.0000,1.0000
-0.750,-0.0950,0.01970,0.01049,-0.0148,1.0000,1.0000
-0.500,-0.0742,0.01996,0.01052,-0.0152,1.0000,1.0000
-0.250,-0.0532,0.02028,0.01063,-0.0155,1.0000,1.0000
0.000,-0.0322,0.02066,0.01080,-0.0157,1.0000,1.0000
0.250,-0.0113,0.02109,0.01106,-0.0160,1.0000,1.0000
0.500,0.0092,0.02156,0.01139,-0.0162,1.0000,1.0000
0.750,0.0296,0.02208,0.01178,-0.0163,1.0000,1.0000
1.000,0.0496,0.02265,0.01221,-0.0165,1.0000,1.0000
1.250,0.0693,0.02326,0.01273,-0.0167,1.0000,1.0000
1.500,0.0887,0.02392,0.01332,-0.0168,1.0000,1.0000
1.750,0.1077,0.02463,0.01397,-0.0170,1.0000,1.0000
2.000,0.1537,0.02601,0.01531,-0.0223,0.9865,1.0000
2.250,0.2097,0.02757,0.01686,-0.0291,0.9679,1.0000
2.500,0.2642,0.02877,0.01810,-0.0352,0.9440,1.0000
2.750,0.3159,0.02977,0.01917,-0.0403,0.9198,1.0000
3.000,0.3716,0.03068,0.02018,-0.0457,0.8982,1.0000
3.250,0.4113,0.03133,0.02097,-0.0482,0.8752,1.0000
3.500,0.4586,0.03189,0.02169,-0.0516,0.8529,1.0000
3.750,0.5088,0.03219,0.02217,-0.0549,0.8298,1.0000
4.000,0.5507,0.03236,0.02258,-0.0566,0.8045,1.0000
4.250,0.6002,0.03211,0.02259,-0.0587,0.7787,1.0000
4.500,0.6513,0.03141,0.02216,-0.0601,0.7524,1.0000
4.750,0.6983,0.03040,0.02146,-0.0602,0.7244,1.0000
5.000,0.7423,0.02915,0.02046,-0.0594,0.6940,1.0000
5.250,0.7865,0.02760,0.01912,-0.0580,0.6615,1.0000
5.500,0.8195,0.02668,0.01836,-0.0557,0.6234,1.0000
5.750,0.8509,0.02589,0.01758,-0.0533,0.5827,1.0000
6.000,0.8781,0.02548,0.01710,-0.0507,0.5394,1.0000
6.250,0.9019,0.02545,0.01692,-0.0481,0.4941,1.0000
6.500,0.9226,0.02578,0.01709,-0.0456,0.4472,1.0000
6.750,0.9405,0.02657,0.01765,-0.0430,0.3977,1.0000
7.000,0.9570,0.02780,0.01860,-0.0405,0.3454,1.0000
7.250,0.9731,0.02945,0.01985,-0.0382,0.2922,1.0000
7.500,0.9901,0.03158,0.02176,-0.0363,0.2464,1.0000
7.750,1.0111,0.03389,0.02400,-0.0349,0.2146,1.0000
8.000,1.0301,0.03589,0.02601,-0.0336,0.1908,1.0000
8.250,1.0513,0.03829,0.02865,-0.0324,0.1746,1.0000
8.500,1.0715,0.04106,0.03166,-0.0313,0.1628,1.0000
8.750,1.0884,0.04352,0.03431,-0.0299,0.1507,1.0000
9.000,1.1099,0.04646,0.03726,-0.0292,0.1412,1.0000
9.250,1.1135,0.05054,0.04212,-0.0266,0.1375,1.0000
9.500,1.1332,0.05371,0.04522,-0.0259,0.1281,1.0000
9.750,1.1231,0.05780,0.05007,-0.0227,0.1250,1.0000
10.000,1.1129,0.06234,0.05510,-0.0203,0.1229,1.0000
10.250,1.0986,0.06720,0.06034,-0.0181,0.1225,1.0000
10.500,1.0774,0.07211,0.06554,-0.0163,0.1233,1.0000
10.750,1.0521,0.07684,0.07043,-0.0147,0.1246,1.0000
11.000,1.0276,0.08211,0.07582,-0.0146,0.1259,1.0000
11.250,1.0065,0.08807,0.08185,-0.0157,0.1271,1.0000
11.500,0.9907,0.09464,0.08845,-0.0176,0.1280,1.0000
