Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hq259b-il-500000
Airfoil,hq259b-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,105.698
Max Cl/Cd alpha,2.75
Url,http://airfoiltools.com/polar/csv?polar=xf-hq259b-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.3465,0.08574,0.08354,-0.0378,1.0000,0.0214
-9.500,-0.3490,0.08112,0.07894,-0.0393,1.0000,0.0215
-9.250,-0.3520,0.07654,0.07439,-0.0406,1.0000,0.0215
-9.000,-0.3657,0.07014,0.06803,-0.0412,1.0000,0.0221
-8.750,-0.3688,0.06645,0.06436,-0.0416,1.0000,0.0223
-8.500,-0.3692,0.06378,0.06173,-0.0411,1.0000,0.0227
-8.250,-0.3817,0.05929,0.05728,-0.0421,1.0000,0.0226
-8.000,-0.4071,0.05586,0.05393,-0.0409,1.0000,0.0225
-7.750,-0.4759,0.06174,0.05951,-0.0503,0.9986,0.0215
-7.500,-0.4665,0.05215,0.04976,-0.0599,0.9933,0.0223
-7.250,-0.4432,0.04867,0.04620,-0.0642,0.9888,0.0229
-7.000,-0.4160,0.04493,0.04230,-0.0688,0.9853,0.0238
-6.750,-0.3874,0.04046,0.03759,-0.0734,0.9815,0.0257
-6.500,-0.3521,0.03732,0.03384,-0.0763,0.9760,0.0283
-5.750,-0.2700,0.01787,0.01265,-0.0837,0.9631,0.0230
-5.500,-0.2376,0.01628,0.01086,-0.0850,0.9592,0.0236
-5.250,-0.2041,0.01545,0.00994,-0.0863,0.9559,0.0250
-5.000,-0.1768,0.01443,0.00877,-0.0862,0.9483,0.0261
-4.750,-0.1468,0.01335,0.00756,-0.0866,0.9431,0.0268
-4.500,-0.1191,0.01259,0.00668,-0.0864,0.9363,0.0276
-4.250,-0.0911,0.01209,0.00610,-0.0863,0.9298,0.0283
-4.000,-0.0655,0.01088,0.00483,-0.0861,0.9230,0.0304
-3.750,-0.0389,0.01039,0.00431,-0.0858,0.9158,0.0321
-3.500,-0.0116,0.01000,0.00386,-0.0856,0.9097,0.0341
-3.250,0.0153,0.00967,0.00349,-0.0854,0.9027,0.0363
-3.000,0.0424,0.00922,0.00297,-0.0852,0.8959,0.0406
-2.750,0.0689,0.00897,0.00269,-0.0847,0.8865,0.0473
-2.500,0.0956,0.00855,0.00231,-0.0844,0.8777,0.0711
-2.250,0.1218,0.00790,0.00205,-0.0844,0.8700,0.1884
-2.000,0.1461,0.00678,0.00191,-0.0845,0.8625,0.4910
-1.750,0.1726,0.00656,0.00188,-0.0841,0.8555,0.5744
-1.500,0.1994,0.00647,0.00190,-0.0837,0.8483,0.6240
-1.250,0.2262,0.00644,0.00191,-0.0833,0.8411,0.6659
-1.000,0.2531,0.00642,0.00192,-0.0828,0.8337,0.6958
-0.750,0.2800,0.00639,0.00191,-0.0824,0.8265,0.7170
-0.500,0.3068,0.00638,0.00194,-0.0820,0.8202,0.7424
-0.250,0.3334,0.00636,0.00196,-0.0815,0.8136,0.7647
0.000,0.3608,0.00635,0.00195,-0.0812,0.8075,0.7770
0.250,0.3881,0.00633,0.00196,-0.0809,0.8004,0.7884
0.500,0.4154,0.00634,0.00195,-0.0807,0.7938,0.8003
0.750,0.4425,0.00633,0.00197,-0.0804,0.7859,0.8131
1.250,0.4961,0.00631,0.00200,-0.0796,0.7695,0.8404
1.500,0.5225,0.00630,0.00202,-0.0791,0.7605,0.8559
1.750,0.5482,0.00629,0.00204,-0.0784,0.7506,0.8728
2.000,0.5732,0.00624,0.00205,-0.0776,0.7387,0.8930
2.250,0.5975,0.00617,0.00204,-0.0765,0.7252,0.9206
2.500,0.6311,0.00611,0.00200,-0.0775,0.7033,0.9739
2.750,0.6585,0.00623,0.00198,-0.0774,0.6636,1.0000
3.000,0.6827,0.00649,0.00200,-0.0766,0.5974,1.0000
3.250,0.7039,0.00706,0.00216,-0.0754,0.5139,1.0000
3.500,0.7269,0.00760,0.00241,-0.0746,0.4571,1.0000
3.750,0.7514,0.00800,0.00264,-0.0741,0.4185,1.0000
4.000,0.7767,0.00833,0.00286,-0.0738,0.3910,1.0000
4.250,0.8022,0.00865,0.00307,-0.0734,0.3658,1.0000
4.500,0.8273,0.00899,0.00331,-0.0731,0.3379,1.0000
4.750,0.8522,0.00934,0.00354,-0.0726,0.3075,1.0000
5.000,0.8772,0.00969,0.00378,-0.0723,0.2797,1.0000
5.250,0.9015,0.01010,0.00405,-0.0718,0.2433,1.0000
5.500,0.9246,0.01066,0.00439,-0.0711,0.1958,1.0000
5.750,0.9463,0.01137,0.00483,-0.0703,0.1436,1.0000
6.000,0.9687,0.01203,0.00529,-0.0696,0.1087,1.0000
6.250,0.9917,0.01260,0.00576,-0.0690,0.0871,1.0000
6.500,1.0152,0.01312,0.00622,-0.0684,0.0714,1.0000
6.750,1.0382,0.01369,0.00673,-0.0677,0.0559,1.0000
7.000,1.0600,0.01442,0.00736,-0.0668,0.0419,1.0000
7.250,1.0828,0.01499,0.00796,-0.0660,0.0360,1.0000
7.500,1.1032,0.01584,0.00882,-0.0649,0.0313,1.0000
7.750,1.1262,0.01634,0.00939,-0.0641,0.0293,1.0000
8.000,1.1480,0.01696,0.01006,-0.0632,0.0273,1.0000
8.250,1.1676,0.01779,0.01092,-0.0621,0.0252,1.0000
8.500,1.1843,0.01892,0.01215,-0.0604,0.0235,1.0000
8.750,1.2049,0.01959,0.01292,-0.0594,0.0224,1.0000
9.000,1.2240,0.02040,0.01381,-0.0582,0.0213,1.0000
9.250,1.2424,0.02122,0.01469,-0.0569,0.0201,1.0000
9.500,1.2582,0.02229,0.01580,-0.0553,0.0189,1.0000
9.750,1.2682,0.02428,0.01792,-0.0530,0.0177,1.0000
10.000,1.2861,0.02503,0.01881,-0.0517,0.0171,1.0000
10.250,1.3016,0.02607,0.01996,-0.0500,0.0163,1.0000
10.500,1.3143,0.02719,0.02119,-0.0480,0.0156,1.0000
10.750,1.3256,0.02827,0.02236,-0.0459,0.0150,1.0000
11.000,1.3352,0.02949,0.02367,-0.0437,0.0145,1.0000
11.250,1.3427,0.03102,0.02528,-0.0414,0.0140,1.0000
11.500,1.3417,0.03494,0.02943,-0.0387,0.0132,1.0000
11.750,1.3478,0.03579,0.03044,-0.0364,0.0130,1.0000
12.000,1.3531,0.03703,0.03184,-0.0343,0.0125,1.0000
12.250,1.3555,0.03890,0.03391,-0.0323,0.0121,1.0000
12.500,1.3551,0.04124,0.03644,-0.0304,0.0119,1.0000
12.750,1.3538,0.04362,0.03899,-0.0288,0.0116,1.0000
13.000,1.3504,0.04633,0.04187,-0.0275,0.0113,1.0000
13.250,1.3462,0.04921,0.04492,-0.0266,0.0111,1.0000
13.500,1.3400,0.05247,0.04835,-0.0260,0.0110,1.0000
13.750,1.3307,0.05634,0.05240,-0.0260,0.0108,1.0000
14.000,1.3214,0.06040,0.05662,-0.0266,0.0107,1.0000
14.250,1.3102,0.06504,0.06142,-0.0278,0.0106,1.0000
14.500,1.2967,0.07040,0.06696,-0.0297,0.0105,1.0000
14.750,1.2815,0.07654,0.07327,-0.0326,0.0104,1.0000
15.000,1.2615,0.08426,0.08121,-0.0369,0.0105,1.0000
15.250,1.2355,0.09400,0.09118,-0.0428,0.0106,1.0000
15.500,1.2028,0.10619,0.10363,-0.0506,0.0108,1.0000
15.750,1.1383,0.12799,0.12580,-0.0650,0.0114,1.0000
16.000,1.0098,0.17696,0.17495,-0.0924,0.0137,1.0000
