Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-hsnlf213-il-500000
Airfoil,hsnlf213-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,70.4171
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-hsnlf213-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.8156,0.05053,0.04688,-0.0290,0.8075,0.0136
-10.250,-0.8364,0.04614,0.04216,-0.0260,0.8055,0.0136
-10.000,-0.8492,0.04130,0.03693,-0.0234,0.8037,0.0137
-9.750,-0.8418,0.03906,0.03455,-0.0223,0.8021,0.0140
-9.500,-0.7666,0.05015,0.04650,-0.0265,0.8002,0.0161
-9.250,-0.7862,0.04243,0.03827,-0.0235,0.7982,0.0153
-9.000,-0.7910,0.03622,0.03148,-0.0207,0.7964,0.0154
-8.750,-0.7821,0.03239,0.02716,-0.0189,0.7948,0.0162
-8.500,-0.7673,0.02965,0.02393,-0.0173,0.7933,0.0168
-8.250,-0.7513,0.02668,0.02051,-0.0161,0.7919,0.0174
-8.000,-0.7291,0.02551,0.01930,-0.0160,0.7906,0.0182
-7.750,-0.7051,0.02485,0.01859,-0.0158,0.7892,0.0189
-7.500,-0.6813,0.02327,0.01680,-0.0154,0.7880,0.0194
-7.250,-0.6564,0.02179,0.01514,-0.0151,0.7867,0.0199
-7.000,-0.6308,0.02058,0.01377,-0.0148,0.7851,0.0204
-6.750,-0.6049,0.01963,0.01268,-0.0146,0.7835,0.0210
-6.500,-0.5785,0.01901,0.01194,-0.0144,0.7820,0.0215
-6.250,-0.5549,0.01744,0.01036,-0.0140,0.7807,0.0226
-6.000,-0.5293,0.01690,0.00982,-0.0139,0.7794,0.0238
-5.750,-0.5037,0.01634,0.00922,-0.0137,0.7781,0.0250
-5.500,-0.4781,0.01580,0.00862,-0.0134,0.7769,0.0262
-5.250,-0.4542,0.01504,0.00781,-0.0129,0.7757,0.0275
-5.000,-0.4297,0.01450,0.00727,-0.0126,0.7744,0.0295
-4.750,-0.4036,0.01416,0.00691,-0.0125,0.7730,0.0318
-4.500,-0.3778,0.01368,0.00641,-0.0124,0.7718,0.0347
-4.250,-0.3511,0.01333,0.00609,-0.0124,0.7705,0.0386
-4.000,-0.3245,0.01296,0.00572,-0.0124,0.7691,0.0433
-3.750,-0.2974,0.01269,0.00546,-0.0125,0.7676,0.0505
-3.500,-0.2715,0.01222,0.00511,-0.0125,0.7660,0.0719
-3.250,-0.2480,0.01142,0.00477,-0.0123,0.7645,0.1687
-3.000,-0.2293,0.00996,0.00430,-0.0118,0.7631,0.4096
-2.750,-0.2124,0.00918,0.00478,-0.0098,0.7618,0.7112
-2.500,-0.1829,0.00954,0.00498,-0.0100,0.7605,0.7417
-2.250,-0.1546,0.00986,0.00526,-0.0098,0.7592,0.7544
