Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-isa571-il-100000
Airfoil,isa571-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,51.5817
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-isa571-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.4030,0.09571,0.09087,-0.0186,1.0000,0.0675
-8.000,-0.4096,0.09360,0.08886,-0.0197,1.0000,0.0691
-7.750,-0.4128,0.09140,0.08673,-0.0265,1.0000,0.0703
-7.500,-0.4097,0.08884,0.08410,-0.0346,1.0000,0.0708
-7.250,-0.4029,0.08357,0.07899,-0.0229,1.0000,0.0739
-7.000,-0.3972,0.08063,0.07608,-0.0232,1.0000,0.0777
-6.750,-0.3869,0.07776,0.07313,-0.0321,1.0000,0.0825
-6.500,-0.3794,0.07328,0.06864,-0.0338,1.0000,0.0841
-6.250,-0.3736,0.06993,0.06539,-0.0301,1.0000,0.0864
-6.000,-0.3629,0.06683,0.06227,-0.0304,1.0000,0.0906
-5.750,-0.3397,0.06289,0.05802,-0.0383,1.0000,0.0970
-5.500,-0.3324,0.05928,0.05456,-0.0354,1.0000,0.0995
-5.250,-0.3153,0.05628,0.05145,-0.0364,1.0000,0.1065
-5.000,-0.2959,0.05238,0.04739,-0.0387,1.0000,0.1124
-4.750,-0.2728,0.04940,0.04415,-0.0410,1.0000,0.1244
-4.500,-0.2531,0.04661,0.04122,-0.0417,1.0000,0.1383
-4.250,-0.2375,0.04358,0.03828,-0.0406,1.0000,0.1471
-4.000,-0.2122,0.04092,0.03531,-0.0425,1.0000,0.1673
-3.750,-0.1919,0.03804,0.03240,-0.0424,1.0000,0.1832
-3.500,-0.1716,0.03571,0.03001,-0.0423,1.0000,0.2123
-3.000,-0.0965,0.02935,0.02247,-0.0461,1.0000,0.1681
-2.750,-0.0839,0.02818,0.02174,-0.0453,1.0000,0.2428
-2.500,-0.0191,0.02366,0.01501,-0.0469,1.0000,0.1097
-2.250,0.0091,0.02203,0.01338,-0.0474,1.0000,0.1160
-2.000,0.0376,0.02106,0.01213,-0.0474,1.0000,0.1192
-1.750,0.0648,0.02026,0.01117,-0.0475,1.0000,0.1259
-1.500,0.0913,0.01959,0.01048,-0.0475,1.0000,0.1297
-1.250,0.1170,0.01916,0.00999,-0.0474,1.0000,0.1345
-1.000,0.1458,0.01870,0.00961,-0.0481,0.9988,0.1435
-0.750,0.1987,0.01802,0.00907,-0.0532,0.9892,0.1604
-0.500,0.2516,0.01722,0.00849,-0.0582,0.9785,0.2041
-0.250,0.2957,0.01479,0.00802,-0.0606,0.9678,1.0000
0.000,0.3455,0.01471,0.00773,-0.0648,0.9502,1.0000
0.250,0.3954,0.01447,0.00736,-0.0688,0.9325,1.0000
0.500,0.4458,0.01405,0.00688,-0.0725,0.9146,1.0000
0.750,0.4875,0.01359,0.00637,-0.0743,0.8898,1.0000
1.000,0.5290,0.01310,0.00584,-0.0759,0.8597,1.0000
1.250,0.5690,0.01267,0.00529,-0.0769,0.8167,1.0000
1.500,0.6055,0.01252,0.00488,-0.0773,0.7606,1.0000
1.750,0.6357,0.01276,0.00478,-0.0768,0.7035,1.0000
2.000,0.6619,0.01323,0.00489,-0.0758,0.6559,1.0000
2.250,0.6869,0.01372,0.00512,-0.0749,0.6175,1.0000
2.500,0.7122,0.01421,0.00540,-0.0742,0.5875,1.0000
2.750,0.7377,0.01467,0.00576,-0.0737,0.5627,1.0000
3.000,0.7634,0.01513,0.00607,-0.0731,0.5420,1.0000
3.250,0.7889,0.01557,0.00644,-0.0726,0.5223,1.0000
3.500,0.8145,0.01601,0.00683,-0.0721,0.5043,1.0000
3.750,0.8399,0.01647,0.00725,-0.0716,0.4871,1.0000
4.000,0.8653,0.01695,0.00765,-0.0711,0.4702,1.0000
4.250,0.8902,0.01743,0.00811,-0.0706,0.4528,1.0000
4.500,0.9148,0.01792,0.00861,-0.0699,0.4348,1.0000
4.750,0.9394,0.01844,0.00915,-0.0693,0.4173,1.0000
5.000,0.9640,0.01899,0.00969,-0.0687,0.4001,1.0000
