Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-j5012-il-200000
Airfoil,j5012-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,51.3509
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-j5012-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.7689,0.08981,0.08568,-0.0392,1.0000,0.0404
-13.500,-0.7967,0.08110,0.07689,-0.0442,1.0000,0.0400
-13.250,-0.8225,0.07374,0.06942,-0.0482,1.0000,0.0394
-13.000,-0.8523,0.06707,0.06259,-0.0516,1.0000,0.0391
-12.750,-0.8776,0.06180,0.05715,-0.0531,1.0000,0.0387
-12.500,-0.9027,0.05730,0.05244,-0.0530,1.0000,0.0386
-12.250,-0.9249,0.05348,0.04841,-0.0516,1.0000,0.0384
-12.000,-0.9441,0.05032,0.04503,-0.0490,1.0000,0.0383
-11.750,-0.9608,0.04783,0.04231,-0.0454,1.0000,0.0387
-11.500,-0.9764,0.04536,0.03960,-0.0408,1.0000,0.0388
-11.250,-0.9882,0.04320,0.03718,-0.0361,1.0000,0.0392
-11.000,-0.9936,0.04084,0.03453,-0.0322,1.0000,0.0394
-10.750,-0.9944,0.03867,0.03207,-0.0286,1.0000,0.0397
-10.500,-0.9922,0.03679,0.02989,-0.0251,1.0000,0.0401
-10.250,-0.9863,0.03513,0.02794,-0.0219,1.0000,0.0405
-10.000,-0.9749,0.03187,0.02446,-0.0202,1.0000,0.0415
-9.750,-0.9600,0.03031,0.02289,-0.0185,1.0000,0.0429
-9.500,-0.9462,0.02919,0.02169,-0.0165,1.0000,0.0444
-9.250,-0.9318,0.02809,0.02047,-0.0144,1.0000,0.0460
-9.000,-0.9167,0.02693,0.01914,-0.0123,1.0000,0.0477
-8.750,-0.9009,0.02588,0.01791,-0.0101,1.0000,0.0490
-8.500,-0.8832,0.02405,0.01603,-0.0086,1.0000,0.0511
-8.250,-0.8684,0.02310,0.01511,-0.0065,1.0000,0.0537
-8.000,-0.8537,0.02239,0.01434,-0.0042,1.0000,0.0571
-7.750,-0.8391,0.02148,0.01334,-0.0019,1.0000,0.0606
-7.500,-0.8268,0.02050,0.01244,0.0007,1.0000,0.0647
-7.250,-0.8126,0.01987,0.01173,0.0032,1.0000,0.0697
-7.000,-0.8016,0.01894,0.01085,0.0061,1.0000,0.0753
-6.750,-0.7873,0.01845,0.01030,0.0085,1.0000,0.0826
-6.500,-0.7760,0.01768,0.00962,0.0114,1.0000,0.0910
-6.250,-0.7632,0.01706,0.00903,0.0140,1.0000,0.1014
-6.000,-0.7499,0.01648,0.00850,0.0166,1.0000,0.1147
-5.750,-0.7368,0.01590,0.00802,0.0191,1.0000,0.1322
-5.500,-0.7235,0.01532,0.00756,0.0215,1.0000,0.1561
-5.250,-0.7105,0.01473,0.00716,0.0240,1.0000,0.1882
-5.000,-0.6972,0.01418,0.00681,0.0264,1.0000,0.2292
-4.750,-0.6839,0.01367,0.00654,0.0288,1.0000,0.2764
-4.500,-0.6704,0.01322,0.00632,0.0311,1.0000,0.3260
-4.250,-0.6566,0.01283,0.00616,0.0334,1.0000,0.3771
-4.000,-0.6424,0.01251,0.00604,0.0357,1.0000,0.4269
-3.750,-0.6078,0.01231,0.00608,0.0339,0.9948,0.4888
-3.500,-0.5738,0.01212,0.00612,0.0324,0.9888,0.5443
-3.250,-0.5369,0.01205,0.00623,0.0305,0.9834,0.5975
-3.000,-0.5048,0.01192,0.00625,0.0296,0.9763,0.6434
-2.750,-0.4669,0.01188,0.00637,0.0277,0.9710,0.6863
-2.500,-0.4347,0.01182,0.00639,0.0270,0.9636,0.7223
-2.250,-0.3964,0.01181,0.00647,0.0251,0.9580,0.7550
-2.000,-0.3605,0.01181,0.00653,0.0238,0.9518,0.7847
-1.750,-0.3231,0.01182,0.00660,0.0223,0.9452,0.8102
-1.500,-0.2787,0.01185,0.00665,0.0194,0.9412,0.8337
-1.250,-0.2434,0.01190,0.00674,0.0184,0.9334,0.8527
-1.000,-0.1977,0.01196,0.00679,0.0153,0.9287,0.8690
-0.750,-0.1461,0.01200,0.00682,0.0110,0.9259,0.8822
-0.500,-0.1072,0.01207,0.00689,0.0093,0.9179,0.8952
-0.250,-0.0505,0.01214,0.00696,0.0040,0.9142,0.9016
0.000,0.0000,0.01209,0.00689,0.0000,0.9102,0.9101
0.250,0.0506,0.01215,0.00697,-0.0041,0.9016,0.9143
0.500,0.1071,0.01207,0.00689,-0.0093,0.8952,0.9179
0.750,0.1461,0.01200,0.00683,-0.0110,0.8823,0.9259
1.000,0.1977,0.01196,0.00679,-0.0153,0.8690,0.9287
1.250,0.2433,0.01190,0.00673,-0.0184,0.8527,0.9334
1.500,0.2787,0.01184,0.00665,-0.0194,0.8334,0.9412
1.750,0.3231,0.01182,0.00660,-0.0223,0.8103,0.9452
2.000,0.3606,0.01181,0.00653,-0.0238,0.7849,0.9517
2.250,0.3963,0.01181,0.00647,-0.0251,0.7552,0.9580
2.500,0.4347,0.01182,0.00639,-0.0270,0.7223,0.9637
2.750,0.4668,0.01188,0.00637,-0.0277,0.6859,0.9710
3.000,0.5049,0.01192,0.00625,-0.0296,0.6434,0.9764
3.250,0.5370,0.01205,0.00623,-0.0305,0.5976,0.9834
3.500,0.5738,0.01212,0.00612,-0.0324,0.5441,0.9888
3.750,0.6077,0.01230,0.00608,-0.0339,0.4889,0.9948
4.000,0.6424,0.01251,0.00604,-0.0357,0.4268,1.0000
4.250,0.6566,0.01283,0.00616,-0.0334,0.3769,1.0000
4.500,0.6704,0.01321,0.00632,-0.0311,0.3266,1.0000
4.750,0.6839,0.01367,0.00654,-0.0288,0.2764,1.0000
5.000,0.6972,0.01418,0.00681,-0.0264,0.2292,1.0000
5.250,0.7105,0.01473,0.00716,-0.0240,0.1879,1.0000
5.500,0.7234,0.01533,0.00756,-0.0215,0.1558,1.0000
5.750,0.7368,0.01590,0.00801,-0.0191,0.1322,1.0000
6.000,0.7500,0.01647,0.00849,-0.0166,0.1148,1.0000
6.250,0.7632,0.01705,0.00903,-0.0140,0.1015,1.0000
6.500,0.7759,0.01768,0.00962,-0.0114,0.0909,1.0000
