Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-joukowsk0021-jf-1000000
Airfoil,joukowsk0021-jf
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,84.3294
Max Cl/Cd alpha,9.5
Url,http://airfoiltools.com/polar/csv?polar=xf-joukowsk0021-jf-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.3226,0.08919,0.08504,-0.0120,1.0000,0.0713
-19.500,-1.3321,0.08453,0.08034,-0.0142,1.0000,0.0726
-19.250,-1.3374,0.08049,0.07626,-0.0160,1.0000,0.0738
-19.000,-1.3424,0.07654,0.07225,-0.0176,1.0000,0.0751
-18.750,-1.3421,0.07337,0.06902,-0.0189,1.0000,0.0763
-18.500,-1.3442,0.06993,0.06551,-0.0202,1.0000,0.0775
-18.250,-1.3532,0.06570,0.06124,-0.0218,1.0000,0.0788
-18.000,-1.3576,0.06214,0.05764,-0.0231,1.0000,0.0804
-17.750,-1.3608,0.05878,0.05423,-0.0241,1.0000,0.0818
-17.500,-1.3603,0.05588,0.05128,-0.0250,1.0000,0.0831
-17.250,-1.3580,0.05327,0.04860,-0.0257,1.0000,0.0844
-17.000,-1.3649,0.04972,0.04501,-0.0266,1.0000,0.0860
-16.750,-1.3678,0.04666,0.04192,-0.0273,1.0000,0.0877
-16.500,-1.3665,0.04413,0.03935,-0.0277,1.0000,0.0893
-16.250,-1.3626,0.04191,0.03708,-0.0280,1.0000,0.0910
-16.000,-1.3613,0.03949,0.03461,-0.0282,1.0000,0.0925
-15.750,-1.3633,0.03687,0.03196,-0.0283,1.0000,0.0944
-15.500,-1.3611,0.03473,0.02980,-0.0282,1.0000,0.0963
-15.250,-1.3560,0.03287,0.02790,-0.0281,1.0000,0.0981
-15.000,-1.3477,0.03130,0.02628,-0.0279,1.0000,0.0997
-14.750,-1.3470,0.02919,0.02415,-0.0275,1.0000,0.1019
-14.500,-1.3424,0.02744,0.02239,-0.0270,1.0000,0.1042
-14.250,-1.3343,0.02601,0.02094,-0.0265,1.0000,0.1064
-14.000,-1.3234,0.02481,0.01970,-0.0260,1.0000,0.1083
-13.750,-1.3189,0.02322,0.01809,-0.0251,1.0000,0.1109
-13.500,-1.3108,0.02193,0.01680,-0.0243,1.0000,0.1135
-13.250,-1.2998,0.02088,0.01574,-0.0235,1.0000,0.1160
-13.000,-1.2879,0.01993,0.01476,-0.0226,1.0000,0.1183
-12.750,-1.2796,0.01881,0.01365,-0.0214,1.0000,0.1214
-12.500,-1.2682,0.01794,0.01278,-0.0203,1.0000,0.1242
-12.250,-1.2539,0.01725,0.01207,-0.0192,1.0000,0.1268
-12.000,-1.2431,0.01646,0.01128,-0.0178,1.0000,0.1300
-11.750,-1.2201,0.01584,0.01060,-0.0182,0.9202,0.1340
-11.500,-1.2125,0.01545,0.01007,-0.0153,0.8801,0.1367
-11.250,-1.2041,0.01502,0.00954,-0.0125,0.8552,0.1396
-11.000,-1.1961,0.01460,0.00907,-0.0095,0.8353,0.1431
-10.750,-1.1804,0.01429,0.00871,-0.0077,0.8196,0.1467
-10.500,-1.1608,0.01401,0.00836,-0.0064,0.8054,0.1501
-10.250,-1.1419,0.01362,0.00797,-0.0051,0.7921,0.1546
-10.000,-1.1201,0.01335,0.00766,-0.0042,0.7799,0.1589
