Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-joukowsk0021-jf-500000
Airfoil,joukowsk0021-jf
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,66.442
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-joukowsk0021-jf-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.250,-1.2673,0.08934,0.08451,-0.0128,1.0000,0.0870
-19.000,-1.2669,0.08598,0.08110,-0.0143,1.0000,0.0886
-18.750,-1.2680,0.08239,0.07743,-0.0160,1.0000,0.0903
-18.500,-1.2676,0.07904,0.07397,-0.0174,1.0000,0.0917
-18.250,-1.2674,0.07593,0.07091,-0.0186,1.0000,0.0936
-18.000,-1.2667,0.07283,0.06778,-0.0199,1.0000,0.0952
-17.750,-1.2670,0.06956,0.06446,-0.0212,1.0000,0.0971
-17.500,-1.2646,0.06668,0.06150,-0.0222,1.0000,0.0988
-17.250,-1.2639,0.06368,0.05846,-0.0233,1.0000,0.1006
-17.000,-1.2641,0.06070,0.05549,-0.0242,1.0000,0.1025
-16.750,-1.2637,0.05778,0.05253,-0.0251,1.0000,0.1044
-16.500,-1.2605,0.05518,0.04987,-0.0259,1.0000,0.1065
-16.250,-1.2563,0.05271,0.04731,-0.0266,1.0000,0.1084
-16.000,-1.2577,0.04986,0.04448,-0.0272,1.0000,0.1106
-15.750,-1.2564,0.04729,0.04190,-0.0277,1.0000,0.1127
-15.500,-1.2526,0.04497,0.03953,-0.0281,1.0000,0.1150
-15.250,-1.2458,0.04299,0.03748,-0.0284,1.0000,0.1172
-15.000,-1.2455,0.04055,0.03504,-0.0286,1.0000,0.1195
-14.750,-1.2441,0.03825,0.03273,-0.0287,1.0000,0.1220
-14.500,-1.2385,0.03638,0.03082,-0.0287,1.0000,0.1246
-14.250,-1.2298,0.03478,0.02916,-0.0286,1.0000,0.1269
-14.000,-1.2279,0.03272,0.02710,-0.0284,1.0000,0.1296
-13.750,-1.2237,0.03087,0.02525,-0.0281,1.0000,0.1324
-13.500,-1.2151,0.02940,0.02374,-0.0277,1.0000,0.1353
-13.250,-1.2040,0.02813,0.02242,-0.0274,1.0000,0.1381
-13.000,-1.2003,0.02640,0.02072,-0.0268,1.0000,0.1411
-12.750,-1.1923,0.02502,0.01934,-0.0262,1.0000,0.1443
-12.500,-1.1799,0.02396,0.01824,-0.0256,1.0000,0.1476
-12.250,-1.1704,0.02277,0.01704,-0.0248,1.0000,0.1509
-12.000,-1.1620,0.02157,0.01586,-0.0239,1.0000,0.1543
-11.750,-1.1495,0.02064,0.01493,-0.0231,1.0000,0.1581
-11.500,-1.1348,0.01987,0.01412,-0.0223,1.0000,0.1616
-11.250,-1.1257,0.01886,0.01316,-0.0211,1.0000,0.1655
-11.000,-1.1120,0.01812,0.01243,-0.0202,1.0000,0.1696
-10.750,-1.0863,0.01759,0.01186,-0.0209,0.9596,0.1740
-10.500,-1.0719,0.01693,0.01113,-0.0198,0.9053,0.1785
-10.250,-1.0651,0.01652,0.01062,-0.0167,0.8759,0.1825
-10.000,-1.0525,0.01625,0.01023,-0.0142,0.8553,0.1864
-9.750,-1.0425,0.01582,0.00978,-0.0116,0.8380,0.1908
-9.500,-1.0256,0.01548,0.00939,-0.0100,0.8235,0.1957
-9.250,-1.0045,0.01526,0.00907,-0.0088,0.8097,0.2005
-9.000,-0.9859,0.01484,0.00867,-0.0075,0.7970,0.2059
-8.750,-0.9647,0.01457,0.00834,-0.0065,0.7851,0.2114
-8.500,-0.9407,0.01433,0.00806,-0.0058,0.7734,0.2166
-8.250,-0.9194,0.01399,0.00771,-0.0048,0.7622,0.2226
-8.000,-0.8947,0.01375,0.00745,-0.0043,0.7516,0.2286
-7.750,-0.8706,0.01350,0.00716,-0.0037,0.7409,0.2344
-7.500,-0.8461,0.01323,0.00690,-0.0031,0.7308,0.2408
-7.250,-0.8196,0.01308,0.00668,-0.0028,0.7205,0.2467
-7.000,-0.7951,0.01280,0.00641,-0.0022,0.7110,0.2534
