Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-k3-il-100000
Airfoil,k3-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,30.0981
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-k3-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.000,-0.7811,0.08871,0.08194,-0.0673,0.9999,0.1306
-13.750,-0.8815,0.07448,0.06748,-0.0711,0.9999,0.1291
-13.500,-0.9505,0.06681,0.05959,-0.0706,0.9999,0.1283
-13.250,-1.0037,0.06198,0.05456,-0.0679,0.9999,0.1280
-13.000,-1.0498,0.05876,0.05118,-0.0634,0.9999,0.1279
-12.750,-1.0848,0.05552,0.04771,-0.0603,0.9999,0.1285
-12.500,-1.1081,0.05222,0.04408,-0.0580,0.9999,0.1297
-12.250,-1.1168,0.04935,0.04092,-0.0564,0.9999,0.1314
-12.000,-1.0992,0.04843,0.04014,-0.0552,0.9999,0.1339
-11.750,-1.0896,0.04703,0.03868,-0.0540,0.9999,0.1367
-11.500,-1.0866,0.04480,0.03614,-0.0531,0.9999,0.1398
-11.250,-1.0769,0.04283,0.03397,-0.0525,0.9999,0.1430
-11.000,-1.0596,0.04191,0.03314,-0.0516,0.9999,0.1463
-10.750,-1.0455,0.04046,0.03151,-0.0511,0.9999,0.1504
-10.500,-1.0298,0.03887,0.02976,-0.0509,0.9999,0.1546
-10.250,-1.0109,0.03804,0.02900,-0.0502,0.9999,0.1588
-10.000,-0.9927,0.03667,0.02733,-0.0504,0.9999,0.1643
-9.750,-0.9728,0.03576,0.02658,-0.0498,0.9999,0.1690
-9.500,-0.9522,0.03479,0.02548,-0.0498,0.9999,0.1752
-9.250,-0.9312,0.03377,0.02449,-0.0496,0.9999,0.1810
-9.000,-0.9093,0.03299,0.02368,-0.0497,0.9999,0.1880
-8.750,-0.8872,0.03207,0.02277,-0.0496,0.9999,0.1951
-8.500,-0.8640,0.03135,0.02202,-0.0498,0.9999,0.2034
-8.250,-0.8411,0.03056,0.02132,-0.0498,0.9999,0.2115
-8.000,-0.8159,0.02989,0.02051,-0.0505,0.9999,0.2216
-7.750,-0.7930,0.02924,0.02007,-0.0503,0.9999,0.2306
-7.500,-0.7675,0.02857,0.01939,-0.0509,0.9999,0.2418
-7.250,-0.7420,0.02804,0.01891,-0.0514,0.9999,0.2538
-7.000,-0.7169,0.02749,0.01851,-0.0517,0.9999,0.2660
-6.750,-0.6903,0.02696,0.01808,-0.0523,0.9999,0.2803
-6.500,-0.6631,0.02649,0.01771,-0.0531,0.9999,0.2969
-6.250,-0.6356,0.02608,0.01747,-0.0539,0.9999,0.3159
-6.000,-0.6079,0.02576,0.01740,-0.0547,0.9999,0.3384
-5.750,-0.5795,0.02558,0.01742,-0.0556,0.9999,0.3666
-5.500,-0.5532,0.02565,0.01777,-0.0557,0.9999,0.3959
-5.250,-0.5268,0.02592,0.01817,-0.0558,0.9999,0.4285
-5.000,-0.5055,0.02651,0.01893,-0.0544,0.9999,0.4524
-4.750,-0.4847,0.02719,0.01969,-0.0528,0.9999,0.4734
-4.500,-0.4637,0.02789,0.02043,-0.0514,0.9999,0.4924
-4.250,-0.4413,0.02857,0.02109,-0.0504,0.9999,0.5106
-4.000,-0.4287,0.02952,0.02219,-0.0464,0.9999,0.5186
-3.750,-0.4061,0.03014,0.02277,-0.0456,0.9999,0.5343
-3.500,-0.3930,0.03104,0.02378,-0.0419,0.9999,0.5419
-3.250,-0.3691,0.03154,0.02423,-0.0416,0.9999,0.5564
-3.000,-0.3565,0.03237,0.02516,-0.0378,0.9999,0.5630
-2.750,-0.3297,0.03277,0.02549,-0.0385,0.9999,0.5779
-2.500,-0.3185,0.03352,0.02634,-0.0345,0.9999,0.5834
-2.250,-0.3018,0.03414,0.02700,-0.0322,0.9999,0.5923
-2.000,-0.2775,0.03448,0.02732,-0.0323,0.9999,0.6039
-1.750,-0.2650,0.03511,0.02803,-0.0289,0.9999,0.6102
-1.500,-0.2336,0.03543,0.02827,-0.0313,0.9999,0.6246
-1.250,-0.2235,0.03593,0.02888,-0.0274,0.9999,0.6296
-1.000,-0.2086,0.03646,0.02947,-0.0250,0.9999,0.6371
-0.750,-0.1777,0.03677,0.02974,-0.0275,0.9999,0.6493
-0.500,-0.1670,0.03723,0.03030,-0.0241,0.9999,0.6546
-0.250,-0.1489,0.03773,0.03085,-0.0230,0.9999,0.6631
0.000,-0.1226,0.03816,0.03129,-0.0243,0.9999,0.6735
0.250,-0.0310,0.04028,0.03345,-0.0339,0.9621,0.6855
0.500,0.0222,0.04068,0.03385,-0.0397,0.9473,0.6956
0.750,0.0558,0.04095,0.03420,-0.0401,0.9341,0.7014
1.000,0.1022,0.04117,0.03445,-0.0437,0.9214,0.7090
1.250,0.1685,0.04117,0.03447,-0.0514,0.9089,0.7170
1.500,0.2024,0.04032,0.03370,-0.0510,0.8870,0.7215
1.750,0.2575,0.03916,0.03260,-0.0542,0.8664,0.7275
2.000,0.3180,0.03813,0.03163,-0.0594,0.8528,0.7341
2.250,0.3723,0.03701,0.03059,-0.0632,0.8412,0.7396
2.500,0.4031,0.03616,0.02986,-0.0627,0.8264,0.7435
2.750,0.4484,0.03490,0.02871,-0.0643,0.8143,0.7486
3.000,0.5048,0.03313,0.02707,-0.0677,0.8024,0.7547
3.250,0.5508,0.03155,0.02561,-0.0697,0.7851,0.7596
3.500,0.5844,0.02981,0.02402,-0.0683,0.7670,0.7633
3.750,0.6200,0.02782,0.02217,-0.0669,0.7443,0.7681
4.000,0.6499,0.02633,0.02078,-0.0653,0.7008,0.7735
4.250,0.7229,0.02406,0.01666,-0.0680,0.4079,0.7786
4.500,0.7333,0.02537,0.01721,-0.0652,0.3226,0.7819
4.750,0.7516,0.02628,0.01772,-0.0635,0.2845,0.7857
5.000,0.7764,0.02704,0.01829,-0.0631,0.2589,0.7906
5.250,0.8081,0.02787,0.01893,-0.0642,0.2388,0.7961
5.500,0.8427,0.02873,0.01962,-0.0659,0.2219,0.8009
5.750,0.8730,0.02956,0.02026,-0.0664,0.2076,0.8051
6.000,0.8961,0.03008,0.02087,-0.0656,0.1951,0.8098
6.250,0.9276,0.03098,0.02172,-0.0667,0.1821,0.8154
6.500,0.9597,0.03195,0.02259,-0.0679,0.1699,0.8210
6.750,0.9818,0.03262,0.02320,-0.0669,0.1594,0.8263
7.000,1.0050,0.03345,0.02413,-0.0663,0.1486,0.8320
7.250,1.0341,0.03455,0.02521,-0.0671,0.1373,0.8377
7.500,1.0566,0.03548,0.02607,-0.0663,0.1280,0.8428
7.750,1.0793,0.03639,0.02688,-0.0657,0.1191,0.8493
8.000,1.0998,0.03744,0.02811,-0.0648,0.1103,0.8564
8.250,1.1165,0.03849,0.02927,-0.0628,0.1032,0.8629
8.500,1.1409,0.03970,0.03041,-0.0626,0.0971,0.8705
8.750,1.1580,0.04080,0.03167,-0.0610,0.0915,0.8774
9.000,1.1742,0.04212,0.03314,-0.0593,0.0869,0.8852
9.250,1.1923,0.04321,0.03428,-0.0580,0.0829,0.8939
9.500,1.2080,0.04494,0.03620,-0.0562,0.0799,0.9039
9.750,1.2151,0.04653,0.03809,-0.0530,0.0772,0.9148
10.000,1.2327,0.04755,0.03908,-0.0516,0.0749,0.9282
10.250,1.2363,0.04941,0.04122,-0.0482,0.0730,0.9439
10.500,1.2318,0.05146,0.04370,-0.0441,0.0712,0.9660
10.750,1.2420,0.05330,0.04572,-0.0429,0.0692,1.0001
11.000,1.2746,0.05526,0.04753,-0.0452,0.0671,1.0001
11.250,1.2624,0.05915,0.05198,-0.0420,0.0665,1.0001
11.500,1.2487,0.06337,0.05665,-0.0393,0.0660,1.0001
11.750,1.2296,0.06796,0.06167,-0.0368,0.0658,1.0001
12.000,1.2064,0.07299,0.06708,-0.0348,0.0657,1.0001
12.250,1.1774,0.07870,0.07314,-0.0336,0.0659,1.0001
12.500,1.1459,0.08506,0.07983,-0.0335,0.0662,1.0001
12.750,1.1123,0.09224,0.08729,-0.0349,0.0665,1.0001
13.000,1.0813,0.10002,0.09528,-0.0378,0.0669,1.0001
