Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-kc135b-il-1000000
Airfoil,kc135b-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,98.1918
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-kc135b-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.4171,0.08650,0.08492,-0.0380,1.0000,0.0166
-11.250,-0.4258,0.08037,0.07880,-0.0406,1.0000,0.0166
-11.000,-0.4521,0.06907,0.06750,-0.0473,1.0000,0.0166
-10.750,-0.5096,0.05581,0.05408,-0.0549,1.0000,0.0164
-10.500,-0.5340,0.05098,0.04919,-0.0562,1.0000,0.0165
-10.250,-0.5660,0.04605,0.04414,-0.0562,1.0000,0.0164
-10.000,-0.5886,0.04307,0.04107,-0.0542,1.0000,0.0165
-9.750,-0.6112,0.04057,0.03849,-0.0502,1.0000,0.0165
-9.500,-0.6229,0.03886,0.03674,-0.0464,1.0000,0.0166
-9.250,-0.6194,0.03610,0.03389,-0.0460,0.9895,0.0167
-9.000,-0.6025,0.03241,0.03007,-0.0483,0.9757,0.0169
-8.750,-0.5808,0.02876,0.02625,-0.0510,0.9546,0.0173
-8.500,-0.5639,0.02614,0.02342,-0.0515,0.9185,0.0179
-8.250,-0.6269,0.02518,0.02116,-0.0435,0.9434,0.0155
-8.000,-0.6093,0.02024,0.01557,-0.0425,0.9135,0.0156
-7.750,-0.5884,0.01890,0.01392,-0.0414,0.8848,0.0159
-7.500,-0.5681,0.01785,0.01259,-0.0400,0.8613,0.0162
-7.250,-0.5478,0.01590,0.01039,-0.0390,0.8429,0.0166
-7.000,-0.5259,0.01499,0.00935,-0.0380,0.8274,0.0168
-6.750,-0.5034,0.01439,0.00866,-0.0371,0.8142,0.0170
-6.500,-0.4806,0.01387,0.00806,-0.0363,0.8031,0.0173
-6.250,-0.4578,0.01335,0.00745,-0.0354,0.7930,0.0176
-6.000,-0.4347,0.01287,0.00691,-0.0346,0.7844,0.0180
-5.750,-0.4119,0.01242,0.00638,-0.0337,0.7762,0.0184
-5.500,-0.3887,0.01199,0.00590,-0.0329,0.7691,0.0188
-5.250,-0.3650,0.01167,0.00552,-0.0321,0.7621,0.0194
-5.000,-0.3406,0.01142,0.00520,-0.0315,0.7558,0.0199
-4.750,-0.3207,0.01072,0.00444,-0.0301,0.7497,0.0208
-4.500,-0.2974,0.01039,0.00406,-0.0292,0.7439,0.0215
-4.250,-0.2726,0.01015,0.00381,-0.0287,0.7385,0.0224
-4.000,-0.2474,0.00993,0.00356,-0.0282,0.7329,0.0237
-3.750,-0.2220,0.00977,0.00335,-0.0277,0.7277,0.0246
-3.500,-0.1982,0.00940,0.00294,-0.0270,0.7228,0.0266
-3.250,-0.1723,0.00922,0.00277,-0.0266,0.7177,0.0286
-3.000,-0.1460,0.00912,0.00263,-0.0264,0.7127,0.0306
-2.750,-0.1207,0.00889,0.00238,-0.0259,0.7081,0.0344
-2.500,-0.0941,0.00875,0.00226,-0.0257,0.7034,0.0376
-2.250,-0.0680,0.00859,0.00208,-0.0253,0.6985,0.0423
-2.000,-0.0416,0.00850,0.00196,-0.0251,0.6934,0.0477
-1.750,-0.0152,0.00831,0.00182,-0.0248,0.6882,0.0586
-1.500,0.0059,0.00767,0.00160,-0.0237,0.6827,0.1982
-1.250,0.0149,0.00615,0.00129,-0.0207,0.6778,0.5598
-1.000,0.0411,0.00603,0.00129,-0.0203,0.6730,0.6004
-0.750,0.0680,0.00600,0.00128,-0.0201,0.6674,0.6211
-0.500,0.0951,0.00600,0.00127,-0.0199,0.6621,0.6342
-0.250,0.1227,0.00597,0.00127,-0.0198,0.6572,0.6475
0.000,0.1503,0.00597,0.00126,-0.0198,0.6515,0.6561
0.250,0.1775,0.00596,0.00125,-0.0196,0.6448,0.6653
0.500,0.2046,0.00595,0.00124,-0.0194,0.6361,0.6776
0.750,0.2316,0.00594,0.00124,-0.0192,0.6276,0.6863
1.000,0.2590,0.00595,0.00123,-0.0192,0.6195,0.6941
1.250,0.2864,0.00595,0.00124,-0.0191,0.6129,0.6999
1.500,0.3141,0.00596,0.00125,-0.0191,0.6060,0.7062
1.750,0.3412,0.00597,0.00127,-0.0190,0.5988,0.7128
2.000,0.3686,0.00598,0.00129,-0.0189,0.5909,0.7203
2.250,0.3957,0.00600,0.00132,-0.0188,0.5837,0.7280
2.500,0.4229,0.00600,0.00136,-0.0187,0.5761,0.7376
2.750,0.4495,0.00602,0.00141,-0.0184,0.5681,0.7482
3.000,0.4761,0.00603,0.00146,-0.0182,0.5583,0.7604
3.250,0.5024,0.00605,0.00152,-0.0179,0.5479,0.7747
3.500,0.5280,0.00607,0.00158,-0.0175,0.5367,0.7917
3.750,0.5529,0.00610,0.00166,-0.0169,0.5220,0.8127
4.000,0.5774,0.00614,0.00175,-0.0163,0.5030,0.8374
