Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-l1003-il-100000
Airfoil,l1003-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,4.45132
Max Cl/Cd alpha,14.25
Url,http://airfoiltools.com/polar/csv?polar=xf-l1003-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.750,-0.3348,0.19538,0.19079,0.0267,0.5337,0.0679
-14.500,-0.3262,0.19219,0.18747,0.0276,0.5309,0.0683
-14.250,-0.2963,0.18880,0.18425,0.0202,0.5464,0.0690
-13.500,-0.0545,0.17350,0.16990,-0.0477,0.6620,0.0738
-13.250,-0.0414,0.17026,0.16664,-0.0480,0.6498,0.0742
-13.000,-0.0340,0.16832,0.16467,-0.0479,0.6444,0.0748
-12.750,-0.0315,0.16743,0.16374,-0.0469,0.6416,0.0754
-12.500,-0.0197,0.16507,0.16136,-0.0499,0.6292,0.0763
-12.250,-0.0160,0.16385,0.16011,-0.0500,0.6256,0.0771
-12.000,-0.0147,0.16305,0.15927,-0.0495,0.6234,0.0781
-11.750,-0.0062,0.16123,0.15744,-0.0533,0.6131,0.0793
-11.500,-0.0087,0.16079,0.15696,-0.0550,0.6095,0.0799
-11.250,-0.0150,0.16070,0.15685,-0.0564,0.6074,0.0802
-11.000,-0.0592,0.15847,0.15441,-0.0536,0.6142,0.0801
-10.750,-0.0492,0.15582,0.15176,-0.0544,0.6088,0.0804
-10.500,-0.0382,0.15333,0.14923,-0.0533,0.6059,0.0809
-10.250,-0.0327,0.15204,0.14790,-0.0521,0.6042,0.0815
-10.000,-0.0138,0.14916,0.14505,-0.0571,0.5924,0.0825
-9.750,-0.0076,0.14771,0.14357,-0.0577,0.5894,0.0833
-9.500,-0.0040,0.14656,0.14240,-0.0577,0.5873,0.0844
-9.250,-0.0030,0.14579,0.14159,-0.0575,0.5859,0.0854
-9.000,0.0029,0.14474,0.14057,-0.0636,0.5778,0.0867
-8.750,-0.0080,0.14481,0.14065,-0.0674,0.5737,0.0872
-8.500,0.0111,0.14157,0.13740,-0.0660,0.5708,0.0878
-8.250,0.0199,0.13989,0.13570,-0.0651,0.5689,0.0886
-8.000,0.0242,0.13885,0.13463,-0.0643,0.5676,0.0895
-7.750,0.0256,0.13821,0.13397,-0.0632,0.5666,0.0905
-7.500,0.0359,0.13679,0.13262,-0.0700,0.5577,0.0917
-7.250,0.0351,0.13591,0.13174,-0.0708,0.5546,0.0929
-7.000,0.0278,0.13545,0.13127,-0.0715,0.5525,0.0941
-6.750,0.0102,0.13559,0.13141,-0.0723,0.5510,0.0947
-6.500,-0.0031,0.13510,0.13093,-0.0722,0.5498,0.0950
-6.250,0.0168,0.13280,0.12860,-0.0698,0.5489,0.0957
-6.000,0.0226,0.13188,0.12765,-0.0679,0.5481,0.0966
-5.750,-0.0039,0.13259,0.12849,-0.0703,0.5396,0.0966
-5.500,-0.0120,0.13198,0.12789,-0.0688,0.5370,0.0972
-5.250,-0.0212,0.13134,0.12726,-0.0670,0.5351,0.0981
-5.000,-0.0324,0.13072,0.12664,-0.0651,0.5337,0.0989
-4.750,-0.0462,0.13016,0.12608,-0.0630,0.5327,0.0998
-4.500,-0.0787,0.13423,0.13041,-0.0529,0.5265,0.1003
-4.250,-0.1123,0.13401,0.13022,-0.0484,0.5228,0.1003
-4.000,-0.1337,0.13301,0.12923,-0.0460,0.5208,0.1008
-3.750,-0.1488,0.13142,0.12763,-0.0458,0.5192,0.1019
-3.500,-0.1719,0.12865,0.12468,-0.0536,0.5178,0.1035
-3.250,-0.1638,0.12429,0.12010,-0.0573,0.5185,0.1039
-3.000,-0.1587,0.12273,0.11856,-0.0548,0.5174,0.1047
-2.750,-0.1511,0.12138,0.11721,-0.0538,0.5164,0.1062
-2.500,-0.1396,0.12006,0.11583,-0.0545,0.5156,0.1086
-2.250,-0.1148,0.11815,0.11360,-0.0627,0.5150,0.1133
-2.000,-0.1010,0.11686,0.11235,-0.0613,0.5145,0.1143
-1.750,-0.0821,0.11622,0.11170,-0.0613,0.5142,0.1164
-1.500,-0.1428,0.11417,0.10967,-0.0571,0.5093,0.1148
-1.250,-0.1376,0.11288,0.10837,-0.0566,0.5072,0.1165
-1.000,-0.1147,0.11219,0.10739,-0.0609,0.5053,0.1227
-0.750,-0.1005,0.11024,0.10536,-0.0619,0.5039,0.1244
-0.500,-0.0895,0.10897,0.10411,-0.0611,0.5027,0.1260
-0.250,-0.0599,0.10936,0.10416,-0.0644,0.5016,0.1343
0.000,-0.0423,0.10755,0.10234,-0.0649,0.5007,0.1363
0.250,-0.0240,0.10689,0.10171,-0.0647,0.5000,0.1391
0.500,0.0097,0.10733,0.10183,-0.0676,0.4994,0.1489
0.750,0.0305,0.10708,0.10165,-0.0675,0.4990,0.1529
1.000,0.0619,0.10782,0.10219,-0.0695,0.4986,0.1645
1.250,0.0187,0.10524,0.09956,-0.0673,0.4947,0.1630
1.500,0.0265,0.10408,0.09848,-0.0667,0.4925,0.1662
1.750,0.0461,0.10428,0.09846,-0.0679,0.4906,0.1787
2.000,0.0603,0.10354,0.09779,-0.0675,0.4889,0.1839
2.250,0.0824,0.10355,0.09767,-0.0682,0.4873,0.1980
2.500,0.1060,0.10386,0.09787,-0.0688,0.4859,0.2156
2.750,0.1304,0.10438,0.09837,-0.0691,0.4849,0.2364
3.000,0.1571,0.10559,0.09958,-0.0692,0.4842,0.2647
3.250,0.0914,0.10447,0.09892,-0.0636,0.4746,0.2550
3.500,0.1080,0.10439,0.09890,-0.0633,0.4724,0.2803
3.750,0.1288,0.10505,0.09955,-0.0632,0.4708,0.3213
4.000,0.1508,0.10570,0.10029,-0.0626,0.4697,0.3567
4.250,0.1781,0.10684,0.10149,-0.0625,0.4690,0.3986
4.500,0.1502,0.10608,0.10072,-0.0622,0.4625,0.3922
4.750,0.1663,0.10629,0.10098,-0.0617,0.4586,0.4189
5.000,0.1962,0.10796,0.10245,-0.0627,0.4561,0.4364
5.250,0.2340,0.10969,0.10403,-0.0642,0.4546,0.4296
5.500,0.3007,0.10928,0.10238,-0.0703,0.4564,0.3330
5.750,0.3524,0.11298,0.10507,-0.0710,0.4548,0.2085
6.000,0.3938,0.11631,0.10813,-0.0713,0.4540,0.1853
6.250,0.3615,0.11413,0.10605,-0.0706,0.4425,0.1880
6.500,0.3944,0.11641,0.10806,-0.0703,0.4403,0.1721
6.750,0.4339,0.12039,0.11170,-0.0703,0.4392,0.1619
7.000,0.4091,0.11942,0.11080,-0.0701,0.4268,0.1618
7.250,0.4403,0.12192,0.11321,-0.0700,0.4249,0.1619
7.500,0.4777,0.12587,0.11707,-0.0702,0.4239,0.1612
7.750,0.4450,0.12480,0.11606,-0.0705,0.4121,0.1614
8.000,0.4718,0.12691,0.11816,-0.0705,0.4100,0.1605
8.250,0.5037,0.13028,0.12146,-0.0705,0.4089,0.1614
8.500,0.4759,0.13062,0.12188,-0.0716,0.4011,0.1607
8.750,0.4932,0.13222,0.12349,-0.0716,0.3977,0.1629
9.000,0.5139,0.13412,0.12542,-0.0716,0.3956,0.1647
9.250,0.5400,0.13670,0.12802,-0.0716,0.3942,0.1658
9.500,0.5724,0.14052,0.13183,-0.0720,0.3933,0.1689
9.750,0.5482,0.14117,0.13253,-0.0732,0.3908,0.1681
10.000,0.5535,0.14262,0.13399,-0.0740,0.3861,0.1705
10.250,0.5689,0.14454,0.13589,-0.0744,0.3834,0.1737
