Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-la5055-il-100000
Airfoil,la5055-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,18.7186
Max Cl/Cd alpha,15.25
Url,http://airfoiltools.com/polar/csv?polar=xf-la5055-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.750,-0.2081,0.15260,0.14715,-0.0294,0.6965,0.0764
-12.500,-0.2089,0.15164,0.14621,-0.0329,0.6961,0.0775
-12.250,-0.2214,0.15207,0.14668,-0.0376,0.6958,0.0779
-12.000,-0.1891,0.14511,0.13970,-0.0367,0.6934,0.0787
-11.750,-0.1727,0.14154,0.13613,-0.0373,0.6917,0.0799
-11.500,-0.1612,0.13879,0.13338,-0.0385,0.6903,0.0814
-11.250,-0.1523,0.13635,0.13093,-0.0400,0.6891,0.0835
-11.000,-0.1476,0.13437,0.12895,-0.0422,0.6882,0.0858
-10.750,-0.1620,0.13466,0.12928,-0.0473,0.6880,0.0873
-10.500,-0.1514,0.13098,0.12561,-0.0486,0.6871,0.0880
-10.250,-0.1278,0.12677,0.12137,-0.0478,0.6861,0.0892
-10.000,-0.1142,0.12413,0.11873,-0.0486,0.6855,0.0907
-9.750,-0.1031,0.12174,0.11636,-0.0504,0.6850,0.0927
-9.500,-0.0947,0.11949,0.11415,-0.0530,0.6846,0.0952
-9.250,-0.1016,0.11863,0.11334,-0.0578,0.6844,0.0978
-9.000,-0.1172,0.11788,0.11268,-0.0639,0.6845,0.0985
-8.750,-0.0781,0.11246,0.10727,-0.0624,0.6830,0.0999
-8.500,-0.0585,0.10978,0.10462,-0.0634,0.6822,0.1020
-8.250,-0.0462,0.10769,0.10256,-0.0655,0.6815,0.1049
-8.000,-0.0435,0.10611,0.10103,-0.0690,0.6813,0.1087
-7.750,-0.0786,0.10670,0.10172,-0.0780,0.6826,0.1107
-7.500,-0.0367,0.10174,0.09676,-0.0754,0.6817,0.1127
-7.250,-0.0180,0.09970,0.09474,-0.0760,0.6817,0.1151
-7.000,-0.0087,0.09812,0.09320,-0.0778,0.6823,0.1181
-6.750,-0.0112,0.09698,0.09211,-0.0806,0.6836,0.1219
-6.500,-0.0438,0.09896,0.09429,-0.0933,0.6990,0.1242
-6.250,-0.0539,0.09872,0.09409,-0.0990,0.7217,0.1254
-5.750,-0.2391,0.11246,0.10850,-0.0676,0.7997,0.1129
-5.500,-0.2444,0.11113,0.10717,-0.0642,0.7884,0.1140
-5.250,-0.2346,0.10912,0.10514,-0.0640,0.7822,0.1168
-5.000,-0.2280,0.10502,0.10065,-0.0800,0.7782,0.1251
-4.750,-0.2495,0.10267,0.09835,-0.0736,0.7630,0.1254
-4.500,-0.2299,0.10057,0.09635,-0.0715,0.7611,0.1269
-4.250,-0.2477,0.09914,0.09494,-0.0664,0.7488,0.1276
-4.000,-0.2333,0.09742,0.09320,-0.0659,0.7448,0.1306
-3.750,-0.2080,0.09376,0.08918,-0.0749,0.7420,0.1413
-3.500,-0.2247,0.09211,0.08756,-0.0700,0.7309,0.1419
-3.250,-0.2285,0.08905,0.08495,-0.0591,0.7129,0.1431
-3.000,-0.2171,0.08735,0.08325,-0.0580,0.7089,0.1468
-2.750,-0.1645,0.08691,0.08219,-0.0727,0.7229,0.1615
-2.500,-0.1812,0.08552,0.08080,-0.0683,0.7126,0.1636
-2.250,-0.1601,0.08361,0.07871,-0.0705,0.7087,0.1774
-2.000,-0.1350,0.08250,0.07745,-0.0723,0.7063,0.1940
-1.750,-0.1077,0.08187,0.07674,-0.0736,0.7046,0.2119
-1.500,-0.1215,0.08041,0.07533,-0.0694,0.6956,0.2139
-1.250,-0.1037,0.07945,0.07432,-0.0693,0.6915,0.2322
0.500,0.0883,0.07167,0.06423,-0.0774,0.6694,0.1768
0.750,0.1323,0.07158,0.06341,-0.0782,0.6683,0.1349
1.000,0.1144,0.07012,0.06190,-0.0740,0.6583,0.1332
1.250,0.1425,0.07104,0.06223,-0.0734,0.6554,0.1247
1.500,0.1715,0.07123,0.06230,-0.0738,0.6535,0.1239
1.750,0.2044,0.07208,0.06302,-0.0744,0.6521,0.1230
2.000,0.2394,0.07351,0.06432,-0.0754,0.6512,0.1217
2.250,0.2127,0.07177,0.06259,-0.0707,0.6410,0.1215
2.500,0.2391,0.07248,0.06321,-0.0707,0.6382,0.1211
2.750,0.2699,0.07369,0.06434,-0.0711,0.6363,0.1212
3.000,0.3061,0.07579,0.06633,-0.0720,0.6350,0.1242
3.250,0.2836,0.07462,0.06519,-0.0682,0.6251,0.1241
3.500,0.3122,0.07548,0.06611,-0.0684,0.6211,0.1268
3.750,0.3497,0.07725,0.06798,-0.0694,0.6188,0.1305
4.000,0.3362,0.07704,0.06780,-0.0667,0.6089,0.1312
4.250,0.3628,0.07816,0.06895,-0.0666,0.6040,0.1352
