Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-lrn1015-il-200000
Airfoil,lrn1015-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,70.7936
Max Cl/Cd alpha,7.25
Url,http://airfoiltools.com/polar/csv?polar=xf-lrn1015-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.750,-0.0469,0.09429,0.08995,-0.1141,0.8423,0.0456
-10.500,-0.0487,0.09116,0.08682,-0.1162,0.8400,0.0471
-10.250,-0.0697,0.08665,0.08242,-0.1220,0.8371,0.0483
-10.000,-0.0837,0.08167,0.07751,-0.1270,0.8343,0.0484
-9.750,-0.0574,0.08012,0.07595,-0.1219,0.8331,0.0497
-9.500,-0.0467,0.07821,0.07406,-0.1212,0.8311,0.0509
-9.250,-0.0430,0.07570,0.07157,-0.1217,0.8289,0.0524
-9.000,-0.0459,0.07246,0.06835,-0.1233,0.8266,0.0541
-8.750,-0.0571,0.06827,0.06419,-0.1265,0.8239,0.0552
-8.500,-0.0739,0.06437,0.06033,-0.1289,0.8206,0.0555
-8.250,-0.0995,0.06176,0.05767,-0.1283,0.8172,0.0565
-8.000,-0.1370,0.06059,0.05605,-0.1262,0.8135,0.0580
-7.750,-0.1357,0.05583,0.05127,-0.1258,0.8114,0.0591
-7.500,-0.1193,0.05340,0.04895,-0.1254,0.8097,0.0605
-7.250,-0.1102,0.05174,0.04728,-0.1244,0.8073,0.0624
-7.000,-0.1055,0.05005,0.04549,-0.1232,0.8045,0.0659
-6.750,-0.1123,0.04792,0.04289,-0.1209,0.8012,0.0710
-6.500,-0.0953,0.04576,0.04086,-0.1205,0.7990,0.0734
-6.000,-0.0712,0.04230,0.03704,-0.1181,0.7947,0.0865
-5.750,-0.0535,0.04116,0.03579,-0.1171,0.7932,0.0930
-5.500,-0.0487,0.03981,0.03431,-0.1152,0.7893,0.1009
-5.250,-0.0340,0.03892,0.03339,-0.1138,0.7858,0.1076
-5.000,-0.0199,0.03743,0.03178,-0.1126,0.7830,0.1185
-4.750,0.0111,0.03214,0.02473,-0.1078,0.7810,0.0486
-4.500,0.0354,0.02942,0.02194,-0.1073,0.7796,0.0455
