Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ls413mod-il-100000
Airfoil,ls413mod-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,53.3084
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-ls413mod-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4570,0.09290,0.08792,-0.0397,1.0000,0.1580
-9.250,-0.4197,0.09132,0.08628,-0.0347,1.0000,0.1629
-9.000,-0.4496,0.08767,0.08278,-0.0383,1.0000,0.1713
-8.750,-0.4581,0.08379,0.07900,-0.0378,1.0000,0.1752
-8.500,-0.4358,0.08200,0.07720,-0.0349,1.0000,0.1805
-8.250,-0.4837,0.07876,0.07418,-0.0355,1.0000,0.1866
-8.000,-0.5220,0.07447,0.06998,-0.0365,1.0000,0.1910
-7.750,-0.5010,0.07335,0.06893,-0.0317,1.0000,0.1956
-7.000,-0.5572,0.04386,0.03722,-0.0471,1.0000,0.0938
-6.750,-0.5349,0.03911,0.03150,-0.0479,1.0000,0.0823
-6.500,-0.5146,0.03601,0.02825,-0.0481,1.0000,0.0805
-6.250,-0.4917,0.03353,0.02547,-0.0483,1.0000,0.0790
-6.000,-0.4671,0.03142,0.02304,-0.0485,1.0000,0.0779
-5.750,-0.4413,0.02968,0.02098,-0.0487,1.0000,0.0775
-5.500,-0.4159,0.02837,0.01943,-0.0488,1.0000,0.0786
-5.250,-0.3910,0.02738,0.01823,-0.0488,1.0000,0.0808
-5.000,-0.3662,0.02658,0.01721,-0.0486,1.0000,0.0826
-4.750,-0.3414,0.02526,0.01593,-0.0485,1.0000,0.0846
-4.500,-0.3059,0.02429,0.01505,-0.0503,0.9971,0.0887
-4.250,-0.2627,0.02359,0.01429,-0.0534,0.9928,0.0959
-4.000,-0.2215,0.02266,0.01354,-0.0566,0.9876,0.1100
-3.750,-0.1726,0.02111,0.01253,-0.0616,0.9844,0.1647
-3.500,-0.1316,0.01955,0.01350,-0.0638,0.9821,0.6658
-3.250,-0.1072,0.02054,0.01447,-0.0615,0.9727,0.7174
-3.000,-0.0881,0.02154,0.01546,-0.0578,0.9634,0.7519
-2.750,-0.0656,0.02247,0.01633,-0.0545,0.9557,0.7831
