Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-lwk80120k25-il-50000
Airfoil,lwk80120k25-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,27.3453
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-lwk80120k25-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.6496,0.08828,0.08122,-0.0293,1.0000,0.1667
-10.000,-0.6982,0.07887,0.07185,-0.0348,1.0000,0.1509
-9.750,-0.7349,0.07342,0.06637,-0.0347,1.0000,0.1456
-9.500,-0.7844,0.06896,0.06164,-0.0320,1.0000,0.1394
-9.250,-0.7883,0.06443,0.05698,-0.0305,1.0000,0.1374
-9.000,-0.7963,0.06032,0.05265,-0.0283,1.0000,0.1356
-8.750,-0.8039,0.05658,0.04861,-0.0256,1.0000,0.1355
-8.500,-0.8091,0.05323,0.04492,-0.0225,1.0000,0.1367
-8.250,-0.8123,0.05009,0.04134,-0.0191,1.0000,0.1381
-8.000,-0.8130,0.04720,0.03802,-0.0156,1.0000,0.1393
-7.750,-0.8117,0.04455,0.03487,-0.0118,1.0000,0.1406
-7.500,-0.7969,0.04181,0.03225,-0.0102,1.0000,0.1469
-7.250,-0.7913,0.03977,0.02985,-0.0068,1.0000,0.1527
-7.000,-0.7812,0.03741,0.02718,-0.0040,1.0000,0.1581
-6.750,-0.7668,0.03551,0.02513,-0.0017,1.0000,0.1667
-6.500,-0.7513,0.03363,0.02314,0.0003,1.0000,0.1778
-6.250,-0.7322,0.03176,0.02111,0.0020,1.0000,0.1896
-6.000,-0.7120,0.03017,0.01951,0.0034,1.0000,0.2072
-5.750,-0.6883,0.02861,0.01790,0.0045,1.0000,0.2295
-5.500,-0.6643,0.02707,0.01662,0.0056,1.0000,0.2623
-5.250,-0.6454,0.02543,0.01541,0.0074,1.0000,0.3093
-5.000,-0.6408,0.02344,0.01429,0.0115,1.0000,0.3905
-4.750,-0.6340,0.02439,0.01728,0.0227,1.0000,0.6827
-4.500,-0.6037,0.02815,0.02068,0.0304,1.0000,0.7725
-4.250,-0.3336,0.03409,0.02502,0.0034,1.0000,0.8817
-4.000,-0.2042,0.03271,0.02299,-0.0134,1.0000,0.9345
-3.750,-0.1309,0.03106,0.02101,-0.0232,1.0000,0.9693
-3.500,-0.0480,0.02869,0.01834,-0.0357,1.0000,0.9979
-3.250,-0.0347,0.02815,0.01773,-0.0354,1.0000,1.0000
-3.000,-0.0298,0.02790,0.01745,-0.0334,1.0000,1.0000
-2.750,-0.0270,0.02777,0.01729,-0.0309,1.0000,1.0000
-2.500,-0.0257,0.02771,0.01720,-0.0281,1.0000,1.0000
-2.250,-0.0249,0.02769,0.01713,-0.0251,1.0000,1.0000
-2.000,-0.0238,0.02768,0.01709,-0.0222,1.0000,1.0000
-1.750,-0.0222,0.02766,0.01704,-0.0192,1.0000,1.0000
-1.500,-0.0200,0.02764,0.01699,-0.0164,1.0000,1.0000
-1.250,-0.0174,0.02763,0.01695,-0.0136,1.0000,1.0000
-1.000,-0.0144,0.02761,0.01690,-0.0108,1.0000,1.0000
-0.750,-0.0110,0.02759,0.01687,-0.0081,1.0000,1.0000
-0.500,-0.0074,0.02758,0.01685,-0.0054,1.0000,1.0000
-0.250,-0.0037,0.02757,0.01683,-0.0027,1.0000,1.0000
0.000,0.0000,0.02757,0.01683,0.0000,1.0000,1.0000
0.250,0.0038,0.02757,0.01683,0.0027,1.0000,1.0000
