Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-lwk80120k25-il-500000
Airfoil,lwk80120k25-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,51.0995
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-lwk80120k25-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.500,-0.9209,0.09225,0.08950,-0.0199,1.0000,0.0135
-15.250,-0.9536,0.08120,0.07832,-0.0272,1.0000,0.0139
-15.000,-0.9800,0.07188,0.06872,-0.0335,1.0000,0.0136
-14.750,-0.9909,0.06655,0.06323,-0.0367,1.0000,0.0135
-14.500,-1.0188,0.05941,0.05587,-0.0399,1.0000,0.0136
-14.250,-1.0322,0.05482,0.05109,-0.0413,1.0000,0.0136
-14.000,-1.0542,0.04952,0.04557,-0.0419,1.0000,0.0138
-13.750,-1.0589,0.04652,0.04240,-0.0419,1.0000,0.0137
-13.500,-1.0714,0.04268,0.03834,-0.0411,1.0000,0.0138
-13.250,-1.0739,0.04016,0.03572,-0.0403,1.0000,0.0142
-13.000,-1.0754,0.03767,0.03305,-0.0392,1.0000,0.0142
-12.750,-1.0729,0.03571,0.03095,-0.0380,1.0000,0.0144
-12.500,-1.0672,0.03426,0.02944,-0.0368,1.0000,0.0149
-12.250,-1.0633,0.03228,0.02729,-0.0352,1.0000,0.0150
-12.000,-1.0552,0.03099,0.02587,-0.0338,1.0000,0.0154
-11.750,-1.0456,0.02987,0.02465,-0.0323,1.0000,0.0159
-11.500,-1.0365,0.02837,0.02300,-0.0306,1.0000,0.0163
-11.250,-1.0252,0.02733,0.02182,-0.0289,1.0000,0.0168
-11.000,-1.0132,0.02611,0.02046,-0.0271,1.0000,0.0171
-10.750,-1.0013,0.02490,0.01909,-0.0253,1.0000,0.0177
-10.500,-0.9908,0.02303,0.01711,-0.0233,1.0000,0.0183
-10.250,-0.9783,0.02210,0.01614,-0.0213,1.0000,0.0191
-10.000,-0.9642,0.02137,0.01536,-0.0195,1.0000,0.0198
-9.750,-0.9490,0.02058,0.01452,-0.0178,1.0000,0.0204
-9.500,-0.9338,0.01985,0.01373,-0.0161,1.0000,0.0213
