Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh25-il-500000
Airfoil,mh25-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,78.8061
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-mh25-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.3933,0.11411,0.11202,-0.0287,1.0000,0.0120
-11.000,-0.3996,0.11010,0.10802,-0.0287,1.0000,0.0123
-10.750,-0.4032,0.10680,0.10473,-0.0285,1.0000,0.0125
-4.250,-0.3513,0.01850,0.01246,-0.0273,0.9494,0.0099
-4.000,-0.3222,0.01666,0.01041,-0.0270,0.9477,0.0088
-3.750,-0.2923,0.01528,0.00886,-0.0271,0.9461,0.0081
-3.500,-0.2604,0.01435,0.00782,-0.0278,0.9448,0.0079
-3.250,-0.2264,0.01362,0.00698,-0.0290,0.9437,0.0083
-3.000,-0.2140,0.01326,0.00654,-0.0256,0.9369,0.0087
-2.750,-0.1823,0.01284,0.00602,-0.0263,0.9344,0.0106
-2.500,-0.1538,0.01172,0.00548,-0.0267,0.9325,0.1545
-2.000,-0.1412,0.00883,0.00522,-0.0182,0.9219,0.7880
-1.750,-0.1057,0.00898,0.00559,-0.0188,0.9206,0.8973
-1.500,-0.0667,0.00922,0.00578,-0.0204,0.9195,0.9200
-1.250,-0.0251,0.00937,0.00585,-0.0229,0.9187,0.9308
-1.000,0.0268,0.00958,0.00600,-0.0277,0.9186,0.9363
-0.750,0.0706,0.00963,0.00600,-0.0307,0.9178,0.9432
-0.500,0.1446,0.00989,0.00620,-0.0404,0.9193,0.9455
-0.250,0.2012,0.00986,0.00613,-0.0464,0.9190,0.9476
0.000,0.2480,0.00970,0.00595,-0.0503,0.9177,0.9498
0.250,0.2698,0.00966,0.00590,-0.0489,0.9112,0.9565
0.500,0.3164,0.00947,0.00571,-0.0528,0.9081,0.9580
0.750,0.3620,0.00924,0.00547,-0.0565,0.9051,0.9597
1.000,0.3996,0.00905,0.00530,-0.0585,0.8995,0.9626
1.250,0.4303,0.00887,0.00513,-0.0589,0.8922,0.9668
1.500,0.4585,0.00870,0.00497,-0.0589,0.8828,0.9705
1.750,0.4950,0.00844,0.00472,-0.0607,0.8726,0.9723
2.000,0.5277,0.00823,0.00456,-0.0617,0.8570,0.9748
2.250,0.5590,0.00803,0.00435,-0.0623,0.8356,0.9775
2.500,0.5873,0.00791,0.00413,-0.0622,0.7981,0.9803
2.750,0.6132,0.00799,0.00400,-0.0617,0.7474,0.9828
3.000,0.6415,0.00816,0.00390,-0.0619,0.6817,0.9845
3.250,0.6667,0.00846,0.00392,-0.0615,0.6176,0.9868
3.500,0.6895,0.00884,0.00401,-0.0608,0.5481,0.9895
3.750,0.7124,0.00920,0.00414,-0.0601,0.4902,0.9921
4.000,0.7347,0.00963,0.00431,-0.0594,0.4288,0.9942
4.250,0.7611,0.01000,0.00443,-0.0596,0.3669,0.9959
4.750,0.8118,0.01092,0.00486,-0.0598,0.2468,0.9994
5.000,0.8315,0.01142,0.00513,-0.0586,0.1969,1.0000
5.250,0.8475,0.01190,0.00543,-0.0566,0.1559,1.0000
5.500,0.8640,0.01235,0.00575,-0.0547,0.1230,1.0000
5.750,0.8801,0.01280,0.00609,-0.0527,0.0959,1.0000
6.000,0.8956,0.01328,0.00647,-0.0505,0.0713,1.0000
