Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-mh94-il-50000
Airfoil,mh94-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,29.5048
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-mh94-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,-0.4918,0.11562,0.10799,-0.0431,1.0000,0.1378
-11.750,-0.4850,0.11140,0.10376,-0.0428,1.0000,0.1339
-11.500,-0.6360,0.08448,0.07683,-0.0613,1.0000,0.1102
-11.250,-0.6589,0.07943,0.07177,-0.0615,1.0000,0.1093
-11.000,-0.6844,0.07496,0.06726,-0.0609,1.0000,0.1080
-10.750,-0.7155,0.07111,0.06334,-0.0590,1.0000,0.1067
-10.500,-0.7508,0.06803,0.06016,-0.0552,1.0000,0.1054
-10.250,-0.7811,0.06528,0.05728,-0.0507,1.0000,0.1045
-10.000,-0.8052,0.06218,0.05398,-0.0465,1.0000,0.1037
-9.750,-0.8223,0.05924,0.05081,-0.0426,1.0000,0.1034
-9.500,-0.8326,0.05644,0.04776,-0.0390,1.0000,0.1038
-9.250,-0.8380,0.05373,0.04479,-0.0356,1.0000,0.1046
-9.000,-0.8395,0.05107,0.04185,-0.0325,1.0000,0.1058
-8.750,-0.8373,0.04848,0.03892,-0.0295,1.0000,0.1072
-8.500,-0.8313,0.04595,0.03602,-0.0267,1.0000,0.1088
-8.250,-0.8222,0.04358,0.03327,-0.0241,1.0000,0.1110
-8.000,-0.8020,0.04148,0.03133,-0.0230,1.0000,0.1168
-7.750,-0.7883,0.03965,0.02919,-0.0207,1.0000,0.1227
-7.500,-0.7663,0.03776,0.02748,-0.0194,1.0000,0.1316
-7.250,-0.7470,0.03607,0.02588,-0.0177,1.0000,0.1435
-7.000,-0.7305,0.03449,0.02443,-0.0156,1.0000,0.1604
-6.750,-0.7182,0.03280,0.02298,-0.0130,1.0000,0.1854
-6.500,-0.7132,0.03087,0.02153,-0.0096,1.0000,0.2266
-6.250,-0.7183,0.02854,0.02022,-0.0049,1.0000,0.3117
-6.000,-0.7215,0.02803,0.02062,0.0013,1.0000,0.4288
-5.750,-0.7117,0.02925,0.02203,0.0067,1.0000,0.4913
-5.500,-0.6989,0.03056,0.02335,0.0116,1.0000,0.5337
-5.250,-0.6803,0.03282,0.02568,0.0172,1.0000,0.5657
-5.000,-0.6632,0.03475,0.02760,0.0227,1.0000,0.5954
-4.750,-0.6415,0.03704,0.02985,0.0283,1.0000,0.6215
-4.500,-0.6316,0.03743,0.03013,0.0325,1.0000,0.6477
-4.250,-0.6127,0.03845,0.03107,0.0367,1.0000,0.6686
-4.000,-0.5964,0.03884,0.03135,0.0401,1.0000,0.6882
-3.750,-0.5829,0.03881,0.03122,0.0432,1.0000,0.7071
-3.500,-0.5714,0.03856,0.03087,0.0461,1.0000,0.7257
-3.250,-0.5490,0.03887,0.03107,0.0483,1.0000,0.7418
-3.000,-0.5304,0.03881,0.03091,0.0503,1.0000,0.7585
-2.750,-0.5139,0.03858,0.03058,0.0522,1.0000,0.7755
-2.500,-0.4991,0.03823,0.03015,0.0540,1.0000,0.7924
-2.250,-0.4839,0.03788,0.02971,0.0556,1.0000,0.8097
-2.000,-0.4686,0.03753,0.02927,0.0569,1.0000,0.8268
-1.750,-0.4520,0.03721,0.02888,0.0578,1.0000,0.8439
-1.500,-0.4339,0.03695,0.02853,0.0584,1.0000,0.8607
