Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n11h9-il-500000
Airfoil,n11h9-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,114.544
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n11h9-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.750,-0.3768,0.08829,0.08529,-0.0037,0.6986,0.0098
-7.500,-0.3770,0.08545,0.08247,-0.0046,0.6939,0.0100
-7.250,-0.3767,0.08275,0.07978,-0.0053,0.6893,0.0102
-7.000,-0.3719,0.07968,0.07666,-0.0069,0.6852,0.0106
-6.750,-0.3649,0.07654,0.07349,-0.0086,0.6814,0.0107
-6.500,-0.3559,0.07326,0.07019,-0.0104,0.6770,0.0112
-6.250,-0.3451,0.06998,0.06686,-0.0120,0.6730,0.0116
-6.000,-0.3319,0.06669,0.06347,-0.0136,0.6694,0.0121
-5.750,-0.3078,0.06370,0.06033,-0.0167,0.6654,0.0127
-5.500,-0.2895,0.06044,0.05696,-0.0177,0.6613,0.0127
-5.250,-0.2717,0.05733,0.05374,-0.0181,0.6575,0.0128
-5.000,-0.2533,0.05420,0.05046,-0.0182,0.6541,0.0128
-4.750,-0.2437,0.04971,0.04593,-0.0182,0.6506,0.0131
-4.500,-0.2277,0.04694,0.04310,-0.0181,0.6467,0.0133
-4.250,-0.2091,0.04435,0.04040,-0.0179,0.6432,0.0136
-4.000,-0.1892,0.04187,0.03777,-0.0176,0.6400,0.0141
-3.750,-0.1679,0.03936,0.03514,-0.0172,0.6366,0.0147
-3.500,-0.1454,0.03691,0.03254,-0.0165,0.6329,0.0153
-3.250,-0.1194,0.03461,0.03003,-0.0155,0.6295,0.0166
-3.000,-0.0900,0.03299,0.02810,-0.0139,0.6264,0.0172
-2.750,-0.0704,0.02949,0.02431,-0.0123,0.6235,0.0175
-2.500,-0.0518,0.02709,0.02186,-0.0118,0.6201,0.0183
-2.250,-0.0292,0.02551,0.02016,-0.0111,0.6168,0.0194
-2.000,-0.0035,0.02400,0.01843,-0.0099,0.6138,0.0219
-1.750,0.0268,0.02398,0.01802,-0.0083,0.6110,0.0234
-1.500,0.0452,0.02041,0.01435,-0.0075,0.6082,0.0256
-1.250,0.0706,0.01941,0.01324,-0.0069,0.6048,0.0283
-1.000,0.1003,0.01983,0.01342,-0.0060,0.6015,0.0320
-0.750,0.1236,0.01688,0.01018,-0.0049,0.5989,0.0340
-0.500,0.1498,0.01579,0.00902,-0.0046,0.5963,0.0362
-0.250,0.1771,0.01501,0.00810,-0.0041,0.5935,0.0394
0.000,0.2090,0.01297,0.00566,-0.0029,0.5906,0.0240
0.250,0.2361,0.01217,0.00488,-0.0028,0.5876,0.0266
