Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n12-il-100000
Airfoil,n12-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,38.9903
Max Cl/Cd alpha,4.25
Url,http://airfoiltools.com/polar/csv?polar=xf-n12-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.6109,0.09082,0.08562,-0.0134,1.0000,0.1717
-9.250,-0.7232,0.05225,0.04692,-0.0331,1.0000,0.0900
-9.000,-0.7988,0.05855,0.05275,-0.0263,1.0000,0.0883
-8.750,-0.8349,0.05165,0.04498,-0.0206,1.0000,0.0790
-8.500,-0.8328,0.04784,0.04092,-0.0179,1.0000,0.0784
-8.250,-0.8291,0.04435,0.03711,-0.0151,1.0000,0.0778
-8.000,-0.8226,0.04092,0.03333,-0.0122,1.0000,0.0768
-7.750,-0.8140,0.03761,0.02962,-0.0094,1.0000,0.0755
-7.500,-0.8023,0.03460,0.02618,-0.0067,1.0000,0.0746
-7.250,-0.7870,0.03230,0.02350,-0.0045,1.0000,0.0754
-7.000,-0.7697,0.03035,0.02123,-0.0024,1.0000,0.0769
-6.750,-0.7497,0.02842,0.01900,-0.0007,1.0000,0.0780
-6.500,-0.7273,0.02663,0.01699,0.0006,1.0000,0.0787
-6.250,-0.7043,0.02517,0.01532,0.0018,1.0000,0.0800
-6.000,-0.6824,0.02373,0.01398,0.0029,1.0000,0.0832
-5.750,-0.6614,0.02271,0.01297,0.0043,1.0000,0.0867
-5.500,-0.6406,0.02168,0.01190,0.0059,1.0000,0.0895
-5.250,-0.6213,0.02076,0.01093,0.0077,1.0000,0.0928
-5.000,-0.6051,0.01985,0.01011,0.0099,1.0000,0.0976
-4.750,-0.5877,0.01919,0.00942,0.0121,1.0000,0.1061
-4.500,-0.5726,0.01838,0.00869,0.0145,1.0000,0.1193
-4.250,-0.5594,0.01733,0.00788,0.0172,1.0000,0.1496
-4.000,-0.5499,0.01593,0.00717,0.0203,1.0000,0.2407
-3.750,-0.5397,0.01504,0.00695,0.0234,1.0000,0.3811
-3.500,-0.5258,0.01452,0.00673,0.0262,1.0000,0.4546
-3.250,-0.5121,0.01402,0.00663,0.0291,1.0000,0.5288
