Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n5h10-il-200000
Airfoil,n5h10-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,65.8255
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-n5h10-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4035,0.09118,0.08833,-0.0160,0.9627,0.0419
-9.250,-0.4005,0.08601,0.08313,-0.0198,0.9437,0.0431
-9.000,-0.4035,0.08099,0.07808,-0.0235,0.9313,0.0445
-8.750,-0.4144,0.07591,0.07300,-0.0282,0.9207,0.0455
-8.500,-0.4278,0.07108,0.06812,-0.0323,0.9111,0.0457
-8.250,-0.4432,0.06714,0.06412,-0.0339,0.9011,0.0459
-8.000,-0.4600,0.06377,0.06061,-0.0335,0.8918,0.0462
-7.500,-0.4747,0.05663,0.05306,-0.0319,0.8762,0.0466
-7.250,-0.4819,0.04904,0.04540,-0.0313,0.8709,0.0475
-7.000,-0.4710,0.04500,0.04143,-0.0309,0.8646,0.0488
-6.750,-0.4632,0.04198,0.03834,-0.0298,0.8583,0.0504
-6.500,-0.4550,0.03870,0.03494,-0.0289,0.8522,0.0529
-6.250,-0.4481,0.03758,0.03310,-0.0260,0.8444,0.0595
-6.000,-0.4599,0.04443,0.03959,-0.0275,0.8537,0.0619
-5.750,-0.4437,0.04215,0.03731,-0.0267,0.8471,0.0648
-5.500,-0.4263,0.04382,0.03819,-0.0233,0.8410,0.0734
-5.250,-0.4146,0.03713,0.03164,-0.0234,0.8348,0.0767
-5.000,-0.3965,0.03519,0.02959,-0.0221,0.8295,0.0815
-4.750,-0.3792,0.03299,0.02704,-0.0207,0.8235,0.0916
-4.500,-0.3609,0.03137,0.02521,-0.0195,0.8180,0.1055
-4.250,-0.3298,0.02503,0.01770,-0.0155,0.8145,0.0540
-4.000,-0.3029,0.02262,0.01487,-0.0146,0.8086,0.0518
-3.750,-0.2772,0.02154,0.01358,-0.0139,0.8036,0.0550
-3.500,-0.2505,0.02034,0.01213,-0.0131,0.7995,0.0566
-3.250,-0.2221,0.01934,0.01095,-0.0130,0.7937,0.0582
-3.000,-0.1951,0.01816,0.00967,-0.0127,0.7895,0.0619
-2.750,-0.1694,0.01733,0.00883,-0.0121,0.7862,0.0648
-2.500,-0.1427,0.01671,0.00823,-0.0120,0.7804,0.0679
