Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n63015a-il-100000
Airfoil,n63015a-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,44.4413
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-n63015a-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.7813,0.10155,0.09618,-0.0287,1.0000,0.0742
-13.250,-0.7859,0.09557,0.09019,-0.0302,1.0000,0.0733
-13.000,-0.8050,0.08853,0.08310,-0.0333,1.0000,0.0722
-12.750,-0.8349,0.08114,0.07558,-0.0367,1.0000,0.0708
-12.500,-0.8679,0.07446,0.06872,-0.0392,1.0000,0.0695
-12.250,-0.9015,0.06864,0.06265,-0.0401,1.0000,0.0682
-12.000,-0.9356,0.06360,0.05730,-0.0392,1.0000,0.0669
-11.750,-0.9741,0.05937,0.05263,-0.0358,1.0000,0.0655
-11.500,-0.9942,0.05616,0.04905,-0.0321,1.0000,0.0651
-11.250,-0.9958,0.05307,0.04571,-0.0300,1.0000,0.0654
-11.000,-0.9952,0.05002,0.04236,-0.0278,1.0000,0.0657
-10.750,-0.9909,0.04704,0.03907,-0.0257,1.0000,0.0659
-10.500,-0.9808,0.04430,0.03608,-0.0241,1.0000,0.0665
-10.250,-0.9675,0.04182,0.03334,-0.0226,1.0000,0.0675
-10.000,-0.9521,0.03956,0.03085,-0.0213,1.0000,0.0690
-9.750,-0.9369,0.03763,0.02866,-0.0198,1.0000,0.0715
-9.500,-0.9224,0.03600,0.02667,-0.0179,1.0000,0.0740
-9.250,-0.8944,0.03338,0.02412,-0.0184,1.0000,0.0775
-9.000,-0.8710,0.03172,0.02240,-0.0178,1.0000,0.0815
-8.500,-0.8271,0.02862,0.01931,-0.0163,1.0000,0.0941
-8.250,-0.8069,0.02713,0.01784,-0.0152,1.0000,0.1025
-8.000,-0.7916,0.02596,0.01669,-0.0133,1.0000,0.1136
-7.750,-0.7800,0.02470,0.01559,-0.0110,1.0000,0.1275
-7.500,-0.7740,0.02342,0.01456,-0.0077,1.0000,0.1446
-7.250,-0.7715,0.02222,0.01359,-0.0039,1.0000,0.1687
-7.000,-0.7740,0.02090,0.01265,0.0007,1.0000,0.2031
-6.750,-0.7815,0.01946,0.01175,0.0060,1.0000,0.2593
-6.500,-0.7896,0.01817,0.01119,0.0115,1.0000,0.3563
-6.250,-0.7877,0.01772,0.01118,0.0158,1.0000,0.4439
-6.000,-0.7786,0.01773,0.01126,0.0191,1.0000,0.4960
-5.750,-0.7660,0.01792,0.01148,0.0219,1.0000,0.5326
-5.500,-0.7518,0.01819,0.01171,0.0243,1.0000,0.5625
-5.250,-0.7351,0.01859,0.01212,0.0265,1.0000,0.5867
-5.000,-0.7192,0.01888,0.01234,0.0285,1.0000,0.6094
-4.750,-0.6984,0.01930,0.01275,0.0300,0.9992,0.6281
-4.500,-0.6556,0.01997,0.01337,0.0275,0.9913,0.6483
-4.250,-0.6125,0.02058,0.01392,0.0249,0.9835,0.6674
-4.000,-0.5742,0.02111,0.01439,0.0234,0.9745,0.6852
-3.750,-0.5337,0.02165,0.01488,0.0215,0.9668,0.7020
-3.500,-0.4940,0.02205,0.01522,0.0197,0.9585,0.7159
-3.250,-0.4567,0.02224,0.01532,0.0180,0.9502,0.7287
-3.000,-0.4169,0.02227,0.01525,0.0155,0.9423,0.7416
-2.750,-0.3783,0.02250,0.01544,0.0138,0.9344,0.7503
-2.500,-0.3378,0.02243,0.01528,0.0112,0.9268,0.7604
-2.250,-0.2979,0.02246,0.01526,0.0088,0.9196,0.7694
-2.000,-0.2610,0.02238,0.01512,0.0070,0.9113,0.7780
-1.750,-0.2224,0.02232,0.01501,0.0049,0.9043,0.7869
-1.500,-0.1900,0.02227,0.01492,0.0040,0.8951,0.7949
-1.250,-0.1528,0.02219,0.01479,0.0022,0.8882,0.8036
-1.000,-0.1237,0.02216,0.01475,0.0020,0.8786,0.8116
-0.750,-0.0893,0.02208,0.01465,0.0009,0.8714,0.8204
-0.500,-0.0609,0.02208,0.01464,0.0008,0.8618,0.8283
-0.250,-0.0294,0.02203,0.01457,0.0002,0.8543,0.8373
0.000,0.0000,0.02205,0.01459,0.0000,0.8450,0.8450
0.250,0.0294,0.02203,0.01457,-0.0002,0.8373,0.8543
0.500,0.0609,0.02208,0.01464,-0.0008,0.8283,0.8619
0.750,0.0893,0.02208,0.01464,-0.0009,0.8203,0.8714
1.000,0.1237,0.02216,0.01475,-0.0020,0.8116,0.8786
1.250,0.1527,0.02219,0.01479,-0.0022,0.8036,0.8883
1.500,0.1900,0.02227,0.01492,-0.0040,0.7949,0.8951
1.750,0.2223,0.02232,0.01501,-0.0049,0.7868,0.9043
2.000,0.2610,0.02238,0.01512,-0.0070,0.7780,0.9113
2.250,0.2979,0.02246,0.01526,-0.0088,0.7694,0.9196
2.500,0.3378,0.02242,0.01528,-0.0112,0.7604,0.9269
2.750,0.3783,0.02250,0.01544,-0.0138,0.7503,0.9344
3.000,0.4169,0.02226,0.01525,-0.0155,0.7416,0.9424
3.250,0.4566,0.02224,0.01532,-0.0180,0.7287,0.9503
