Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n63210-il-1000000
Airfoil,n63210-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,69.0172
Max Cl/Cd alpha,2
Url,http://airfoiltools.com/polar/csv?polar=xf-n63210-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.8792,0.07479,0.07311,-0.0246,1.0000,0.0059
-13.500,-0.9188,0.05971,0.05783,-0.0358,1.0000,0.0058
-13.250,-0.9614,0.04873,0.04662,-0.0441,1.0000,0.0058
-13.000,-0.9818,0.04295,0.04065,-0.0475,1.0000,0.0058
-12.750,-0.9952,0.03889,0.03641,-0.0490,1.0000,0.0058
-12.500,-1.0224,0.03423,0.03149,-0.0487,1.0000,0.0058
-12.250,-1.0391,0.03137,0.02839,-0.0461,1.0000,0.0058
-12.000,-1.0394,0.02905,0.02584,-0.0445,1.0000,0.0058
-11.750,-1.0467,0.02518,0.02152,-0.0424,1.0000,0.0060
-11.500,-1.0385,0.02288,0.01894,-0.0411,1.0000,0.0063
-11.250,-1.0221,0.02156,0.01747,-0.0404,1.0000,0.0065
-11.000,-1.0027,0.02058,0.01639,-0.0397,1.0000,0.0067
-10.750,-0.9817,0.01981,0.01554,-0.0393,1.0000,0.0069
-10.500,-0.9595,0.01920,0.01486,-0.0388,1.0000,0.0072
-10.250,-0.9374,0.01852,0.01409,-0.0384,1.0000,0.0075
-10.000,-0.9155,0.01775,0.01323,-0.0379,1.0000,0.0078
-9.750,-0.8935,0.01701,0.01236,-0.0373,1.0000,0.0082
-9.500,-0.8714,0.01627,0.01156,-0.0368,1.0000,0.0087
-9.250,-0.8451,0.01643,0.01176,-0.0366,1.0000,0.0092
-9.000,-0.8195,0.01654,0.01190,-0.0363,1.0000,0.0098
-8.750,-0.7948,0.01655,0.01190,-0.0359,1.0000,0.0108
-8.500,-0.7699,0.01674,0.01205,-0.0354,1.0000,0.0115
-8.250,-0.7497,0.01610,0.01137,-0.0345,1.0000,0.0125
-8.000,-0.7273,0.01616,0.01146,-0.0337,1.0000,0.0131
-7.750,-0.7004,0.01612,0.01141,-0.0339,0.9991,0.0141
-7.500,-0.6649,0.01606,0.01131,-0.0358,0.9964,0.0153
-7.250,-0.6280,0.01637,0.01156,-0.0379,0.9939,0.0160
-7.000,-0.5989,0.01417,0.00922,-0.0392,0.9897,0.0175
-6.750,-0.5648,0.01368,0.00873,-0.0409,0.9856,0.0185
-6.500,-0.5315,0.01318,0.00819,-0.0424,0.9806,0.0194
-6.250,-0.5003,0.01278,0.00775,-0.0434,0.9729,0.0204
-6.000,-0.4715,0.01248,0.00739,-0.0437,0.9628,0.0212
-5.750,-0.4443,0.01259,0.00745,-0.0435,0.9504,0.0221
-5.500,-0.4227,0.01133,0.00609,-0.0425,0.9333,0.0228
-5.250,-0.3993,0.01074,0.00541,-0.0416,0.9118,0.0229
-5.000,-0.3754,0.01028,0.00483,-0.0408,0.8900,0.0229
-4.750,-0.3502,0.00988,0.00432,-0.0403,0.8750,0.0229
-4.500,-0.3241,0.00953,0.00387,-0.0401,0.8635,0.0230
-4.250,-0.2975,0.00918,0.00343,-0.0399,0.8541,0.0232
-4.000,-0.2704,0.00888,0.00305,-0.0398,0.8452,0.0234
-3.750,-0.2428,0.00863,0.00273,-0.0398,0.8370,0.0235
-3.500,-0.2152,0.00840,0.00243,-0.0398,0.8287,0.0238
-3.250,-0.1872,0.00818,0.00217,-0.0398,0.8202,0.0243
-3.000,-0.1593,0.00801,0.00194,-0.0399,0.8120,0.0254
-2.750,-0.1311,0.00784,0.00175,-0.0399,0.8030,0.0270
-2.500,-0.1030,0.00771,0.00159,-0.0400,0.7945,0.0291
-2.250,-0.0749,0.00751,0.00143,-0.0401,0.7857,0.0496
-2.000,-0.0476,0.00682,0.00119,-0.0405,0.7768,0.1857
-1.750,-0.0207,0.00595,0.00096,-0.0410,0.7683,0.3812
-1.500,0.0070,0.00552,0.00088,-0.0413,0.7593,0.4909
-1.250,0.0352,0.00534,0.00090,-0.0414,0.7507,0.5613
-1.000,0.0636,0.00534,0.00091,-0.0415,0.7419,0.5956
-0.750,0.0920,0.00526,0.00088,-0.0416,0.7333,0.6147
-0.500,0.1203,0.00521,0.00086,-0.0417,0.7250,0.6321
-0.250,0.1488,0.00517,0.00086,-0.0418,0.7159,0.6469
0.000,0.1772,0.00516,0.00087,-0.0419,0.7062,0.6605
0.250,0.2054,0.00517,0.00089,-0.0419,0.6914,0.6798
0.500,0.2336,0.00519,0.00090,-0.0419,0.6758,0.6971
0.750,0.2620,0.00522,0.00092,-0.0420,0.6626,0.7080
1.000,0.2903,0.00525,0.00095,-0.0421,0.6474,0.7188
1.250,0.3184,0.00530,0.00098,-0.0421,0.6286,0.7299
1.500,0.3461,0.00541,0.00101,-0.0421,0.5977,0.7413
1.750,0.3734,0.00557,0.00106,-0.0420,0.5575,0.7529
2.000,0.4003,0.00580,0.00114,-0.0419,0.5060,0.7645
2.250,0.4261,0.00622,0.00127,-0.0417,0.4245,0.7760
2.500,0.4485,0.00729,0.00163,-0.0413,0.2462,0.7877
2.750,0.4715,0.00831,0.00205,-0.0409,0.0928,0.7996
3.000,0.4969,0.00884,0.00235,-0.0406,0.0300,0.8113
3.250,0.5241,0.00902,0.00254,-0.0405,0.0247,0.8225
3.500,0.5513,0.00917,0.00275,-0.0404,0.0237,0.8336
3.750,0.5783,0.00935,0.00298,-0.0402,0.0230,0.8450
4.000,0.6051,0.00956,0.00324,-0.0400,0.0223,0.8566
4.250,0.6313,0.00978,0.00354,-0.0397,0.0216,0.8685
4.500,0.6569,0.01004,0.00387,-0.0393,0.0209,0.8814
4.750,0.6820,0.01034,0.00424,-0.0387,0.0204,0.8949
5.000,0.7063,0.01067,0.00466,-0.0380,0.0200,0.9096
5.250,0.7295,0.01103,0.00509,-0.0370,0.0198,0.9261
5.500,0.7514,0.01141,0.00556,-0.0358,0.0197,0.9441
5.750,0.7730,0.01179,0.00603,-0.0345,0.0197,0.9689
6.000,0.8013,0.01234,0.00664,-0.0350,0.0194,1.0000
6.250,0.8265,0.01294,0.00728,-0.0347,0.0193,1.0000
6.500,0.8512,0.01361,0.00800,-0.0344,0.0193,1.0000
6.750,0.8755,0.01433,0.00876,-0.0340,0.0193,1.0000
7.000,0.8995,0.01511,0.00960,-0.0335,0.0191,1.0000
7.250,0.9219,0.01624,0.01076,-0.0330,0.0184,1.0000
7.500,0.9425,0.01848,0.01311,-0.0321,0.0178,1.0000
7.750,0.9686,0.01837,0.01306,-0.0321,0.0171,1.0000
8.000,0.9938,0.01872,0.01347,-0.0318,0.0166,1.0000
