Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca25112-jf-500000
Airfoil,naca25112-jf
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,89.9314
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca25112-jf-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.500,-0.7670,0.06133,0.05888,-0.0291,1.0000,0.0229
-11.250,-0.8119,0.05246,0.04977,-0.0328,1.0000,0.0227
-11.000,-0.8650,0.04447,0.04134,-0.0298,1.0000,0.0225
-10.750,-0.8978,0.03722,0.03342,-0.0260,1.0000,0.0227
-10.500,-0.9011,0.03346,0.02913,-0.0232,1.0000,0.0229
-10.250,-0.8989,0.02982,0.02515,-0.0208,1.0000,0.0233
-10.000,-0.8810,0.02869,0.02397,-0.0197,1.0000,0.0238
-9.750,-0.8610,0.02791,0.02315,-0.0188,1.0000,0.0242
-9.500,-0.8408,0.02709,0.02226,-0.0178,1.0000,0.0248
-9.250,-0.8227,0.02571,0.02069,-0.0165,1.0000,0.0254
-9.000,-0.8052,0.02408,0.01879,-0.0150,1.0000,0.0261
-8.750,-0.7861,0.02269,0.01714,-0.0136,1.0000,0.0267
-8.500,-0.7666,0.02134,0.01553,-0.0122,1.0000,0.0272
-8.250,-0.7464,0.01999,0.01413,-0.0111,1.0000,0.0279
-8.000,-0.7245,0.01935,0.01348,-0.0101,1.0000,0.0286
-7.750,-0.7028,0.01880,0.01288,-0.0089,1.0000,0.0294
-7.500,-0.6819,0.01822,0.01222,-0.0076,1.0000,0.0304
-7.250,-0.6616,0.01766,0.01154,-0.0061,1.0000,0.0313
-7.000,-0.6325,0.01652,0.01030,-0.0065,0.9968,0.0324
-6.750,-0.5949,0.01581,0.00960,-0.0088,0.9903,0.0336
-6.500,-0.5579,0.01525,0.00900,-0.0107,0.9804,0.0351
-6.250,-0.5223,0.01478,0.00844,-0.0122,0.9663,0.0367
-6.000,-0.4911,0.01396,0.00759,-0.0128,0.9460,0.0384
-5.750,-0.4637,0.01360,0.00720,-0.0125,0.9205,0.0401
-5.500,-0.4397,0.01330,0.00679,-0.0113,0.8916,0.0418
-5.250,-0.4154,0.01309,0.00643,-0.0102,0.8623,0.0433
-5.000,-0.3926,0.01254,0.00581,-0.0089,0.8347,0.0457
-4.750,-0.3675,0.01236,0.00554,-0.0081,0.8077,0.0482
-4.500,-0.3418,0.01220,0.00523,-0.0074,0.7818,0.0504
-4.250,-0.3175,0.01177,0.00473,-0.0066,0.7570,0.0536
-4.000,-0.2914,0.01163,0.00450,-0.0060,0.7339,0.0571
-3.750,-0.2657,0.01137,0.00414,-0.0054,0.7113,0.0608
-3.500,-0.2396,0.01119,0.00390,-0.0049,0.6898,0.0652
-3.250,-0.2131,0.01104,0.00365,-0.0045,0.6699,0.0701
-2.750,-0.1604,0.01068,0.00320,-0.0036,0.6333,0.0838
-2.500,-0.1335,0.01058,0.00304,-0.0033,0.6168,0.0921
-2.250,-0.1070,0.01041,0.00286,-0.0029,0.6014,0.1037
-2.000,-0.0802,0.01026,0.00271,-0.0026,0.5867,0.1181
-1.750,-0.0533,0.01012,0.00258,-0.0024,0.5734,0.1372
-1.500,-0.0268,0.00993,0.00247,-0.0020,0.5614,0.1678
-1.000,0.0133,0.00818,0.00211,0.0004,0.5400,0.5660
-0.750,0.0280,0.00735,0.00213,0.0035,0.5312,0.7965
-0.500,0.0531,0.00729,0.00227,0.0049,0.5214,0.8772
-0.250,0.0813,0.00743,0.00241,0.0054,0.5122,0.9122
0.000,0.1112,0.00762,0.00255,0.0055,0.5030,0.9330
0.250,0.1426,0.00782,0.00269,0.0053,0.4945,0.9472
0.750,0.2182,0.00828,0.00299,0.0018,0.4769,0.9641
1.000,0.2560,0.00850,0.00311,-0.0001,0.4685,0.9712
1.250,0.3039,0.00868,0.00323,-0.0042,0.4596,0.9747
1.500,0.3468,0.00889,0.00335,-0.0072,0.4513,0.9809
1.750,0.3976,0.00904,0.00346,-0.0119,0.4425,0.9866
2.000,0.4369,0.00914,0.00348,-0.0144,0.4347,0.9900
2.250,0.4709,0.00918,0.00350,-0.0158,0.4274,0.9928
2.500,0.5061,0.00923,0.00349,-0.0174,0.4198,0.9947
2.750,0.5420,0.00926,0.00350,-0.0192,0.4126,0.9965
3.000,0.5775,0.00929,0.00350,-0.0210,0.4049,0.9985
3.250,0.6114,0.00936,0.00353,-0.0224,0.3979,1.0000
3.500,0.6368,0.00939,0.00356,-0.0220,0.3909,1.0000
3.750,0.6620,0.00950,0.00360,-0.0216,0.3842,1.0000
4.000,0.6875,0.00952,0.00365,-0.0213,0.3775,1.0000
4.250,0.7127,0.00961,0.00371,-0.0209,0.3706,1.0000
4.500,0.7381,0.00968,0.00379,-0.0205,0.3639,1.0000
4.750,0.7632,0.00977,0.00386,-0.0200,0.3567,1.0000
5.000,0.7881,0.00988,0.00397,-0.0196,0.3499,1.0000
5.250,0.8128,0.00997,0.00406,-0.0190,0.3424,1.0000
5.500,0.8370,0.01012,0.00418,-0.0184,0.3352,1.0000
5.750,0.8615,0.01021,0.00431,-0.0179,0.3275,1.0000
6.000,0.8854,0.01038,0.00445,-0.0172,0.3197,1.0000
6.250,0.9096,0.01050,0.00459,-0.0166,0.3111,1.0000
6.500,0.9332,0.01067,0.00475,-0.0159,0.3027,1.0000
6.750,0.9567,0.01083,0.00491,-0.0152,0.2934,1.0000
7.000,0.9801,0.01101,0.00509,-0.0144,0.2843,1.0000
7.250,1.0028,0.01125,0.00530,-0.0136,0.2745,1.0000
7.500,1.0260,0.01142,0.00550,-0.0128,0.2644,1.0000
7.750,1.0486,0.01166,0.00573,-0.0120,0.2542,1.0000
8.000,1.0705,0.01194,0.00599,-0.0110,0.2434,1.0000
8.250,1.0925,0.01221,0.00626,-0.0101,0.2317,1.0000
8.500,1.1142,0.01251,0.00654,-0.0092,0.2196,1.0000
8.750,1.1353,0.01285,0.00686,-0.0081,0.2069,1.0000
9.000,1.1558,0.01323,0.00722,-0.0070,0.1933,1.0000
