Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca63a210-il-50000
Airfoil,naca63a210-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,28.2843
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca63a210-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.5058,0.09678,0.09183,0.0199,1.0000,0.3846
-7.750,-0.4937,0.09337,0.08846,0.0211,1.0000,0.4121
-6.250,-0.5511,0.05418,0.04876,-0.0292,1.0000,0.1817
-6.000,-0.5221,0.04751,0.04121,-0.0333,0.9665,0.1355
-5.750,-0.4915,0.04262,0.03553,-0.0354,0.9438,0.1156
-5.500,-0.4602,0.03921,0.03133,-0.0366,0.9293,0.1079
-5.250,-0.4294,0.03597,0.02757,-0.0375,0.9194,0.1061
-5.000,-0.3973,0.03306,0.02415,-0.0381,0.9118,0.1034
-4.750,-0.3629,0.03050,0.02103,-0.0385,0.9063,0.1005
-4.500,-0.3287,0.02830,0.01851,-0.0388,0.9013,0.1009
-4.250,-0.2936,0.02639,0.01645,-0.0391,0.8975,0.1056
-4.000,-0.2615,0.02475,0.01470,-0.0392,0.8941,0.1200
-3.750,-0.2340,0.02327,0.01317,-0.0388,0.8904,0.1365
-3.500,-0.0836,0.02229,0.01487,-0.0360,0.9090,0.9856
-3.250,-0.0335,0.02131,0.01333,-0.0429,0.9039,1.0000
-3.000,-0.0099,0.02082,0.01253,-0.0447,0.8972,1.0000
-2.750,0.0138,0.02042,0.01184,-0.0463,0.8922,1.0000
-2.500,0.0373,0.02010,0.01128,-0.0479,0.8879,1.0000
-2.250,0.0608,0.01985,0.01082,-0.0493,0.8844,1.0000
-2.000,0.0842,0.01968,0.01041,-0.0507,0.8812,1.0000
-1.750,0.1077,0.01957,0.01012,-0.0519,0.8787,1.0000
-1.500,0.1305,0.01955,0.00996,-0.0531,0.8765,1.0000
-1.250,0.1525,0.01960,0.00990,-0.0542,0.8747,1.0000
-1.000,0.1736,0.01974,0.00991,-0.0550,0.8729,1.0000
-0.750,0.1932,0.01995,0.01003,-0.0555,0.8712,1.0000
-0.500,0.2109,0.02026,0.01026,-0.0557,0.8698,1.0000
-0.250,0.2266,0.02065,0.01058,-0.0555,0.8686,1.0000
0.000,0.2403,0.02113,0.01100,-0.0549,0.8675,1.0000
0.250,0.2533,0.02167,0.01148,-0.0540,0.8662,1.0000
0.500,0.2680,0.02225,0.01200,-0.0533,0.8648,1.0000
0.750,0.2813,0.02293,0.01260,-0.0525,0.8639,1.0000
1.000,0.2889,0.02375,0.01336,-0.0507,0.8630,1.0000
1.250,0.2961,0.02460,0.01414,-0.0488,0.8612,1.0000
1.500,0.3064,0.02542,0.01491,-0.0473,0.8583,1.0000
1.750,0.3220,0.02621,0.01568,-0.0466,0.8552,1.0000
2.000,0.3405,0.02703,0.01650,-0.0464,0.8527,1.0000
2.250,0.3643,0.02784,0.01737,-0.0469,0.8501,1.0000
2.500,0.3766,0.02884,0.01837,-0.0459,0.8477,1.0000
2.750,0.3843,0.02991,0.01944,-0.0443,0.8456,1.0000
3.000,0.3963,0.03095,0.02051,-0.0432,0.8425,1.0000
3.250,0.4241,0.03186,0.02153,-0.0444,0.8367,1.0000
3.500,0.4394,0.03291,0.02265,-0.0437,0.8300,1.0000
3.750,0.4788,0.03373,0.02373,-0.0461,0.8200,1.0000
4.000,0.4855,0.03493,0.02501,-0.0442,0.8112,1.0000
4.250,0.5120,0.03592,0.02618,-0.0446,0.7983,1.0000
4.500,0.5479,0.03666,0.02718,-0.0458,0.7806,1.0000
4.750,0.5873,0.03709,0.02798,-0.0462,0.7581,1.0000
5.000,0.6290,0.03689,0.02813,-0.0451,0.7294,1.0000
5.250,0.6630,0.03649,0.02805,-0.0420,0.6974,1.0000
5.500,0.7033,0.03495,0.02692,-0.0368,0.6611,1.0000
5.750,0.7269,0.03447,0.02669,-0.0313,0.6240,1.0000
6.000,0.7481,0.03397,0.02641,-0.0252,0.5824,1.0000
6.250,0.7715,0.03382,0.02623,-0.0176,0.5318,1.0000
6.500,0.7773,0.03123,0.02436,-0.0128,0.4338,1.0000
6.750,0.7979,0.02821,0.01978,-0.0054,0.2773,1.0000
7.000,0.8048,0.03045,0.02140,-0.0023,0.2214,1.0000
7.250,0.8150,0.03264,0.02329,0.0003,0.1787,1.0000
7.500,0.8339,0.03509,0.02553,0.0028,0.1473,1.0000
7.750,0.8567,0.03771,0.02804,0.0044,0.1223,1.0000
8.000,0.8831,0.04126,0.03171,0.0057,0.1104,1.0000
8.250,0.9038,0.04469,0.03517,0.0066,0.0984,1.0000
8.500,0.9173,0.04832,0.03953,0.0083,0.0940,1.0000
8.750,0.9282,0.05267,0.04440,0.0097,0.0927,1.0000
9.000,0.9334,0.05725,0.04947,0.0108,0.0924,1.0000
9.250,0.9329,0.06189,0.05455,0.0116,0.0923,1.0000
9.500,0.9259,0.06673,0.05975,0.0119,0.0929,1.0000
9.750,0.9140,0.07173,0.06504,0.0116,0.0941,1.0000
10.000,0.8994,0.07678,0.07026,0.0109,0.0956,1.0000
10.250,0.8852,0.08200,0.07557,0.0095,0.0970,1.0000
10.500,0.8754,0.08767,0.08128,0.0076,0.0981,1.0000
10.750,0.8729,0.09364,0.08726,0.0061,0.0989,1.0000
11.000,0.8269,0.10478,0.09847,-0.0045,0.1128,1.0000
