Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca643418-il-200000
Airfoil,naca643418-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,69.319
Max Cl/Cd alpha,8.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca643418-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-0.4219,0.13554,0.13160,-0.0450,1.0000,0.0824
-14.250,-0.4091,0.13347,0.12953,-0.0448,1.0000,0.0840
-14.000,-0.7991,0.06127,0.05609,-0.0851,1.0000,0.0477
-13.500,-0.8391,0.05506,0.04949,-0.0839,1.0000,0.0475
-13.250,-0.8524,0.05219,0.04645,-0.0825,1.0000,0.0475
-13.000,-0.8680,0.04969,0.04380,-0.0801,1.0000,0.0476
-12.750,-0.8729,0.04693,0.04097,-0.0780,1.0000,0.0480
-12.500,-0.8787,0.04550,0.03955,-0.0749,1.0000,0.0484
-12.250,-0.9243,0.04578,0.03975,-0.0658,0.9985,0.0481
-12.000,-0.8912,0.04333,0.03728,-0.0690,0.9942,0.0491
-11.750,-0.8626,0.04117,0.03500,-0.0718,0.9876,0.0502
-11.500,-0.8339,0.03843,0.03199,-0.0749,0.9822,0.0509
-11.250,-0.8067,0.03604,0.02932,-0.0771,0.9749,0.0518
-11.000,-0.7732,0.03383,0.02682,-0.0801,0.9708,0.0530
-10.750,-0.7462,0.03228,0.02491,-0.0820,0.9625,0.0543
-10.500,-0.7037,0.03008,0.02279,-0.0848,0.9601,0.0561
-10.250,-0.6630,0.02862,0.02128,-0.0878,0.9566,0.0578
-10.000,-0.6287,0.02740,0.01996,-0.0894,0.9487,0.0597
-9.750,-0.5931,0.02628,0.01866,-0.0915,0.9422,0.0617
-9.500,-0.5561,0.02503,0.01753,-0.0930,0.9355,0.0647
-9.250,-0.5261,0.02416,0.01664,-0.0938,0.9264,0.0673
-9.000,-0.5041,0.02346,0.01583,-0.0932,0.9147,0.0701
-8.750,-0.4814,0.02253,0.01495,-0.0927,0.9055,0.0731
-8.500,-0.4682,0.02191,0.01432,-0.0909,0.8931,0.0765
-8.250,-0.4556,0.02141,0.01372,-0.0889,0.8819,0.0804
-8.000,-0.4473,0.02060,0.01294,-0.0864,0.8721,0.0844
-7.750,-0.4358,0.02004,0.01236,-0.0844,0.8611,0.0897
-7.500,-0.4248,0.01926,0.01158,-0.0823,0.8530,0.0968
-7.250,-0.4132,0.01861,0.01095,-0.0804,0.8428,0.1067
-7.000,-0.4006,0.01779,0.01018,-0.0786,0.8355,0.1228
-6.750,-0.3894,0.01689,0.00948,-0.0769,0.8264,0.1531
-6.500,-0.3798,0.01558,0.00857,-0.0752,0.8188,0.2263
-6.250,-0.3718,0.01412,0.00790,-0.0735,0.8110,0.3709
-6.000,-0.3496,0.01398,0.00802,-0.0727,0.8034,0.4637
-5.750,-0.3227,0.01410,0.00807,-0.0722,0.7978,0.4966
-5.500,-0.2968,0.01429,0.00817,-0.0718,0.7904,0.5190
-5.250,-0.2696,0.01449,0.00831,-0.0714,0.7839,0.5359
-5.000,-0.2415,0.01473,0.00849,-0.0710,0.7789,0.5500
-4.750,-0.2151,0.01499,0.00874,-0.0705,0.7719,0.5626
-4.500,-0.1878,0.01518,0.00882,-0.0702,0.7657,0.5755
-4.250,-0.1595,0.01547,0.00909,-0.0696,0.7609,0.5848
-4.000,-0.1328,0.01562,0.00918,-0.0694,0.7547,0.5950
-3.750,-0.1058,0.01596,0.00955,-0.0686,0.7484,0.6042
-3.500,-0.0781,0.01623,0.00976,-0.0680,0.7435,0.6153
-3.250,-0.0513,0.01663,0.01016,-0.0672,0.7381,0.6249
-3.000,-0.0246,0.01664,0.01012,-0.0671,0.7318,0.6322
-2.750,0.0034,0.01666,0.01010,-0.0669,0.7270,0.6358
-2.500,0.0324,0.01663,0.00996,-0.0671,0.7232,0.6399
-2.250,0.0591,0.01657,0.00986,-0.0674,0.7172,0.6445
-2.000,0.0875,0.01641,0.00960,-0.0680,0.7121,0.6492
-1.750,0.1158,0.01635,0.00950,-0.0680,0.7080,0.6519
-1.500,0.1447,0.01637,0.00946,-0.0682,0.7045,0.6552
-1.250,0.1708,0.01641,0.00953,-0.0682,0.6990,0.6592
-1.000,0.1991,0.01635,0.00943,-0.0686,0.6942,0.6637
-0.750,0.2289,0.01624,0.00920,-0.0694,0.6902,0.6680
-0.500,0.2579,0.01623,0.00915,-0.0695,0.6870,0.6708
-0.250,0.2839,0.01631,0.00930,-0.0695,0.6823,0.6738
0.000,0.3112,0.01636,0.00936,-0.0696,0.6779,0.6774
0.250,0.3400,0.01637,0.00933,-0.0701,0.6743,0.6818
0.500,0.3705,0.01635,0.00923,-0.0710,0.6713,0.6867
0.750,0.3994,0.01641,0.00928,-0.0712,0.6687,0.6896
1.000,0.4242,0.01657,0.00955,-0.0710,0.6642,0.6931
1.250,0.4511,0.01668,0.00969,-0.0711,0.6600,0.6973
1.500,0.4799,0.01675,0.00975,-0.0716,0.6567,0.7023
1.750,0.5094,0.01680,0.00978,-0.0722,0.6540,0.7068
2.000,0.5382,0.01690,0.00989,-0.0724,0.6515,0.7105
2.250,0.5632,0.01714,0.01023,-0.0722,0.6476,0.7154
2.500,0.5893,0.01734,0.01049,-0.0723,0.6434,0.7214
2.750,0.6171,0.01742,0.01061,-0.0725,0.6396,0.7264
3.000,0.6449,0.01749,0.01072,-0.0725,0.6365,0.7308
3.250,0.6746,0.01760,0.01084,-0.0729,0.6339,0.7364
3.500,0.7010,0.01789,0.01118,-0.0732,0.6302,0.7432
3.750,0.7235,0.01816,0.01160,-0.0725,0.6260,0.7477
4.000,0.7495,0.01834,0.01187,-0.0723,0.6223,0.7536
4.250,0.7794,0.01844,0.01198,-0.0729,0.6191,0.7609
4.500,0.8081,0.01849,0.01208,-0.0729,0.6163,0.7663
4.750,0.8305,0.01882,0.01255,-0.0723,0.6118,0.7731
5.000,0.8556,0.01891,0.01271,-0.0720,0.6055,0.7811
5.250,0.8857,0.01859,0.01242,-0.0718,0.6001,0.7871
5.500,0.9111,0.01860,0.01250,-0.0714,0.5933,0.7951
5.750,0.9369,0.01836,0.01231,-0.0708,0.5852,0.8020
