Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca643618-il-200000
Airfoil,naca643618-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,74.3032
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-naca643618-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.250,-0.5021,0.08279,0.07891,-0.0846,1.0000,0.0558
-13.000,-0.5128,0.07850,0.07464,-0.0852,1.0000,0.0551
-12.750,-0.5448,0.07323,0.06938,-0.0861,1.0000,0.0543
-12.500,-0.7185,0.05843,0.05374,-0.0926,0.9908,0.0494
-12.250,-0.7228,0.05379,0.04873,-0.0978,0.9820,0.0492
-12.000,-0.7212,0.04960,0.04422,-0.1006,0.9715,0.0492
-11.750,-0.7086,0.04511,0.03952,-0.1033,0.9646,0.0499
-11.500,-0.6720,0.04373,0.03829,-0.1057,0.9609,0.0514
-11.250,-0.6497,0.04062,0.03491,-0.1091,0.9561,0.0523
-11.000,-0.6322,0.03792,0.03190,-0.1107,0.9483,0.0531
-10.750,-0.6094,0.03522,0.02884,-0.1125,0.9421,0.0538
-10.500,-0.5820,0.03291,0.02617,-0.1147,0.9373,0.0551
-10.250,-0.5660,0.03160,0.02449,-0.1141,0.9268,0.0562
-10.000,-0.5318,0.02923,0.02208,-0.1161,0.9227,0.0578
-9.750,-0.5079,0.02807,0.02086,-0.1161,0.9143,0.0591
-9.500,-0.4798,0.02689,0.01957,-0.1166,0.9073,0.0607
-9.250,-0.4549,0.02593,0.01845,-0.1165,0.8999,0.0627
-9.000,-0.4336,0.02518,0.01750,-0.1157,0.8909,0.0643
-8.750,-0.4025,0.02374,0.01611,-0.1163,0.8857,0.0666
-8.500,-0.3827,0.02307,0.01545,-0.1151,0.8761,0.0686
-8.250,-0.3579,0.02235,0.01464,-0.1148,0.8692,0.0713
-8.000,-0.3378,0.02189,0.01406,-0.1136,0.8606,0.0738
-7.750,-0.3164,0.02092,0.01320,-0.1128,0.8532,0.0773
-7.500,-0.2951,0.02035,0.01259,-0.1120,0.8465,0.0810
-7.250,-0.2763,0.01983,0.01201,-0.1108,0.8380,0.0848
-7.000,-0.2566,0.01906,0.01129,-0.1100,0.8318,0.0905
-6.750,-0.2387,0.01856,0.01076,-0.1087,0.8236,0.0972
-6.500,-0.2192,0.01787,0.01010,-0.1079,0.8165,0.1068
-6.250,-0.1987,0.01716,0.00942,-0.1074,0.8104,0.1227
-6.000,-0.1818,0.01627,0.00875,-0.1066,0.8023,0.1550
-5.750,-0.1641,0.01469,0.00779,-0.1068,0.7964,0.2698
-5.500,-0.1434,0.01386,0.00775,-0.1067,0.7900,0.4489
-5.250,-0.1161,0.01398,0.00782,-0.1066,0.7832,0.4945
-5.000,-0.0872,0.01418,0.00797,-0.1064,0.7782,0.5198
-4.750,-0.0598,0.01443,0.00817,-0.1061,0.7723,0.5383
-4.500,-0.0329,0.01466,0.00835,-0.1057,0.7657,0.5537
-4.250,-0.0038,0.01485,0.00841,-0.1056,0.7606,0.5681
-4.000,0.0232,0.01516,0.00872,-0.1050,0.7551,0.5799
-3.750,0.0491,0.01539,0.00894,-0.1043,0.7485,0.5904
-3.500,0.0779,0.01559,0.00902,-0.1042,0.7436,0.6022
-3.250,0.1051,0.01593,0.00938,-0.1033,0.7394,0.6113
-3.000,0.1296,0.01627,0.00972,-0.1024,0.7329,0.6241
-2.750,0.1548,0.01666,0.01015,-0.1011,0.7279,0.6328
-2.500,0.1862,0.01658,0.00989,-0.1021,0.7238,0.6407
-2.250,0.2119,0.01662,0.00993,-0.1017,0.7188,0.6439
-2.000,0.2380,0.01665,0.00996,-0.1014,0.7134,0.6473
-1.750,0.2669,0.01661,0.00985,-0.1017,0.7089,0.6515
-1.500,0.2983,0.01652,0.00962,-0.1026,0.7053,0.6562
-1.250,0.3255,0.01649,0.00956,-0.1031,0.6999,0.6606
