Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nacam18-il-500000
Airfoil,nacam18-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,102.612
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-nacam18-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4115,0.10518,0.10307,-0.0101,1.0000,0.0293
-9.250,-0.4057,0.10195,0.09981,-0.0118,0.9339,0.0298
-9.000,-0.4065,0.09913,0.09687,-0.0118,0.8950,0.0304
-8.750,-0.3344,0.08140,0.07893,-0.0288,0.8164,0.0334
-8.500,-0.3300,0.07819,0.07567,-0.0279,0.8031,0.0337
-8.250,-0.3257,0.07524,0.07266,-0.0279,0.7908,0.0339
-8.000,-0.4379,0.07668,0.07405,-0.0326,0.8179,0.0334
-7.750,-0.4327,0.07379,0.07109,-0.0321,0.8042,0.0337
-7.500,-0.4245,0.07121,0.06843,-0.0322,0.7910,0.0340
-7.250,-0.4151,0.06858,0.06571,-0.0326,0.7785,0.0343
-7.000,-0.4046,0.06578,0.06283,-0.0333,0.7664,0.0347
-6.750,-0.3934,0.06281,0.05976,-0.0342,0.7556,0.0353
-6.500,-0.3814,0.05955,0.05636,-0.0353,0.7456,0.0361
-6.250,-0.3415,0.03665,0.03319,-0.0409,0.7212,0.0399
-6.000,-0.3280,0.03440,0.03086,-0.0403,0.7132,0.0403
-5.750,-0.3122,0.03247,0.02887,-0.0398,0.7053,0.0408
-5.500,-0.2962,0.03036,0.02666,-0.0393,0.6982,0.0415
-5.250,-0.2799,0.02787,0.02405,-0.0389,0.6918,0.0427
-5.000,-0.2741,0.02083,0.01634,-0.0372,0.6874,0.0475
-4.750,-0.2546,0.01923,0.01468,-0.0367,0.6811,0.0480
-4.500,-0.2341,0.01786,0.01324,-0.0362,0.6747,0.0487
-4.250,-0.2131,0.01651,0.01180,-0.0357,0.6686,0.0497
-4.000,-0.1922,0.01506,0.01016,-0.0349,0.6632,0.0516
-3.750,-0.1746,0.01235,0.00694,-0.0333,0.6584,0.0569
-3.500,-0.1662,0.01918,0.01230,-0.0292,0.6622,0.0396
-3.250,-0.1400,0.01751,0.01048,-0.0289,0.6562,0.0390
-3.000,-0.1132,0.01634,0.00912,-0.0286,0.6504,0.0388
-2.750,-0.0858,0.01549,0.00809,-0.0283,0.6451,0.0389
-2.500,-0.0579,0.01487,0.00737,-0.0282,0.6394,0.0391
-2.250,-0.0302,0.01419,0.00657,-0.0280,0.6337,0.0396
-2.000,-0.0029,0.01336,0.00565,-0.0278,0.6285,0.0401
-1.750,0.0245,0.01275,0.00503,-0.0276,0.6230,0.0406
-1.500,0.0517,0.01233,0.00458,-0.0274,0.6177,0.0414
-1.250,0.0788,0.01203,0.00424,-0.0272,0.6125,0.0422
-1.000,0.1063,0.01172,0.00395,-0.0271,0.6068,0.0431
