Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nacam6-il-50000
Airfoil,nacam6-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,30.5016
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-nacam6-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.4419,0.12373,0.11628,-0.0123,1.0000,0.2452
-10.250,-0.4147,0.11803,0.11055,-0.0113,1.0000,0.2524
-10.000,-0.4356,0.11726,0.10990,-0.0128,1.0000,0.2621
-9.750,-0.4063,0.11193,0.10454,-0.0115,1.0000,0.2725
-9.500,-0.4128,0.10932,0.10201,-0.0120,1.0000,0.2826
-9.250,-0.4222,0.10762,0.10040,-0.0122,1.0000,0.2958
-9.000,-0.3999,0.10329,0.09605,-0.0111,1.0000,0.3097
-8.750,-0.3912,0.09990,0.09270,-0.0105,1.0000,0.3220
-8.500,-0.3895,0.09699,0.08986,-0.0100,1.0000,0.3362
-8.250,-0.3871,0.09417,0.08711,-0.0091,1.0000,0.3521
-8.000,-0.3803,0.09125,0.08424,-0.0080,1.0000,0.3700
-7.750,-0.3726,0.08845,0.08149,-0.0067,1.0000,0.3897
-7.500,-0.3924,0.08726,0.08046,-0.0044,1.0000,0.4143
-7.250,-0.3561,0.08306,0.07621,-0.0030,1.0000,0.4399
-7.000,-0.3422,0.08053,0.07373,-0.0006,1.0000,0.4743
-6.750,-0.3430,0.07909,0.07239,0.0032,1.0000,0.5145
-5.250,-0.6107,0.05723,0.05004,0.0076,1.0000,0.2118
-5.000,-0.6164,0.05316,0.04528,0.0112,1.0000,0.1790
-4.750,-0.6085,0.05018,0.04235,0.0133,1.0000,0.1742
-4.500,-0.6122,0.04784,0.03921,0.0179,1.0000,0.1624
-4.250,-0.6045,0.04559,0.03685,0.0203,1.0000,0.1609
-4.000,-0.5969,0.04361,0.03463,0.0230,1.0000,0.1596
-3.750,-0.5876,0.04175,0.03250,0.0256,1.0000,0.1580
-3.500,-0.5764,0.03997,0.03038,0.0280,1.0000,0.1560
-3.250,-0.5634,0.03834,0.02840,0.0302,1.0000,0.1542
-3.000,-0.5486,0.03685,0.02656,0.0322,1.0000,0.1536
-2.750,-0.5323,0.03555,0.02495,0.0339,1.0000,0.1539
-2.500,-0.5131,0.03447,0.02360,0.0349,0.9993,0.1571
-2.250,-0.4677,0.03347,0.02215,0.0314,0.9892,0.1635
-2.000,-0.1301,0.02732,0.01949,-0.0199,1.0000,1.0000
-1.750,-0.0955,0.02773,0.01940,-0.0229,0.9921,1.0000
-1.500,-0.0439,0.02813,0.01937,-0.0289,0.9785,1.0000
-1.250,0.0040,0.02852,0.01943,-0.0341,0.9652,1.0000
-1.000,0.0514,0.02891,0.01956,-0.0391,0.9522,1.0000
-0.750,0.1007,0.02928,0.01970,-0.0443,0.9396,1.0000
-0.500,0.1368,0.02965,0.01990,-0.0470,0.9261,1.0000
-0.250,0.1718,0.03006,0.02018,-0.0494,0.9128,1.0000
0.000,0.2077,0.03049,0.02049,-0.0519,0.9003,1.0000
0.250,0.2526,0.03084,0.02073,-0.0557,0.8886,1.0000
0.500,0.2907,0.03123,0.02104,-0.0583,0.8764,1.0000
0.750,0.3131,0.03183,0.02158,-0.0582,0.8631,1.0000
1.000,0.3400,0.03241,0.02212,-0.0588,0.8509,1.0000
1.250,0.3867,0.03268,0.02235,-0.0624,0.8401,1.0000
1.500,0.4076,0.03334,0.02298,-0.0618,0.8274,1.0000
1.750,0.4181,0.03425,0.02388,-0.0596,0.8145,1.0000
2.000,0.4404,0.03496,0.02458,-0.0592,0.8026,1.0000
2.250,0.4826,0.03518,0.02482,-0.0614,0.7922,1.0000
2.500,0.4824,0.03644,0.02606,-0.0577,0.7788,1.0000
2.750,0.4912,0.03753,0.02715,-0.0553,0.7667,1.0000
3.000,0.5220,0.03804,0.02770,-0.0557,0.7555,1.0000
3.250,0.5415,0.03881,0.02850,-0.0546,0.7434,1.0000
3.500,0.5414,0.04023,0.02992,-0.0510,0.7303,1.0000
3.750,0.5534,0.04130,0.03101,-0.0489,0.7179,1.0000
4.000,0.5912,0.04149,0.03129,-0.0497,0.7065,1.0000
4.250,0.6024,0.04255,0.03238,-0.0474,0.6933,1.0000
4.500,0.6005,0.04417,0.03401,-0.0438,0.6797,1.0000
4.750,0.6082,0.04547,0.03534,-0.0413,0.6667,1.0000
5.000,0.6332,0.04608,0.03604,-0.0404,0.6542,1.0000
5.250,0.6753,0.04575,0.03585,-0.0407,0.6418,1.0000
5.500,0.6671,0.04786,0.03797,-0.0368,0.6276,1.0000
5.750,0.6634,0.04976,0.03989,-0.0334,0.6135,1.0000
6.000,0.6648,0.05142,0.04158,-0.0303,0.6003,1.0000
6.250,0.6838,0.05235,0.04262,-0.0288,0.5871,1.0000
6.500,0.7226,0.05213,0.04258,-0.0285,0.5737,1.0000
6.750,0.7445,0.05269,0.04326,-0.0269,0.5602,1.0000
7.000,0.7162,0.05617,0.04668,-0.0222,0.5462,1.0000
7.250,0.7037,0.05886,0.04936,-0.0188,0.5327,1.0000
7.500,0.7065,0.06083,0.05141,-0.0166,0.5194,1.0000
7.750,0.7201,0.06207,0.05276,-0.0147,0.5052,1.0000
8.000,0.7364,0.06295,0.05375,-0.0127,0.4898,1.0000
8.250,0.9219,0.04684,0.03842,-0.0128,0.4533,1.0000
8.500,1.0222,0.03754,0.02913,-0.0123,0.4128,1.0000
8.750,1.0419,0.03596,0.02753,-0.0085,0.3774,1.0000
9.000,1.0581,0.03469,0.02598,-0.0042,0.3335,1.0000
9.250,1.0604,0.03501,0.02590,0.0008,0.2881,1.0000
9.500,1.0566,0.03642,0.02701,0.0058,0.2500,1.0000
9.750,1.0588,0.03811,0.02839,0.0097,0.2196,1.0000
10.000,1.0689,0.04000,0.02998,0.0123,0.1959,1.0000
10.250,1.0785,0.04210,0.03205,0.0148,0.1787,1.0000
10.500,1.0934,0.04429,0.03420,0.0165,0.1651,1.0000
10.750,1.1137,0.04652,0.03631,0.0174,0.1536,1.0000
11.000,1.1129,0.04910,0.03928,0.0206,0.1477,1.0000
11.250,1.1340,0.05164,0.04173,0.0212,0.1394,1.0000
11.500,1.1240,0.05448,0.04498,0.0250,0.1366,1.0000
11.750,1.1146,0.05745,0.04824,0.0284,0.1340,1.0000
12.000,1.1045,0.06038,0.05137,0.0318,0.1317,1.0000
12.250,1.1305,0.06373,0.05462,0.0314,0.1262,1.0000
12.500,1.1063,0.06689,0.05804,0.0354,0.1259,1.0000
12.750,1.0797,0.07059,0.06196,0.0382,0.1258,1.0000
13.000,1.0539,0.07501,0.06657,0.0396,0.1260,1.0000
13.250,1.0253,0.08023,0.07196,0.0398,0.1264,1.0000
13.500,0.8046,0.11691,0.10880,0.0181,0.1540,1.0000
