Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nasasc2-0714-il-500000
Airfoil,nasasc2-0714-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,65.9524
Max Cl/Cd alpha,0.75
Url,http://airfoiltools.com/polar/csv?polar=xf-nasasc2-0714-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.500,-0.9645,0.09555,0.09181,-0.0618,1.0000,0.0307
-18.250,-0.9992,0.08559,0.08162,-0.0678,1.0000,0.0307
-18.000,-1.0245,0.07796,0.07380,-0.0720,1.0000,0.0309
-17.750,-1.0403,0.07229,0.06799,-0.0747,1.0000,0.0311
-17.500,-1.0485,0.06797,0.06359,-0.0765,1.0000,0.0313
-17.250,-1.0539,0.06424,0.05977,-0.0779,1.0000,0.0315
-17.000,-1.0576,0.06094,0.05639,-0.0790,1.0000,0.0317
-16.750,-1.0605,0.05792,0.05330,-0.0798,1.0000,0.0320
-16.500,-1.0635,0.05509,0.05039,-0.0802,1.0000,0.0322
-16.250,-1.0665,0.05246,0.04767,-0.0803,1.0000,0.0325
-16.000,-1.0696,0.04998,0.04510,-0.0802,1.0000,0.0328
-15.750,-1.0729,0.04770,0.04271,-0.0796,1.0000,0.0330
-15.500,-1.0760,0.04558,0.04050,-0.0787,1.0000,0.0333
-15.250,-1.0784,0.04370,0.03852,-0.0775,1.0000,0.0337
-15.000,-1.0806,0.04198,0.03670,-0.0759,1.0000,0.0340
-14.750,-1.0831,0.04039,0.03502,-0.0740,1.0000,0.0343
-14.500,-1.0856,0.03894,0.03347,-0.0719,1.0000,0.0347
-14.250,-1.0881,0.03762,0.03205,-0.0695,1.0000,0.0350
-14.000,-1.0911,0.03643,0.03077,-0.0668,1.0000,0.0353
-13.750,-1.0945,0.03537,0.02962,-0.0639,1.0000,0.0355
-13.500,-1.0961,0.03391,0.02808,-0.0609,1.0000,0.0360
-13.250,-1.0966,0.03281,0.02695,-0.0578,1.0000,0.0364
-13.000,-1.1004,0.03196,0.02608,-0.0541,1.0000,0.0368
-12.750,-1.1081,0.03120,0.02531,-0.0498,1.0000,0.0371
-12.500,-1.1067,0.03038,0.02446,-0.0470,1.0000,0.0375
-12.250,-1.0990,0.02953,0.02357,-0.0454,0.9999,0.0380
-12.000,-1.0733,0.02856,0.02255,-0.0470,0.9985,0.0388
-11.750,-1.0465,0.02763,0.02154,-0.0486,0.9968,0.0397
-11.500,-1.0175,0.02680,0.02062,-0.0506,0.9952,0.0406
