Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nlf1015-il-100000
Airfoil,nlf1015-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,40.708
Max Cl/Cd alpha,10.25
Url,http://airfoiltools.com/polar/csv?polar=xf-nlf1015-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.3448,0.11288,0.10862,-0.0595,0.9563,0.1204
-8.000,-0.3794,0.11062,0.10646,-0.0622,0.9526,0.1245
-7.750,-0.4260,0.10835,0.10430,-0.0648,0.9498,0.1251
-7.500,-0.3607,0.10406,0.09989,-0.0617,0.9486,0.1307
-7.250,-0.3766,0.10264,0.09853,-0.0585,0.9467,0.1329
-7.000,-0.3995,0.10091,0.09687,-0.0561,0.9444,0.1356
-6.750,-0.5445,0.10966,0.10603,-0.0204,0.9997,0.1221
-6.500,-0.5835,0.10634,0.10279,-0.0215,1.0000,0.1239
-6.250,-0.6203,0.09755,0.09391,-0.0338,0.9998,0.1261
-6.000,-0.5973,0.09729,0.09379,-0.0248,0.9992,0.1287
-5.750,-0.5910,0.09459,0.09109,-0.0245,0.9979,0.1331
-5.500,-0.5962,0.08611,0.08240,-0.0370,0.9951,0.1425
-5.250,-0.5846,0.08419,0.08054,-0.0346,0.9940,0.1464
-5.000,-0.5780,0.07837,0.07451,-0.0412,0.9923,0.1583
-4.500,-0.4974,0.05669,0.05086,-0.0636,0.9880,0.0976
-4.250,-0.4472,0.04988,0.04264,-0.0681,0.9866,0.0684
-4.000,-0.4135,0.04678,0.03921,-0.0709,0.9852,0.0671
-3.750,-0.3830,0.04445,0.03652,-0.0725,0.9845,0.0654
-3.500,-0.3568,0.04255,0.03427,-0.0730,0.9831,0.0645
-3.250,-0.3270,0.04120,0.03259,-0.0739,0.9800,0.0644
-3.000,-0.2954,0.04044,0.03158,-0.0750,0.9774,0.0652
-2.750,-0.2626,0.04023,0.03113,-0.0762,0.9753,0.0676
-2.500,-0.2289,0.04010,0.03108,-0.0781,0.9738,0.0733
-2.250,-0.2079,0.03957,0.03054,-0.0776,0.9719,0.0790
-2.000,-0.1796,0.03905,0.03012,-0.0786,0.9681,0.0884
-1.750,-0.1293,0.03715,0.03002,-0.0853,0.9685,0.3672
-1.500,-0.1078,0.03810,0.03202,-0.0831,0.9641,0.6630
-1.250,-0.0949,0.03981,0.03378,-0.0790,0.9612,0.7279
-1.000,-0.0937,0.04005,0.03407,-0.0729,0.9539,0.7624
-0.750,-0.0795,0.04158,0.03554,-0.0688,0.9495,0.7969
-0.500,-0.0765,0.04139,0.03529,-0.0643,0.9435,0.8175
-0.250,-0.0604,0.04220,0.03601,-0.0615,0.9375,0.8406
0.000,-0.0538,0.04244,0.03618,-0.0577,0.9330,0.8603
0.250,-0.0399,0.04270,0.03634,-0.0550,0.9251,0.8811
0.500,-0.0258,0.04347,0.03703,-0.0524,0.9212,0.9022
0.750,-0.0188,0.04302,0.03652,-0.0490,0.9118,0.9229
1.000,0.0036,0.04402,0.03744,-0.0481,0.9075,0.9512
1.250,0.0229,0.04353,0.03690,-0.0480,0.8970,0.9749
1.500,0.0554,0.04435,0.03762,-0.0509,0.8908,1.0000
1.750,0.0930,0.04525,0.03839,-0.0545,0.8809,1.0000
2.000,0.1181,0.04600,0.03905,-0.0562,0.8724,1.0000
2.250,0.1776,0.04814,0.04102,-0.0631,0.8639,1.0000
2.500,0.2173,0.04877,0.04156,-0.0664,0.8490,1.0000
2.750,0.2836,0.04669,0.03928,-0.0702,0.7996,1.0000
3.000,0.3347,0.04728,0.03979,-0.0748,0.7911,1.0000
3.250,0.3583,0.04790,0.04038,-0.0758,0.7799,1.0000
3.500,0.3968,0.04856,0.04100,-0.0787,0.7710,1.0000
3.750,0.4356,0.04915,0.04156,-0.0816,0.7629,1.0000
4.000,0.4628,0.04989,0.04230,-0.0831,0.7526,1.0000
4.250,0.5118,0.05027,0.04265,-0.0870,0.7468,1.0000
4.500,0.5335,0.05108,0.04349,-0.0877,0.7355,1.0000
4.750,0.5862,0.05122,0.04363,-0.0918,0.7311,1.0000
5.000,0.6046,0.05209,0.04453,-0.0920,0.7191,1.0000
5.250,0.6323,0.05276,0.04525,-0.0932,0.7091,1.0000
5.500,0.6762,0.05280,0.04533,-0.0959,0.7030,1.0000
5.750,0.6982,0.05359,0.04617,-0.0963,0.6917,1.0000
6.000,0.7475,0.05320,0.04585,-0.0993,0.6873,1.0000
6.250,0.7670,0.05395,0.04667,-0.0993,0.6751,1.0000
6.500,0.8196,0.05308,0.04588,-0.1022,0.6718,1.0000
6.750,0.8380,0.05374,0.04663,-0.1018,0.6591,1.0000
7.000,0.8605,0.05419,0.04717,-0.1018,0.6475,1.0000
7.250,0.9110,0.05282,0.04592,-0.1039,0.6434,1.0000
7.500,0.9324,0.05310,0.04632,-0.1034,0.6311,1.0000
7.750,0.9612,0.05283,0.04616,-0.1035,0.6208,1.0000
8.000,1.0086,0.05100,0.04450,-0.1048,0.6154,1.0000
8.250,1.0668,0.04808,0.04179,-0.1067,0.6131,1.0000
8.500,1.0900,0.04763,0.04148,-0.1057,0.6002,1.0000
8.750,1.1511,0.04368,0.03779,-0.1072,0.5983,1.0000
9.000,1.1770,0.04254,0.03682,-0.1060,0.5853,1.0000
9.250,1.2093,0.04079,0.03525,-0.1051,0.5727,1.0000
9.500,1.2504,0.03822,0.03289,-0.1048,0.5590,1.0000
9.750,1.3037,0.03472,0.02958,-0.1054,0.5398,1.0000
10.000,1.3293,0.03374,0.02862,-0.1038,0.5055,1.0000
10.250,1.3511,0.03319,0.02785,-0.1018,0.4556,1.0000
10.500,1.3564,0.03419,0.02850,-0.0987,0.4025,1.0000
10.750,1.3517,0.03617,0.03019,-0.0952,0.3537,1.0000
11.000,1.3458,0.03848,0.03221,-0.0920,0.3100,1.0000
11.250,1.3399,0.04098,0.03447,-0.0892,0.2707,1.0000
11.500,1.3348,0.04363,0.03694,-0.0867,0.2333,1.0000
11.750,1.3274,0.04662,0.03971,-0.0843,0.1963,1.0000
12.000,1.3171,0.05010,0.04290,-0.0821,0.1549,1.0000
12.250,1.3030,0.05422,0.04663,-0.0798,0.1121,1.0000
12.500,1.2883,0.05867,0.05075,-0.0775,0.0794,1.0000
12.750,1.2808,0.06249,0.05442,-0.0758,0.0651,1.0000
13.000,1.2812,0.06555,0.05749,-0.0743,0.0568,1.0000
13.250,1.2855,0.06822,0.06004,-0.0730,0.0519,1.0000
