Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-nn7mk20-il-200000
Airfoil,nn7mk20-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,70.2242
Max Cl/Cd alpha,8.75
Url,http://airfoiltools.com/polar/csv?polar=xf-nn7mk20-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,-0.3211,0.11462,0.11126,-0.0592,1.0000,0.0577
-11.750,-0.3487,0.10812,0.10490,-0.0643,1.0000,0.0602
-11.500,-0.3880,0.09965,0.09654,-0.0717,0.9965,0.0607
-11.250,-0.3716,0.09463,0.09156,-0.0724,0.9921,0.0620
-11.000,-0.3394,0.09468,0.09159,-0.0711,0.9870,0.0638
-10.750,-0.3218,0.09092,0.08781,-0.0749,0.9812,0.0669
-10.500,-0.3291,0.08100,0.07791,-0.0852,0.9725,0.0694
-10.250,-0.3575,0.06877,0.06552,-0.1000,0.9623,0.0702
-10.000,-0.4448,0.04738,0.04292,-0.1164,0.9414,0.0369
-9.750,-0.4461,0.04224,0.03738,-0.1179,0.9287,0.0345
-9.500,-0.4469,0.03798,0.03258,-0.1176,0.9165,0.0332
-9.250,-0.4352,0.03550,0.02978,-0.1173,0.9075,0.0336
-9.000,-0.4241,0.03291,0.02681,-0.1162,0.8981,0.0336
-8.750,-0.4107,0.03041,0.02391,-0.1148,0.8895,0.0333
-8.500,-0.3907,0.02841,0.02162,-0.1140,0.8826,0.0335
-8.250,-0.3701,0.02687,0.01989,-0.1132,0.8757,0.0343
-8.000,-0.3478,0.02549,0.01833,-0.1124,0.8692,0.0356
-7.750,-0.3235,0.02426,0.01690,-0.1118,0.8640,0.0374
-7.500,-0.3027,0.02308,0.01559,-0.1106,0.8569,0.0399
-7.250,-0.2808,0.02203,0.01459,-0.1100,0.8517,0.0438
-7.000,-0.2601,0.02137,0.01385,-0.1090,0.8457,0.0478
-6.750,-0.2421,0.02034,0.01282,-0.1075,0.8399,0.0520
-6.500,-0.2202,0.01975,0.01218,-0.1070,0.8353,0.0581
-6.250,-0.2039,0.01906,0.01151,-0.1057,0.8287,0.0640
-6.000,-0.1832,0.01849,0.01091,-0.1050,0.8235,0.0713
-5.750,-0.1621,0.01775,0.01016,-0.1045,0.8196,0.0822
-5.500,-0.1445,0.01708,0.00955,-0.1035,0.8132,0.1015
-5.250,-0.1345,0.01493,0.00832,-0.1029,0.8080,0.2660
-5.000,-0.1186,0.01391,0.00839,-0.1015,0.8042,0.4936
-4.750,-0.0945,0.01437,0.00889,-0.1005,0.7985,0.5486
-4.500,-0.0669,0.01487,0.00932,-0.0999,0.7940,0.5742
-4.250,-0.0380,0.01540,0.00969,-0.0995,0.7905,0.5945
-4.000,-0.0121,0.01619,0.01043,-0.0984,0.7858,0.6105
-3.750,0.0135,0.01737,0.01165,-0.0964,0.7809,0.6238
-3.500,0.0406,0.01827,0.01251,-0.0948,0.7770,0.6320
-3.250,0.0695,0.01850,0.01258,-0.0948,0.7739,0.6422
-3.000,0.0917,0.01905,0.01317,-0.0930,0.7683,0.6461
-2.750,0.1185,0.01921,0.01321,-0.0929,0.7638,0.6568
-2.500,0.1451,0.01960,0.01356,-0.0916,0.7604,0.6604
-2.250,0.1701,0.01988,0.01379,-0.0907,0.7563,0.6665
-2.000,0.1939,0.01998,0.01384,-0.0902,0.7511,0.6741
-1.750,0.2196,0.02016,0.01398,-0.0892,0.7472,0.6786
-1.500,0.2502,0.02000,0.01367,-0.0904,0.7441,0.6865
-1.250,0.2721,0.02006,0.01374,-0.0894,0.7389,0.6894
-1.000,0.2966,0.02009,0.01374,-0.0887,0.7343,0.6927
-0.750,0.3252,0.01998,0.01356,-0.0890,0.7307,0.6970
-0.500,0.3560,0.01981,0.01326,-0.0904,0.7274,0.7027
-0.250,0.3764,0.01988,0.01339,-0.0890,0.7216,0.7052
0.000,0.4029,0.01982,0.01330,-0.0889,0.7176,0.7083
0.250,0.4330,0.01969,0.01309,-0.0895,0.7144,0.7121
