Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-oaf139-il-200000
Airfoil,oaf139-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,39.8805
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-oaf139-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.750,-1.3347,0.12061,0.11627,0.0497,1.0000,0.0564
-17.500,-1.3756,0.10879,0.10414,0.0421,1.0000,0.0566
-17.250,-1.4055,0.09967,0.09476,0.0365,1.0000,0.0570
-17.000,-1.4316,0.09174,0.08656,0.0320,1.0000,0.0576
-16.750,-1.4557,0.08464,0.07918,0.0281,1.0000,0.0581
-16.500,-1.4760,0.07842,0.07271,0.0251,1.0000,0.0587
-16.250,-1.4616,0.07731,0.07174,0.0263,1.0000,0.0603
-16.000,-1.4623,0.07405,0.06843,0.0254,1.0000,0.0615
-15.750,-1.4690,0.06992,0.06418,0.0238,1.0000,0.0627
-15.500,-1.4786,0.06550,0.05957,0.0222,1.0000,0.0639
-15.250,-1.4885,0.06116,0.05500,0.0206,1.0000,0.0650
-15.000,-1.4990,0.05699,0.05056,0.0192,1.0000,0.0660
-14.750,-1.4914,0.05472,0.04832,0.0199,1.0000,0.0677
-14.500,-1.4853,0.05255,0.04616,0.0199,1.0000,0.0693
-14.250,-1.4839,0.04994,0.04345,0.0197,1.0000,0.0710
-14.000,-1.4849,0.04717,0.04049,0.0196,1.0000,0.0726
-13.750,-1.4875,0.04453,0.03761,0.0199,1.0000,0.0741
-13.500,-1.4794,0.04243,0.03550,0.0208,1.0000,0.0762
-13.250,-1.4711,0.04078,0.03386,0.0216,1.0000,0.0782
-13.000,-1.4661,0.03908,0.03207,0.0228,1.0000,0.0802
-12.750,-1.4634,0.03748,0.03030,0.0248,1.0000,0.0823
-12.500,-1.4562,0.03591,0.02854,0.0265,1.0000,0.0845
-12.250,-1.4421,0.03446,0.02718,0.0276,1.0000,0.0872
-12.000,-1.4285,0.03327,0.02594,0.0288,1.0000,0.0901
-11.750,-1.4140,0.03210,0.02460,0.0299,1.0000,0.0932
-11.500,-1.3978,0.03065,0.02315,0.0309,1.0000,0.0965
-11.250,-1.3802,0.02957,0.02208,0.0318,1.0000,0.1000
-11.000,-1.3613,0.02859,0.02096,0.0326,1.0000,0.1039
-10.750,-1.3426,0.02732,0.01971,0.0335,1.0000,0.1080
-10.500,-1.3223,0.02636,0.01875,0.0341,1.0000,0.1126
-10.250,-1.3005,0.02551,0.01775,0.0347,1.0000,0.1175
-10.000,-1.2801,0.02437,0.01672,0.0353,1.0000,0.1229
-9.750,-1.2568,0.02361,0.01584,0.0358,1.0000,0.1292
-9.500,-1.2349,0.02258,0.01492,0.0362,1.0000,0.1359
-9.250,-1.2106,0.02185,0.01411,0.0366,1.0000,0.1439
-9.000,-1.1870,0.02102,0.01336,0.0369,1.0000,0.1527
-8.750,-1.1625,0.02024,0.01263,0.0371,1.0000,0.1628
-8.500,-1.1371,0.01958,0.01196,0.0373,1.0000,0.1744
-8.250,-1.1110,0.01900,0.01136,0.0374,1.0000,0.1873
-8.000,-1.0848,0.01841,0.01080,0.0375,1.0000,0.2009
-7.750,-1.0585,0.01781,0.01027,0.0375,1.0000,0.2145
-7.500,-1.0317,0.01728,0.00980,0.0375,1.0000,0.2282
-7.250,-1.0044,0.01683,0.00938,0.0375,1.0000,0.2415
-7.000,-0.9765,0.01644,0.00901,0.0375,1.0000,0.2547
-6.750,-0.9482,0.01611,0.00866,0.0374,1.0000,0.2679
-6.500,-0.9198,0.01580,0.00836,0.0373,1.0000,0.2806
-6.250,-0.8915,0.01545,0.00808,0.0372,1.0000,0.2926
-6.000,-0.8628,0.01513,0.00778,0.0371,1.0000,0.3046
-5.750,-0.8337,0.01488,0.00749,0.0369,1.0000,0.3172
-5.500,-0.8047,0.01459,0.00728,0.0368,1.0000,0.3291
-5.250,-0.7756,0.01430,0.00705,0.0366,1.0000,0.3410
-5.000,-0.7461,0.01406,0.00682,0.0364,1.0000,0.3536
-4.750,-0.7164,0.01386,0.00664,0.0361,1.0000,0.3663
-4.500,-0.6869,0.01360,0.00649,0.0359,1.0000,0.3782
-4.250,-0.6570,0.01339,0.00633,0.0356,1.0000,0.3908
-4.000,-0.6267,0.01323,0.00617,0.0353,1.0000,0.4040
-3.750,-0.5966,0.01301,0.00608,0.0349,1.0000,0.4157
-3.500,-0.5659,0.01279,0.00595,0.0345,1.0000,0.4273
-3.250,-0.5343,0.01264,0.00582,0.0338,1.0000,0.4396
-3.000,-0.5074,0.01278,0.00600,0.0345,0.8766,0.4498
-2.750,-0.4870,0.01298,0.00600,0.0369,0.8023,0.4601
-2.500,-0.4616,0.01307,0.00593,0.0379,0.7526,0.4706
-2.250,-0.4344,0.01308,0.00582,0.0385,0.7143,0.4811
-2.000,-0.4060,0.01315,0.00572,0.0387,0.6830,0.4931
-1.750,-0.3775,0.01311,0.00565,0.0389,0.6556,0.5034
-1.500,-0.3483,0.01312,0.00555,0.0390,0.6313,0.5150
-1.250,-0.3189,0.01311,0.00549,0.0390,0.6089,0.5267
-1.000,-0.2896,0.01307,0.00544,0.0390,0.5895,0.5382
-0.750,-0.2598,0.01309,0.00539,0.0389,0.5721,0.5507
-0.500,-0.2304,0.01307,0.00537,0.0389,0.5557,0.5627
0.000,-0.1711,0.01304,0.00532,0.0387,0.5244,0.5887
0.250,-0.1414,0.01304,0.00534,0.0387,0.5097,0.6030
0.500,-0.1120,0.01303,0.00538,0.0387,0.4956,0.6177
0.750,-0.0827,0.01304,0.00539,0.0387,0.4820,0.6329
1.000,-0.0531,0.01301,0.00540,0.0387,0.4675,0.6484
1.250,-0.0234,0.01300,0.00544,0.0386,0.4528,0.6645
1.500,0.0061,0.01300,0.00546,0.0386,0.4385,0.6812
1.750,0.0352,0.01300,0.00549,0.0387,0.4246,0.6984
2.000,0.0642,0.01299,0.00553,0.0388,0.4102,0.7171
2.250,0.0932,0.01296,0.00559,0.0390,0.3954,0.7370
2.500,0.1218,0.01296,0.00567,0.0392,0.3810,0.7577
2.750,0.1496,0.01297,0.00575,0.0397,0.3673,0.7800
3.000,0.1768,0.01300,0.00581,0.0403,0.3538,0.8051
3.250,0.2036,0.01297,0.00590,0.0410,0.3394,0.8330
3.500,0.2284,0.01296,0.00599,0.0423,0.3259,0.8634
3.750,0.2516,0.01295,0.00603,0.0439,0.3134,0.8987
4.000,0.2775,0.01293,0.00600,0.0450,0.3005,0.9410
4.250,0.3174,0.01296,0.00603,0.0428,0.2846,0.9897
4.500,0.3505,0.01313,0.00617,0.0415,0.2700,1.0000
4.750,0.3818,0.01339,0.00637,0.0407,0.2559,1.0000
5.000,0.4126,0.01369,0.00660,0.0400,0.2422,1.0000
5.250,0.4431,0.01404,0.00685,0.0394,0.2290,1.0000
5.500,0.4733,0.01444,0.00712,0.0388,0.2160,1.0000
5.750,0.5038,0.01474,0.00745,0.0383,0.2033,1.0000
6.000,0.5338,0.01515,0.00784,0.0378,0.1914,1.0000
6.250,0.5636,0.01563,0.00824,0.0373,0.1807,1.0000
