Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-p51dtip-il-100000
Airfoil,p51dtip-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,40.8223
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-p51dtip-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.5151,0.09505,0.09086,-0.0428,1.0000,0.1081
-9.500,-0.4907,0.09193,0.08773,-0.0385,1.0000,0.1157
-9.250,-0.5015,0.08727,0.08315,-0.0439,1.0000,0.1202
-9.000,-0.5269,0.08321,0.07919,-0.0484,1.0000,0.1212
-8.750,-0.5541,0.08238,0.07845,-0.0442,1.0000,0.1207
-8.500,-0.5789,0.08097,0.07707,-0.0411,0.9980,0.1201
-8.250,-0.6100,0.07701,0.07267,-0.0497,0.9837,0.1226
-8.000,-0.5842,0.07190,0.06772,-0.0502,0.9818,0.1354
-7.750,-0.4923,0.05595,0.05204,-0.0553,0.9711,0.1624
-7.500,-0.5682,0.06364,0.05930,-0.0529,0.9718,0.1548
-7.250,-0.5571,0.06008,0.05564,-0.0542,0.9681,0.1698
-6.000,-0.5005,0.03789,0.03023,-0.0503,0.9458,0.0798
-5.750,-0.4770,0.03430,0.02631,-0.0500,0.9438,0.0767
-5.500,-0.4497,0.03176,0.02328,-0.0499,0.9420,0.0766
-5.250,-0.4327,0.03068,0.02175,-0.0479,0.9396,0.0800
-5.000,-0.4169,0.02944,0.02017,-0.0456,0.9370,0.0808
-4.750,-0.3936,0.02736,0.01803,-0.0449,0.9349,0.0838
-4.500,-0.3700,0.02637,0.01696,-0.0445,0.9328,0.0904
-4.250,-0.3444,0.02545,0.01588,-0.0439,0.9312,0.0938
-4.000,-0.3207,0.02437,0.01486,-0.0433,0.9300,0.0979
-3.750,-0.2987,0.02378,0.01430,-0.0426,0.9287,0.1071
-3.500,-0.2789,0.02312,0.01374,-0.0416,0.9276,0.1171
-3.250,-0.2689,0.02273,0.01335,-0.0387,0.9261,0.1281
-3.000,-0.2600,0.02212,0.01296,-0.0357,0.9244,0.1602
-2.750,-0.2752,0.02030,0.01371,-0.0276,0.9234,0.6795
-2.500,-0.0461,0.02541,0.01843,-0.0443,0.9294,0.9375
-2.250,0.0129,0.02510,0.01791,-0.0511,0.9293,0.9493
-2.000,0.0523,0.02497,0.01761,-0.0544,0.9284,0.9571
-1.750,0.0945,0.02482,0.01733,-0.0584,0.9275,0.9634
-1.500,0.0827,0.02527,0.01777,-0.0524,0.9247,0.9695
-1.250,0.0988,0.02537,0.01782,-0.0517,0.9235,0.9735
-1.000,0.1053,0.02562,0.01802,-0.0493,0.9224,0.9768
-0.750,0.1077,0.02588,0.01825,-0.0460,0.9208,0.9786
-0.500,0.1102,0.02616,0.01850,-0.0428,0.9199,0.9806
-0.250,0.1139,0.02642,0.01875,-0.0399,0.9199,0.9828
0.000,0.1232,0.02663,0.01894,-0.0381,0.9199,0.9845
0.250,0.1373,0.02684,0.01914,-0.0371,0.9195,0.9868
0.500,0.1486,0.02710,0.01940,-0.0357,0.9202,0.9896
0.750,0.1575,0.02739,0.01969,-0.0339,0.9215,0.9923
1.000,0.1713,0.02767,0.01998,-0.0330,0.9218,0.9949
1.250,0.1901,0.02800,0.02032,-0.0331,0.9229,0.9983
1.500,0.1999,0.02836,0.02070,-0.0316,0.9248,1.0000
1.750,0.2006,0.02868,0.02104,-0.0283,0.9264,1.0000
2.000,0.1589,0.02836,0.02072,-0.0177,0.9349,1.0000
2.250,0.1519,0.02840,0.02077,-0.0131,0.9381,1.0000
2.500,0.1492,0.02832,0.02073,-0.0091,0.9368,1.0000
2.750,0.1809,0.02886,0.02131,-0.0109,0.9243,1.0000
3.000,0.1827,0.02888,0.02134,-0.0077,0.9215,1.0000
3.250,0.1925,0.02918,0.02168,-0.0062,0.9212,1.0000
3.500,0.2269,0.02996,0.02252,-0.0084,0.9102,1.0000
3.750,0.2641,0.03073,0.02342,-0.0110,0.8973,1.0000
4.000,0.2981,0.03120,0.02400,-0.0126,0.8793,1.0000
4.250,0.3650,0.03157,0.02458,-0.0180,0.8465,1.0000
4.500,0.4150,0.03161,0.02486,-0.0207,0.8215,1.0000
4.750,0.7289,0.01796,0.01233,-0.0425,0.6733,1.0000
5.000,0.7099,0.01739,0.01003,-0.0311,0.3132,1.0000
5.250,0.6867,0.01940,0.01100,-0.0237,0.1747,1.0000
5.500,0.6761,0.02049,0.01166,-0.0177,0.1329,1.0000
5.750,0.6703,0.02118,0.01220,-0.0124,0.1157,1.0000
6.000,0.6730,0.02210,0.01299,-0.0086,0.1037,1.0000
6.250,0.6888,0.02329,0.01407,-0.0070,0.0895,1.0000
6.500,0.7158,0.02510,0.01568,-0.0069,0.0776,1.0000
6.750,0.7426,0.02637,0.01708,-0.0067,0.0678,1.0000
7.000,0.7799,0.02913,0.01990,-0.0076,0.0624,1.0000
7.250,0.8078,0.03097,0.02197,-0.0076,0.0565,1.0000
7.500,0.8371,0.03380,0.02499,-0.0079,0.0541,1.0000
7.750,0.8636,0.03713,0.02872,-0.0074,0.0541,1.0000
8.000,0.8821,0.04126,0.03368,-0.0054,0.0576,1.0000
8.250,0.8967,0.04553,0.03846,-0.0038,0.0599,1.0000
8.500,0.9080,0.04982,0.04312,-0.0023,0.0618,1.0000
8.750,0.8579,0.04536,0.03981,0.0048,0.0744,1.0000
