Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-pw1211-pw-5000000
Airfoil,pw1211-pw
Reynolds number,5000000
Ncrit,9
Mach,0
Max Cl/Cd,114.176
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-pw1211-pw-5000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.500,-1.4884,0.03988,0.03840,-0.0072,1.0000,0.0020
-15.250,-1.4909,0.03616,0.03450,-0.0071,1.0000,0.0020
-15.000,-1.4846,0.03344,0.03163,-0.0066,1.0000,0.0021
-14.750,-1.4804,0.03005,0.02802,-0.0060,1.0000,0.0023
-14.500,-1.4656,0.02825,0.02612,-0.0054,1.0000,0.0025
-14.250,-1.4442,0.02754,0.02542,-0.0050,1.0000,0.0027
-14.000,-1.4205,0.02721,0.02512,-0.0046,1.0000,0.0028
-13.750,-1.3967,0.02686,0.02479,-0.0042,1.0000,0.0030
-13.500,-1.3717,0.02674,0.02470,-0.0038,1.0000,0.0031
-13.250,-1.3472,0.02649,0.02447,-0.0035,1.0000,0.0032
-13.000,-1.3219,0.02640,0.02441,-0.0031,1.0000,0.0033
-12.750,-1.2961,0.02640,0.02444,-0.0028,1.0000,0.0033
-12.500,-1.2705,0.02634,0.02441,-0.0025,1.0000,0.0034
-12.250,-1.2449,0.02626,0.02435,-0.0022,1.0000,0.0035
-12.000,-1.2190,0.02625,0.02437,-0.0019,1.0000,0.0035
-11.750,-1.1929,0.02628,0.02444,-0.0016,1.0000,0.0036
-11.500,-1.1669,0.02628,0.02446,-0.0014,1.0000,0.0036
-11.250,-1.1407,0.02631,0.02451,-0.0011,1.0000,0.0036
-11.000,-1.1146,0.02631,0.02454,-0.0009,1.0000,0.0037
-10.750,-1.0884,0.02633,0.02458,-0.0006,1.0000,0.0037
-10.500,-1.0619,0.02642,0.02470,-0.0004,1.0000,0.0037
-10.250,-1.0359,0.02636,0.02466,-0.0002,1.0000,0.0038
-10.000,-1.0101,0.02623,0.02453,0.0000,1.0000,0.0038
-9.750,-0.9842,0.02608,0.02439,0.0001,1.0000,0.0038
-9.500,-0.9580,0.02605,0.02437,0.0003,1.0000,0.0038
-9.250,-0.9326,0.02567,0.02397,0.0004,1.0000,0.0038
-9.000,-0.9074,0.02517,0.02344,0.0005,1.0000,0.0039
-8.750,-0.8823,0.02460,0.02283,0.0006,1.0000,0.0039
-8.500,-0.8570,0.02415,0.02235,0.0008,0.9759,0.0039
-8.250,-0.8364,0.02376,0.02186,0.0020,0.9438,0.0039
-8.000,-0.8327,0.01462,0.01160,0.0032,0.9228,0.0043
-7.750,-0.8081,0.01373,0.01055,0.0037,0.9046,0.0044
-7.500,-0.7820,0.01324,0.00995,0.0040,0.8879,0.0045
