Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-pw51-pw-200000
Airfoil,pw51-pw
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,56.5595
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-pw51-pw-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.000,-0.8463,0.25202,0.24838,0.0936,1.0000,0.0175
-18.750,-0.8368,0.24797,0.24433,0.0929,1.0000,0.0179
-18.500,-0.8280,0.24473,0.24108,0.0915,1.0000,0.0183
-18.250,-0.8193,0.24157,0.23793,0.0897,1.0000,0.0190
-18.000,-0.8106,0.23834,0.23469,0.0877,1.0000,0.0197
-17.750,-0.8020,0.23502,0.23138,0.0857,1.0000,0.0204
-17.500,-0.7934,0.23163,0.22799,0.0836,1.0000,0.0210
-17.250,-0.7847,0.22820,0.22456,0.0814,1.0000,0.0217
-17.000,-0.5347,0.18971,0.18644,0.0413,1.0000,0.0240
-16.750,-0.5286,0.18685,0.18358,0.0407,1.0000,0.0245
-16.500,-0.5236,0.18426,0.18099,0.0399,1.0000,0.0250
-16.250,-0.5191,0.18173,0.17845,0.0389,1.0000,0.0256
-16.000,-0.5148,0.17920,0.17592,0.0379,1.0000,0.0263
-15.750,-0.5109,0.17666,0.17337,0.0369,1.0000,0.0270
-15.500,-0.5072,0.17412,0.17083,0.0358,1.0000,0.0279
-15.250,-0.5040,0.17159,0.16831,0.0346,1.0000,0.0288
-15.000,-0.5018,0.16920,0.16591,0.0332,1.0000,0.0298
-14.750,-0.5032,0.16750,0.16422,0.0311,1.0000,0.0305
-14.500,-0.5075,0.16629,0.16302,0.0291,1.0000,0.0308
-14.250,-0.5112,0.16483,0.16156,0.0274,1.0000,0.0309
-14.000,-0.5132,0.16289,0.15963,0.0259,1.0000,0.0311
-13.750,-0.5148,0.16073,0.15747,0.0245,1.0000,0.0311
-13.500,-0.4977,0.15392,0.15065,0.0260,1.0000,0.0321
-13.250,-0.4903,0.15115,0.14788,0.0262,1.0000,0.0330
-13.000,-0.4877,0.14893,0.14566,0.0259,1.0000,0.0339
-12.750,-0.4871,0.14679,0.14352,0.0254,1.0000,0.0349
-12.500,-0.4862,0.14428,0.14101,0.0247,1.0000,0.0361
-12.250,-0.4855,0.14145,0.13818,0.0236,1.0000,0.0378
-12.000,-0.4883,0.13857,0.13531,0.0217,1.0000,0.0396
-11.750,-0.4963,0.13566,0.13243,0.0186,1.0000,0.0405
-11.500,-0.5013,0.13229,0.12908,0.0158,1.0000,0.0409
-11.250,-0.5045,0.12858,0.12538,0.0135,1.0000,0.0410
-11.000,-0.4988,0.12294,0.11976,0.0149,1.0000,0.0422
-10.750,-0.4887,0.11992,0.11674,0.0160,1.0000,0.0434
-10.500,-0.4846,0.11656,0.11338,0.0157,1.0000,0.0446
-10.250,-0.4829,0.11291,0.10975,0.0149,1.0000,0.0458
-10.000,-0.4830,0.10897,0.10583,0.0137,1.0000,0.0472
-9.750,-0.6257,0.11187,0.10859,0.0226,1.0000,0.0426
-9.500,-0.6177,0.10887,0.10560,0.0233,1.0000,0.0437
-9.250,-0.6134,0.10522,0.10196,0.0222,1.0000,0.0449
-9.000,-0.6108,0.10120,0.09797,0.0203,1.0000,0.0461
-8.750,-0.6099,0.09683,0.09363,0.0177,1.0000,0.0475
-8.500,-0.6106,0.09200,0.08883,0.0140,1.0000,0.0490
-8.250,-0.6145,0.08614,0.08303,0.0076,1.0000,0.0505
-8.000,-0.6240,0.07699,0.07375,-0.0075,1.0000,0.0521
-7.750,-0.6280,0.07163,0.06807,-0.0129,1.0000,0.0526
-7.500,-0.6284,0.06360,0.06004,-0.0146,1.0000,0.0538
-7.250,-0.6150,0.06038,0.05689,-0.0142,1.0000,0.0550
-7.000,-0.6021,0.05723,0.05371,-0.0145,1.0000,0.0566
-6.750,-0.5892,0.05342,0.04977,-0.0156,1.0000,0.0591
-6.500,-0.5820,0.04777,0.04330,-0.0178,1.0000,0.0664
-6.250,-0.5715,0.03228,0.02656,-0.0159,1.0000,0.0321
-6.000,-0.5486,0.02943,0.02340,-0.0151,1.0000,0.0304
-5.750,-0.5274,0.02582,0.01935,-0.0143,1.0000,0.0299
-5.500,-0.5032,0.02362,0.01669,-0.0135,1.0000,0.0306
-5.250,-0.4799,0.02085,0.01361,-0.0129,1.0000,0.0329
-5.000,-0.4545,0.01922,0.01186,-0.0123,1.0000,0.0347
-4.750,-0.4286,0.01778,0.01028,-0.0117,1.0000,0.0369
-4.500,-0.4026,0.01664,0.00899,-0.0110,1.0000,0.0401
-4.250,-0.3784,0.01530,0.00769,-0.0104,1.0000,0.0466
-4.000,-0.3538,0.01435,0.00667,-0.0096,1.0000,0.0536
-3.750,-0.3302,0.01355,0.00590,-0.0088,1.0000,0.0659
-3.500,-0.3083,0.01265,0.00515,-0.0079,1.0000,0.0847
-3.250,-0.2868,0.01189,0.00456,-0.0069,1.0000,0.1202
-3.000,-0.2664,0.01100,0.00413,-0.0062,1.0000,0.2017
-2.750,-0.2429,0.01011,0.00390,-0.0062,0.9982,0.3430
-2.500,-0.2035,0.00896,0.00375,-0.0091,0.9874,0.5762
-2.250,-0.1688,0.00832,0.00383,-0.0096,0.9740,0.7624
-2.000,-0.1340,0.00823,0.00395,-0.0095,0.9591,0.8688
-1.750,-0.0953,0.00832,0.00400,-0.0103,0.9431,0.9257
-1.500,-0.0529,0.00841,0.00397,-0.0121,0.9248,0.9607
-1.250,-0.0040,0.00844,0.00383,-0.0156,0.9047,0.9842
-1.000,0.0442,0.00838,0.00360,-0.0194,0.8821,1.0000
-0.750,0.0648,0.00836,0.00341,-0.0176,0.8546,1.0000
-0.500,0.0869,0.00836,0.00325,-0.0163,0.8281,1.0000
-0.250,0.1101,0.00838,0.00311,-0.0152,0.8031,1.0000
0.000,0.1337,0.00843,0.00298,-0.0141,0.7799,1.0000
0.250,0.1583,0.00848,0.00289,-0.0133,0.7560,1.0000
0.500,0.1830,0.00856,0.00282,-0.0126,0.7335,1.0000
