Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-r1080-il-200000
Airfoil,r1080-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,55.6969
Max Cl/Cd alpha,9.25
Url,http://airfoiltools.com/polar/csv?polar=xf-r1080-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.1298,0.09336,0.08909,-0.0917,0.7734,0.0724
-11.500,-0.2060,0.08982,0.08540,-0.1043,0.7868,0.0714
-11.250,-0.1986,0.08730,0.08288,-0.1046,0.7823,0.0730
-11.000,-0.2025,0.08300,0.07858,-0.1067,0.7786,0.0742
-10.750,-0.2245,0.07573,0.07131,-0.1120,0.7755,0.0769
-10.500,-0.2712,0.06819,0.06366,-0.1168,0.7727,0.0780
-10.250,-0.4750,0.04712,0.04125,-0.1049,0.7699,0.0374
-10.000,-0.4750,0.04456,0.03855,-0.1026,0.7663,0.0371
-9.750,-0.4758,0.04213,0.03593,-0.0999,0.7630,0.0367
-9.500,-0.4761,0.03962,0.03313,-0.0969,0.7601,0.0362
-9.250,-0.4731,0.03683,0.02999,-0.0941,0.7575,0.0352
-9.000,-0.4704,0.03348,0.02604,-0.0908,0.7552,0.0338
-8.750,-0.4595,0.03114,0.02322,-0.0884,0.7526,0.0332
-8.500,-0.4388,0.02947,0.02134,-0.0876,0.7498,0.0333
-8.250,-0.4148,0.02798,0.01972,-0.0873,0.7471,0.0338
-8.000,-0.3893,0.02674,0.01837,-0.0872,0.7445,0.0346
-7.750,-0.3621,0.02555,0.01704,-0.0873,0.7421,0.0354
-7.500,-0.3345,0.02452,0.01587,-0.0874,0.7402,0.0366
-7.250,-0.3071,0.02353,0.01479,-0.0875,0.7385,0.0387
-7.000,-0.2839,0.02288,0.01420,-0.0872,0.7366,0.0411
-6.750,-0.2612,0.02228,0.01354,-0.0865,0.7346,0.0437
-6.500,-0.2415,0.02144,0.01281,-0.0855,0.7326,0.0465
-6.250,-0.2232,0.02095,0.01230,-0.0841,0.7305,0.0508
-6.000,-0.2082,0.02036,0.01179,-0.0823,0.7286,0.0570
-5.750,-0.1933,0.01983,0.01130,-0.0803,0.7268,0.0699
-5.500,-0.1815,0.01913,0.01079,-0.0779,0.7249,0.0951
-5.250,-0.1682,0.01856,0.01042,-0.0757,0.7231,0.1339
-5.000,-0.1549,0.01805,0.01015,-0.0736,0.7215,0.1843
-4.750,-0.1454,0.01750,0.01000,-0.0709,0.7201,0.2596
-4.500,-0.1425,0.01682,0.00992,-0.0672,0.7183,0.3700
-4.250,-0.1431,0.01605,0.00999,-0.0625,0.7164,0.5277
-4.000,-0.1259,0.01653,0.01118,-0.0592,0.7147,0.6800
-3.750,-0.1064,0.01721,0.01181,-0.0571,0.7130,0.7237
-3.500,-0.0844,0.01792,0.01246,-0.0554,0.7112,0.7479
-3.250,-0.0597,0.01863,0.01310,-0.0539,0.7093,0.7653
-3.000,-0.0360,0.01925,0.01363,-0.0525,0.7078,0.7804
-2.750,-0.0058,0.02003,0.01436,-0.0518,0.7066,0.7901
-2.500,0.0199,0.02059,0.01483,-0.0508,0.7053,0.8008
-2.250,0.0463,0.02117,0.01533,-0.0499,0.7042,0.8114
-2.000,0.0782,0.02180,0.01588,-0.0498,0.7032,0.8190
-1.750,0.0856,0.02236,0.01647,-0.0464,0.7007,0.8314
-1.500,0.1240,0.02339,0.01750,-0.0473,0.6987,0.8383
-1.250,0.1373,0.02407,0.01819,-0.0447,0.6965,0.8505
-1.000,0.1840,0.02476,0.01883,-0.0476,0.6947,0.8570
-0.750,0.1941,0.02504,0.01909,-0.0447,0.6923,0.8670
-0.500,0.2397,0.02536,0.01934,-0.0480,0.6910,0.8705
-0.250,0.2375,0.02551,0.01946,-0.0429,0.6891,0.8810
0.000,0.2817,0.02553,0.01941,-0.0460,0.6879,0.8834
0.250,0.3268,0.02558,0.01938,-0.0495,0.6869,0.8854
0.500,0.3669,0.02574,0.01947,-0.0521,0.6857,0.8880
0.750,0.2686,0.02823,0.02225,-0.0326,0.6758,0.9031
1.000,0.2883,0.02840,0.02239,-0.0317,0.6733,0.9072
1.250,0.2820,0.02824,0.02220,-0.0257,0.6711,0.9144
1.500,0.3248,0.02811,0.02201,-0.0286,0.6702,0.9155
1.750,0.3707,0.02789,0.02173,-0.0318,0.6694,0.9164
2.000,0.4155,0.02774,0.02152,-0.0350,0.6686,0.9174
2.250,0.1691,0.03381,0.02792,0.0030,0.6409,0.9453
2.500,0.2057,0.03377,0.02784,0.0013,0.6387,0.9466
2.750,0.2464,0.03357,0.02760,-0.0008,0.6373,0.9477
3.000,0.2879,0.03328,0.02728,-0.0028,0.6363,0.9486
3.250,0.2619,0.03535,0.02939,0.0020,0.6239,0.9564
3.500,0.2933,0.03521,0.02922,0.0014,0.6216,0.9588
3.750,0.3351,0.03490,0.02890,-0.0008,0.6203,0.9595
4.000,0.3774,0.03453,0.02852,-0.0029,0.6193,0.9601
4.250,0.4214,0.03400,0.02799,-0.0051,0.6186,0.9607
4.500,0.4665,0.03338,0.02737,-0.0073,0.6181,0.9612
4.750,0.5140,0.03259,0.02658,-0.0098,0.6178,0.9616
5.000,0.5643,0.03171,0.02571,-0.0127,0.6176,0.9618
5.250,0.4958,0.03739,0.03149,-0.0069,0.5900,0.9741
5.500,0.5389,0.03678,0.03091,-0.0089,0.5884,0.9751
5.750,0.5825,0.03610,0.03025,-0.0110,0.5873,0.9762
6.000,0.6284,0.03515,0.02934,-0.0131,0.5866,0.9771
6.250,0.6760,0.03397,0.02820,-0.0152,0.5862,0.9779
6.500,0.7269,0.03245,0.02672,-0.0175,0.5862,0.9784
6.750,0.7804,0.03088,0.02519,-0.0201,0.5863,0.9786
7.000,0.8394,0.02912,0.02347,-0.0236,0.5862,0.9781
7.250,0.9033,0.02738,0.02176,-0.0282,0.5859,0.9766
7.500,0.9682,0.02565,0.02005,-0.0332,0.5852,0.9750
7.750,0.9521,0.02714,0.02169,-0.0286,0.5726,0.9847
8.000,1.0170,0.02515,0.01974,-0.0331,0.5715,0.9834
8.250,1.0874,0.02320,0.01780,-0.0389,0.5696,0.9806
8.500,1.0890,0.02379,0.01855,-0.0362,0.5586,0.9885
8.750,1.1515,0.02199,0.01678,-0.0409,0.5545,0.9871
9.000,1.1571,0.02226,0.01719,-0.0386,0.5435,0.9963
9.250,1.1908,0.02138,0.01638,-0.0396,0.5348,1.0000
9.500,1.1079,0.02269,0.01767,-0.0234,0.5263,1.0000
9.750,1.0996,0.02375,0.01877,-0.0199,0.5131,1.0000
10.000,1.1055,0.02443,0.01948,-0.0181,0.4985,1.0000
10.250,1.1246,0.02441,0.01947,-0.0174,0.4825,1.0000
10.500,1.1538,0.02376,0.01876,-0.0173,0.4638,1.0000
10.750,1.1702,0.02396,0.01884,-0.0162,0.4385,1.0000
11.000,1.1818,0.02452,0.01921,-0.0146,0.4111,1.0000
11.250,1.1842,0.02574,0.02023,-0.0124,0.3839,1.0000
11.500,1.1807,0.02748,0.02182,-0.0100,0.3577,1.0000
11.750,1.1766,0.02933,0.02353,-0.0077,0.3337,1.0000
12.000,1.1717,0.03134,0.02541,-0.0055,0.3106,1.0000
12.500,1.1640,0.03549,0.02934,-0.0019,0.2692,1.0000
12.750,1.1616,0.03762,0.03137,-0.0004,0.2499,1.0000
13.000,1.1603,0.03974,0.03340,0.0009,0.2324,1.0000
13.250,1.1593,0.04190,0.03548,0.0021,0.2158,1.0000
13.500,1.1599,0.04401,0.03751,0.0031,0.2006,1.0000
13.750,1.1608,0.04616,0.03961,0.0040,0.1864,1.0000
14.000,1.1629,0.04825,0.04166,0.0048,0.1735,1.0000
14.250,1.1649,0.05041,0.04376,0.0055,0.1618,1.0000
14.500,1.1667,0.05259,0.04585,0.0062,0.1514,1.0000
14.750,1.1708,0.05469,0.04797,0.0066,0.1413,1.0000
15.000,1.1753,0.05672,0.05001,0.0071,0.1325,1.0000
15.250,1.1789,0.05882,0.05199,0.0076,0.1247,1.0000
15.500,1.1848,0.06088,0.05417,0.0078,0.1175,1.0000
15.750,1.1902,0.06282,0.05599,0.0082,0.1112,1.0000
16.000,1.1960,0.06498,0.05829,0.0083,0.1053,1.0000
16.250,1.2011,0.06705,0.06029,0.0084,0.0998,1.0000
16.500,1.2065,0.06926,0.06260,0.0085,0.0948,1.0000
16.750,1.2103,0.07167,0.06505,0.0083,0.0900,1.0000
17.000,1.2162,0.07375,0.06713,0.0084,0.0856,1.0000
17.250,1.2198,0.07631,0.06981,0.0081,0.0814,1.0000
17.500,1.2239,0.07870,0.07218,0.0078,0.0777,1.0000
17.750,1.2291,0.08100,0.07455,0.0077,0.0741,1.0000
18.000,1.2311,0.08384,0.07751,0.0071,0.0706,1.0000
18.250,1.2350,0.08634,0.08000,0.0067,0.0676,1.0000
18.500,1.2391,0.08884,0.08260,0.0063,0.0645,1.0000
18.750,1.2400,0.09195,0.08583,0.0056,0.0616,1.0000
19.000,1.2423,0.09478,0.08869,0.0048,0.0590,1.0000
19.250,1.2460,0.09733,0.09127,0.0043,0.0561,1.0000
