Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-r140sm-il-100000
Airfoil,r140sm-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,42.9811
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-r140sm-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.5928,0.09240,0.08773,-0.0363,1.0000,0.1329
-9.750,-0.5650,0.09058,0.08589,-0.0307,1.0000,0.1419
-9.500,-0.6000,0.08402,0.07943,-0.0374,1.0000,0.1456
-9.250,-0.6293,0.07948,0.07491,-0.0394,1.0000,0.1459
-9.000,-0.6671,0.07668,0.07209,-0.0372,1.0000,0.1465
-8.750,-0.7032,0.07455,0.06981,-0.0343,1.0000,0.1472
-7.000,-0.6844,0.03217,0.02623,-0.0162,1.0000,0.0892
-6.750,-0.7122,0.03965,0.03233,-0.0087,1.0000,0.0619
-6.500,-0.7046,0.03794,0.02973,-0.0031,1.0000,0.0543
-6.250,-0.6896,0.03417,0.02577,-0.0011,1.0000,0.0527
-6.000,-0.6744,0.03149,0.02278,0.0014,1.0000,0.0520
-5.750,-0.6569,0.02935,0.02034,0.0037,1.0000,0.0520
-5.500,-0.6399,0.02754,0.01819,0.0059,1.0000,0.0552
-5.250,-0.6193,0.02553,0.01619,0.0072,1.0000,0.0583
-5.000,-0.5995,0.02403,0.01463,0.0089,1.0000,0.0611
-4.750,-0.5822,0.02282,0.01335,0.0110,1.0000,0.0651
-4.500,-0.5711,0.02157,0.01221,0.0138,1.0000,0.0721
-4.250,-0.5629,0.02060,0.01128,0.0171,1.0000,0.0831
-4.000,-0.5571,0.01958,0.01033,0.0208,1.0000,0.0997
-3.750,-0.5592,0.01749,0.00910,0.0255,1.0000,0.2066
-3.500,-0.5777,0.01551,0.00936,0.0343,1.0000,0.6284
-3.250,-0.5540,0.01609,0.01023,0.0371,0.9928,0.7465
-3.000,-0.5188,0.01716,0.01128,0.0381,0.9843,0.8067
-2.750,-0.4807,0.01811,0.01209,0.0380,0.9762,0.8452
-2.500,-0.4238,0.01950,0.01323,0.0349,0.9721,0.8755
-2.250,-0.3683,0.01998,0.01345,0.0295,0.9666,0.8881
-2.000,-0.3135,0.02023,0.01347,0.0237,0.9599,0.8961
-1.750,-0.2517,0.02047,0.01347,0.0164,0.9556,0.9028
-1.500,-0.1981,0.02060,0.01345,0.0107,0.9482,0.9100
-1.250,-0.1371,0.02070,0.01338,0.0035,0.9434,0.9162
-1.000,-0.0767,0.02076,0.01333,-0.0036,0.9381,0.9216
-0.750,-0.0247,0.02070,0.01321,-0.0091,0.9312,0.9294
-0.500,0.0424,0.02058,0.01302,-0.0175,0.9281,0.9336
-0.250,0.0874,0.02050,0.01291,-0.0217,0.9196,0.9424
0.000,0.1525,0.02023,0.01265,-0.0297,0.9156,0.9466
0.250,0.1970,0.02010,0.01254,-0.0338,0.9073,0.9555
0.500,0.2578,0.01974,0.01222,-0.0410,0.9019,0.9600
0.750,0.3029,0.01957,0.01213,-0.0452,0.8935,0.9686
1.000,0.3588,0.01916,0.01181,-0.0515,0.8872,0.9741
1.250,0.4019,0.01898,0.01174,-0.0554,0.8777,0.9829
1.500,0.4559,0.01850,0.01141,-0.0612,0.8714,0.9892
1.750,0.4998,0.01827,0.01133,-0.0655,0.8612,0.9978
2.000,0.5256,0.01823,0.01140,-0.0661,0.8506,1.0000
2.250,0.5446,0.01827,0.01157,-0.0652,0.8409,1.0000
2.500,0.5623,0.01835,0.01175,-0.0639,0.8309,1.0000
2.750,0.5773,0.01840,0.01191,-0.0619,0.8182,1.0000
3.000,0.5956,0.01808,0.01167,-0.0595,0.8024,1.0000
3.250,0.6093,0.01787,0.01155,-0.0563,0.7833,1.0000
3.500,0.6258,0.01757,0.01135,-0.0534,0.7647,1.0000
3.750,0.6417,0.01692,0.01076,-0.0493,0.7363,1.0000
4.000,0.6520,0.01588,0.00954,-0.0431,0.6817,1.0000
4.250,0.6619,0.01543,0.00902,-0.0382,0.6284,1.0000
4.500,0.6589,0.01533,0.00840,-0.0306,0.4690,1.0000
4.750,0.6324,0.01863,0.00933,-0.0218,0.1148,1.0000
5.000,0.6323,0.02024,0.01069,-0.0169,0.0802,1.0000
5.250,0.6358,0.02147,0.01187,-0.0125,0.0699,1.0000
5.500,0.6451,0.02245,0.01293,-0.0090,0.0636,1.0000
5.750,0.6549,0.02397,0.01428,-0.0059,0.0575,1.0000
6.000,0.6730,0.02506,0.01550,-0.0039,0.0531,1.0000
6.250,0.6971,0.02679,0.01727,-0.0027,0.0507,1.0000
6.500,0.7241,0.02885,0.01945,-0.0019,0.0496,1.0000
6.750,0.7501,0.03133,0.02219,-0.0008,0.0496,1.0000
7.000,0.7701,0.03360,0.02472,0.0009,0.0489,1.0000
7.250,0.7879,0.03594,0.02723,0.0026,0.0474,1.0000
7.500,0.8004,0.03867,0.03049,0.0059,0.0486,1.0000
7.750,0.8104,0.04241,0.03476,0.0093,0.0531,1.0000
8.000,0.8309,0.04992,0.04341,0.0142,0.0994,1.0000
10.750,0.5390,0.09750,0.09298,0.0263,0.1634,1.0000
11.000,0.4926,0.10400,0.09937,0.0203,0.1583,1.0000
