Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rae5214-il-50000
Airfoil,rae5214-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,29.2162
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-rae5214-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4405,0.10219,0.09483,0.0002,1.0000,0.3501
-8.250,-0.4349,0.09924,0.09194,0.0008,1.0000,0.3658
-8.000,-0.4296,0.09636,0.08911,0.0014,1.0000,0.3820
-7.750,-0.4215,0.09338,0.08618,0.0023,1.0000,0.3996
-7.500,-0.4124,0.09040,0.08324,0.0032,1.0000,0.4176
-7.250,-0.4049,0.08750,0.08040,0.0041,1.0000,0.4346
-7.000,-0.4035,0.08496,0.07794,0.0051,1.0000,0.4494
-6.500,-0.5520,0.05664,0.04937,-0.0371,1.0000,0.1738
-6.250,-0.5454,0.05047,0.04248,-0.0398,1.0000,0.1501
-6.000,-0.5326,0.04594,0.03702,-0.0406,1.0000,0.1364
-5.750,-0.5149,0.04222,0.03322,-0.0399,1.0000,0.1334
-5.500,-0.4966,0.03912,0.02974,-0.0393,1.0000,0.1323
-5.250,-0.4764,0.03642,0.02663,-0.0385,1.0000,0.1326
-5.000,-0.4546,0.03392,0.02376,-0.0377,1.0000,0.1326
-4.750,-0.4318,0.03176,0.02122,-0.0367,1.0000,0.1339
-4.500,-0.4085,0.02992,0.01901,-0.0356,1.0000,0.1375
-4.250,-0.3859,0.02797,0.01709,-0.0344,1.0000,0.1422
-4.000,-0.3626,0.02651,0.01553,-0.0329,1.0000,0.1482
-3.750,-0.3402,0.02511,0.01415,-0.0312,1.0000,0.1575
-3.500,-0.3182,0.02401,0.01299,-0.0294,1.0000,0.1693
-3.250,-0.2980,0.02267,0.01188,-0.0276,1.0000,0.1889
-3.000,-0.2769,0.02103,0.01065,-0.0266,1.0000,0.2311
-2.750,-0.2772,0.01939,0.01158,-0.0187,1.0000,0.6485
-2.500,-0.2855,0.02034,0.01263,-0.0072,1.0000,0.7455
-2.250,-0.2905,0.02055,0.01287,0.0026,1.0000,0.8004
-2.000,-0.0834,0.02172,0.01314,-0.0145,1.0000,0.9806
-1.750,-0.0263,0.02102,0.01219,-0.0217,1.0000,0.9966
-1.500,-0.0138,0.02069,0.01180,-0.0210,1.0000,1.0000
-1.250,-0.0160,0.02047,0.01157,-0.0177,1.0000,1.0000
-1.000,-0.0197,0.02024,0.01134,-0.0142,1.0000,1.0000
-0.750,-0.0249,0.02000,0.01110,-0.0106,1.0000,1.0000
-0.500,-0.0314,0.01972,0.01083,-0.0068,1.0000,1.0000
-0.250,-0.0383,0.01940,0.01051,-0.0030,1.0000,1.0000
0.000,-0.0416,0.01910,0.01019,0.0001,1.0000,1.0000
0.250,-0.0320,0.01898,0.01001,0.0012,1.0000,1.0000
0.500,-0.0135,0.01904,0.00999,0.0008,1.0000,1.0000
0.750,0.0090,0.01922,0.01010,-0.0001,1.0000,1.0000
1.000,0.0332,0.01949,0.01032,-0.0012,1.0000,1.0000
1.250,0.0577,0.01984,0.01062,-0.0024,1.0000,1.0000
1.500,0.0821,0.02027,0.01101,-0.0035,1.0000,1.0000
1.750,0.1059,0.02076,0.01148,-0.0045,1.0000,1.0000
2.000,0.1290,0.02132,0.01204,-0.0054,1.0000,1.0000
2.250,0.1513,0.02195,0.01269,-0.0063,1.0000,1.0000
2.500,0.1738,0.02268,0.01346,-0.0073,0.9993,1.0000
2.750,0.2951,0.02429,0.01540,-0.0244,0.9421,1.0000
3.000,0.4104,0.02358,0.01518,-0.0363,0.8838,1.0000
3.250,0.4998,0.02091,0.01303,-0.0398,0.8115,1.0000
3.500,0.5405,0.01850,0.00987,-0.0315,0.5386,1.0000
3.750,0.5569,0.02074,0.01044,-0.0284,0.3849,1.0000
4.000,0.5847,0.02236,0.01152,-0.0283,0.3328,1.0000
4.250,0.6154,0.02378,0.01270,-0.0286,0.2999,1.0000
4.500,0.6465,0.02526,0.01400,-0.0289,0.2766,1.0000
4.750,0.6764,0.02681,0.01548,-0.0291,0.2580,1.0000
5.000,0.7053,0.02850,0.01710,-0.0291,0.2426,1.0000
5.250,0.7327,0.03021,0.01888,-0.0290,0.2291,1.0000
5.500,0.7583,0.03214,0.02109,-0.0286,0.2181,1.0000
5.750,0.7838,0.03435,0.02330,-0.0284,0.2079,1.0000
6.000,0.8065,0.03650,0.02587,-0.0276,0.1990,1.0000
6.250,0.8295,0.03912,0.02852,-0.0272,0.1909,1.0000
6.500,0.8470,0.04181,0.03179,-0.0261,0.1845,1.0000
6.750,0.8673,0.04448,0.03460,-0.0255,0.1781,1.0000
7.000,0.8841,0.04798,0.03833,-0.0248,0.1737,1.0000
7.250,0.8931,0.05185,0.04278,-0.0236,0.1719,1.0000
7.500,0.9002,0.05619,0.04757,-0.0228,0.1716,1.0000
7.750,0.9038,0.06087,0.05261,-0.0222,0.1719,1.0000
8.000,0.9066,0.06582,0.05782,-0.0219,0.1731,1.0000
8.250,0.9216,0.07113,0.06315,-0.0220,0.1752,1.0000
8.500,0.8501,0.08344,0.07618,-0.0271,0.2080,1.0000
