Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-raf15-il-200000
Airfoil,raf15-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,59.4581
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-raf15-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.5145,0.08907,0.08554,-0.0082,1.0000,0.0442
-7.750,-0.5183,0.08623,0.08273,-0.0083,1.0000,0.0453
-7.500,-0.5202,0.08302,0.07956,-0.0090,1.0000,0.0463
-7.250,-0.5194,0.07944,0.07598,-0.0105,1.0000,0.0480
-6.750,-0.5096,0.07050,0.06678,-0.0201,1.0000,0.0521
-6.500,-0.5118,0.06533,0.06171,-0.0179,1.0000,0.0533
-6.250,-0.5035,0.06312,0.05953,-0.0157,1.0000,0.0547
-6.000,-0.4936,0.06080,0.05720,-0.0144,1.0000,0.0575
-5.750,-0.4811,0.05481,0.05072,-0.0181,1.0000,0.0647
-5.500,-0.4738,0.05249,0.04861,-0.0154,1.0000,0.0666
-5.250,-0.4615,0.05091,0.04704,-0.0134,1.0000,0.0702
-5.000,-0.4495,0.04601,0.04176,-0.0136,1.0000,0.0787
-4.750,-0.4369,0.04402,0.03982,-0.0117,1.0000,0.0806
-4.500,-0.4232,0.04096,0.03629,-0.0102,1.0000,0.0916
-4.250,-0.4259,0.02461,0.01833,-0.0034,1.0000,0.0429
-4.000,-0.4078,0.02237,0.01552,-0.0007,1.0000,0.0416
-3.750,-0.3897,0.02072,0.01379,0.0010,1.0000,0.0448
-3.500,-0.3692,0.01912,0.01187,0.0030,1.0000,0.0456
-3.250,-0.3471,0.01773,0.01019,0.0047,1.0000,0.0465
-3.000,-0.3244,0.01664,0.00890,0.0063,1.0000,0.0483
-2.750,-0.3019,0.01606,0.00813,0.0078,1.0000,0.0516
-2.500,-0.2796,0.01484,0.00687,0.0092,1.0000,0.0550
-2.250,-0.2582,0.01424,0.00628,0.0107,1.0000,0.0587
-2.000,-0.2367,0.01388,0.00586,0.0123,1.0000,0.0641
-1.750,-0.2165,0.01330,0.00536,0.0140,1.0000,0.0717
-1.500,-0.1961,0.01293,0.00504,0.0156,1.0000,0.0832
-1.250,-0.1765,0.01241,0.00482,0.0174,1.0000,0.1290
-1.000,-0.1557,0.01247,0.00502,0.0188,1.0000,0.1924
-0.750,-0.1243,0.01267,0.00519,0.0178,0.9973,0.2205
-0.500,-0.0782,0.01274,0.00533,0.0138,0.9897,0.2463
-0.250,-0.0324,0.01264,0.00533,0.0100,0.9815,0.2716
0.000,0.0144,0.01240,0.00521,0.0059,0.9731,0.3002
