Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-raf30md-il-200000
Airfoil,raf30md-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,42.7126
Max Cl/Cd alpha,2.75
Url,http://airfoiltools.com/polar/csv?polar=xf-raf30md-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.6667,0.09489,0.09138,-0.0003,1.0000,0.0485
-9.500,-0.6650,0.09113,0.08763,-0.0015,1.0000,0.0496
-9.250,-0.6673,0.08659,0.08313,-0.0040,1.0000,0.0507
-9.000,-0.6742,0.08110,0.07767,-0.0081,1.0000,0.0519
-8.750,-0.6915,0.07433,0.07091,-0.0145,1.0000,0.0516
-8.500,-0.7058,0.06952,0.06605,-0.0163,1.0000,0.0522
-8.250,-0.7141,0.06478,0.06118,-0.0177,1.0000,0.0536
-8.000,-0.7316,0.06167,0.05743,-0.0182,1.0000,0.0580
-7.750,-0.7350,0.05465,0.05026,-0.0183,1.0000,0.0596
-7.500,-0.7192,0.05135,0.04710,-0.0179,1.0000,0.0618
-7.250,-0.7078,0.04854,0.04417,-0.0172,1.0000,0.0655
-7.000,-0.7042,0.04473,0.03988,-0.0160,1.0000,0.0733
-6.750,-0.6873,0.04210,0.03728,-0.0153,1.0000,0.0773
-6.500,-0.6786,0.02915,0.02240,-0.0096,1.0000,0.0357
-6.250,-0.6597,0.02660,0.01963,-0.0085,1.0000,0.0373
-6.000,-0.6386,0.02465,0.01748,-0.0074,1.0000,0.0391
-5.750,-0.6162,0.02219,0.01463,-0.0059,1.0000,0.0391
-5.500,-0.5929,0.02035,0.01255,-0.0047,1.0000,0.0404
-5.250,-0.5693,0.01896,0.01098,-0.0035,1.0000,0.0430
-5.000,-0.5452,0.01826,0.01009,-0.0025,1.0000,0.0460
-4.750,-0.5245,0.01606,0.00792,-0.0011,1.0000,0.0494
-4.500,-0.5028,0.01514,0.00700,0.0001,1.0000,0.0539
-4.250,-0.4808,0.01436,0.00614,0.0014,1.0000,0.0593
-4.000,-0.4604,0.01344,0.00526,0.0028,1.0000,0.0653
-3.750,-0.4387,0.01279,0.00461,0.0040,1.0000,0.0748
-3.500,-0.4170,0.01211,0.00401,0.0052,1.0000,0.0927
-3.250,-0.4036,0.01024,0.00330,0.0072,1.0000,0.3139
-3.000,-0.3896,0.00914,0.00309,0.0096,1.0000,0.5143
-2.750,-0.3714,0.00869,0.00302,0.0118,1.0000,0.6168
-2.500,-0.3521,0.00841,0.00298,0.0139,1.0000,0.6873
-2.250,-0.3326,0.00821,0.00297,0.0160,1.0000,0.7457
-2.000,-0.3121,0.00808,0.00295,0.0179,1.0000,0.7891
-1.750,-0.2915,0.00798,0.00297,0.0200,1.0000,0.8368
-1.500,-0.2650,0.00802,0.00314,0.0212,1.0000,0.8976
-1.250,-0.2126,0.00828,0.00340,0.0171,1.0000,0.9455
-1.000,-0.1594,0.00843,0.00346,0.0121,1.0000,0.9658
-0.750,-0.1073,0.00850,0.00346,0.0070,1.0000,0.9773
-0.500,-0.0557,0.00850,0.00342,0.0019,1.0000,0.9884
-0.250,-0.0025,0.00847,0.00335,-0.0036,1.0000,0.9987
0.000,0.0000,0.00839,0.00328,0.0000,1.0000,1.0000
0.250,0.0025,0.00847,0.00335,0.0036,0.9987,1.0000
0.500,0.0558,0.00850,0.00342,-0.0019,0.9884,1.0000
0.750,0.1072,0.00850,0.00346,-0.0070,0.9773,1.0000
1.000,0.1594,0.00843,0.00346,-0.0121,0.9658,1.0000
1.250,0.2127,0.00828,0.00340,-0.0171,0.9455,1.0000
1.500,0.2647,0.00803,0.00316,-0.0212,0.8999,1.0000
1.750,0.2918,0.00798,0.00297,-0.0200,0.8376,1.0000
2.000,0.3124,0.00808,0.00295,-0.0180,0.7893,1.0000
2.250,0.3329,0.00821,0.00297,-0.0161,0.7456,1.0000
2.500,0.3524,0.00841,0.00298,-0.0140,0.6872,1.0000
2.750,0.3716,0.00870,0.00302,-0.0119,0.6165,1.0000
3.000,0.3898,0.00915,0.00309,-0.0097,0.5140,1.0000
3.250,0.4038,0.01025,0.00330,-0.0072,0.3109,1.0000
3.500,0.4173,0.01212,0.00401,-0.0053,0.0924,1.0000
3.750,0.4389,0.01279,0.00461,-0.0041,0.0746,1.0000
4.000,0.4606,0.01344,0.00527,-0.0028,0.0653,1.0000
4.250,0.4809,0.01439,0.00617,-0.0014,0.0591,1.0000
4.500,0.5029,0.01514,0.00700,-0.0002,0.0538,1.0000
4.750,0.5247,0.01607,0.00793,0.0010,0.0493,1.0000
5.000,0.5454,0.01817,0.01001,0.0024,0.0461,1.0000
5.250,0.5694,0.01898,0.01100,0.0035,0.0430,1.0000
5.500,0.5930,0.02036,0.01256,0.0046,0.0405,1.0000
5.750,0.6163,0.02221,0.01465,0.0059,0.0392,1.0000
6.000,0.6386,0.02468,0.01753,0.0074,0.0393,1.0000
6.250,0.6596,0.02676,0.01986,0.0086,0.0377,1.0000
6.500,0.6785,0.02919,0.02245,0.0096,0.0356,1.0000
7.250,0.6766,0.03872,0.03413,0.0169,0.0712,1.0000
9.750,0.5639,0.09144,0.08812,0.0006,0.0555,1.0000
10.000,0.5566,0.09698,0.09363,-0.0022,0.0536,1.0000
