Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rc12n1-il-500000
Airfoil,rc12n1-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,86.5466
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-rc12n1-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.6428,0.08136,0.07934,-0.0145,1.0000,0.0230
-9.750,-0.6627,0.07383,0.07175,-0.0210,1.0000,0.0230
-9.500,-0.6791,0.06901,0.06684,-0.0230,1.0000,0.0231
-9.250,-0.6872,0.06554,0.06327,-0.0232,0.9372,0.0232
-9.000,-0.6949,0.06279,0.06028,-0.0214,0.8909,0.0234
-8.750,-0.6965,0.05988,0.05718,-0.0203,0.8719,0.0238
-8.500,-0.6941,0.05702,0.05414,-0.0194,0.8589,0.0243
-8.250,-0.6896,0.05395,0.05087,-0.0185,0.8488,0.0252
-8.000,-0.6794,0.05154,0.04791,-0.0162,0.8399,0.0282
-7.750,-0.6731,0.04850,0.04451,-0.0144,0.8324,0.0284
-7.500,-0.6802,0.04016,0.03581,-0.0126,0.8262,0.0294
-7.250,-0.6631,0.03799,0.03356,-0.0120,0.8200,0.0299
-7.000,-0.6454,0.03607,0.03152,-0.0113,0.8138,0.0306
-6.750,-0.6273,0.03418,0.02941,-0.0103,0.8085,0.0316
-6.500,-0.6159,0.02811,0.02244,-0.0066,0.8035,0.0294
-6.250,-0.5969,0.02220,0.01597,-0.0044,0.7987,0.0239
-6.000,-0.5731,0.02014,0.01359,-0.0035,0.7941,0.0238
-5.750,-0.5477,0.01886,0.01216,-0.0031,0.7891,0.0241
-5.500,-0.5219,0.01776,0.01096,-0.0027,0.7842,0.0245
-5.250,-0.4963,0.01683,0.00990,-0.0023,0.7799,0.0250
-5.000,-0.4702,0.01616,0.00916,-0.0019,0.7754,0.0260
-4.750,-0.4442,0.01545,0.00838,-0.0016,0.7705,0.0270
-4.500,-0.4186,0.01475,0.00760,-0.0011,0.7661,0.0277
-4.250,-0.3925,0.01431,0.00705,-0.0007,0.7622,0.0284
-4.000,-0.3705,0.01308,0.00580,0.0003,0.7575,0.0301
-3.750,-0.3452,0.01262,0.00533,0.0008,0.7530,0.0319
-3.500,-0.3194,0.01228,0.00492,0.0012,0.7490,0.0341
-3.250,-0.2923,0.01204,0.00465,0.0013,0.7448,0.0364
-3.000,-0.2677,0.01146,0.00406,0.0018,0.7402,0.0414
