Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rg1410-il-50000
Airfoil,rg1410-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,32.1665
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-rg1410-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.4550,0.10359,0.09635,-0.0069,1.0000,0.3016
-8.750,-0.4545,0.10059,0.09340,-0.0066,1.0000,0.3147
-8.000,-0.4632,0.09276,0.08580,-0.0049,1.0000,0.3554
-7.750,-0.4435,0.08830,0.08133,-0.0040,1.0000,0.3674
-7.500,-0.4496,0.08597,0.07909,-0.0026,1.0000,0.3847
-7.250,-0.4619,0.08401,0.07726,-0.0007,1.0000,0.4011
-7.000,-0.5603,0.06316,0.05633,-0.0300,1.0000,0.1699
-6.750,-0.5749,0.05563,0.04827,-0.0318,1.0000,0.1492
-6.500,-0.5691,0.05122,0.04354,-0.0309,1.0000,0.1435
-6.250,-0.5616,0.04695,0.03892,-0.0298,1.0000,0.1394
-6.000,-0.5534,0.04263,0.03400,-0.0284,1.0000,0.1358
-5.750,-0.5396,0.03945,0.03042,-0.0269,1.0000,0.1366
-5.500,-0.5237,0.03690,0.02751,-0.0253,1.0000,0.1413
-5.250,-0.5064,0.03425,0.02426,-0.0238,1.0000,0.1456
-5.000,-0.4865,0.03171,0.02148,-0.0224,1.0000,0.1502
-4.750,-0.4658,0.02984,0.01928,-0.0210,1.0000,0.1602
-4.500,-0.4447,0.02804,0.01737,-0.0196,1.0000,0.1744
-4.250,-0.4228,0.02630,0.01555,-0.0183,1.0000,0.1930
-4.000,-0.4013,0.02480,0.01410,-0.0169,1.0000,0.2221
-3.750,-0.3800,0.02337,0.01286,-0.0154,1.0000,0.2654
-3.500,-0.3588,0.02185,0.01181,-0.0139,1.0000,0.3303
-3.250,-0.3420,0.02015,0.01089,-0.0114,1.0000,0.4406
-3.000,-0.3360,0.01847,0.01078,-0.0049,1.0000,0.6535
-2.750,-0.0872,0.02000,0.01124,-0.0343,1.0000,1.0000
-2.500,-0.0907,0.01955,0.01069,-0.0310,1.0000,1.0000
-2.250,-0.0929,0.01926,0.01029,-0.0274,1.0000,1.0000
-2.000,-0.0944,0.01907,0.00998,-0.0237,1.0000,1.0000
-1.750,-0.0953,0.01895,0.00974,-0.0199,1.0000,1.0000
-1.500,-0.0951,0.01889,0.00956,-0.0163,1.0000,1.0000
-1.250,-0.0932,0.01888,0.00944,-0.0129,1.0000,1.0000
-1.000,-0.0892,0.01894,0.00936,-0.0099,1.0000,1.0000
-0.750,-0.0829,0.01906,0.00935,-0.0073,1.0000,1.0000
-0.500,-0.0740,0.01924,0.00941,-0.0052,1.0000,1.0000
-0.250,-0.0632,0.01950,0.00953,-0.0034,1.0000,1.0000
0.000,-0.0509,0.01982,0.00974,-0.0020,1.0000,1.0000
0.250,-0.0378,0.02020,0.01001,-0.0009,1.0000,1.0000
0.500,-0.0240,0.02064,0.01037,0.0001,1.0000,1.0000
0.750,-0.0099,0.02114,0.01079,0.0009,1.0000,1.0000
1.000,0.0044,0.02171,0.01129,0.0015,1.0000,1.0000
1.250,0.0195,0.02236,0.01188,0.0019,0.9997,1.0000
1.500,0.0804,0.02379,0.01329,-0.0062,0.9796,1.0000
1.750,0.1373,0.02497,0.01447,-0.0132,0.9592,1.0000
2.000,0.1886,0.02591,0.01544,-0.0188,0.9381,1.0000
2.250,0.2402,0.02672,0.01631,-0.0241,0.9169,1.0000
2.500,0.2907,0.02738,0.01705,-0.0288,0.8955,1.0000
2.750,0.3365,0.02789,0.01768,-0.0324,0.8732,1.0000
3.000,0.3914,0.02819,0.01813,-0.0370,0.8520,1.0000
3.250,0.4348,0.02843,0.01851,-0.0395,0.8287,1.0000
3.500,0.4949,0.02812,0.01844,-0.0437,0.8061,1.0000
3.750,0.5565,0.02708,0.01765,-0.0466,0.7795,1.0000
4.000,0.6011,0.02622,0.01696,-0.0467,0.7505,1.0000
4.250,0.6375,0.02568,0.01656,-0.0458,0.7219,1.0000
4.500,0.6708,0.02527,0.01628,-0.0444,0.6926,1.0000
4.750,0.7033,0.02479,0.01587,-0.0427,0.6607,1.0000
5.000,0.7285,0.02464,0.01574,-0.0402,0.6247,1.0000
5.250,0.7562,0.02432,0.01534,-0.0376,0.5846,1.0000
5.500,0.7778,0.02438,0.01529,-0.0345,0.5393,1.0000
5.750,0.7958,0.02474,0.01551,-0.0314,0.4901,1.0000
6.000,0.8143,0.02532,0.01586,-0.0285,0.4408,1.0000
6.250,0.8326,0.02615,0.01644,-0.0259,0.3951,1.0000
6.500,0.8508,0.02720,0.01733,-0.0237,0.3546,1.0000
6.750,0.8704,0.02841,0.01836,-0.0218,0.3198,1.0000
7.000,0.8900,0.02974,0.01954,-0.0201,0.2891,1.0000
7.250,0.9092,0.03136,0.02119,-0.0185,0.2635,1.0000
7.500,0.9299,0.03300,0.02276,-0.0172,0.2410,1.0000
7.750,0.9484,0.03497,0.02491,-0.0157,0.2226,1.0000
8.000,0.9667,0.03691,0.02696,-0.0142,0.2057,1.0000
8.250,0.9839,0.03930,0.02955,-0.0127,0.1925,1.0000
8.500,0.9991,0.04174,0.03218,-0.0111,0.1801,1.0000
8.750,1.0166,0.04444,0.03497,-0.0098,0.1698,1.0000
9.000,1.0223,0.04757,0.03864,-0.0074,0.1622,1.0000
9.250,1.0318,0.05073,0.04200,-0.0057,0.1544,1.0000
9.500,1.0272,0.05475,0.04654,-0.0030,0.1509,1.0000
9.750,1.0238,0.05874,0.05088,-0.0009,0.1476,1.0000
10.000,1.0335,0.06230,0.05447,0.0003,0.1416,1.0000
10.250,1.0137,0.06694,0.05949,0.0026,0.1411,1.0000
10.500,0.9914,0.07177,0.06457,0.0044,0.1413,1.0000
10.750,0.9690,0.07655,0.06948,0.0058,0.1420,1.0000
11.000,0.9467,0.08191,0.07491,0.0059,0.1426,1.0000
