Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rg15a213-il-50000
Airfoil,rg15a213-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,29.1524
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-rg15a213-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.3831,0.11742,0.11020,-0.0253,1.0000,0.2755
-9.750,-0.3606,0.11243,0.10517,-0.0241,1.0000,0.2845
-9.500,-0.3844,0.11149,0.10440,-0.0244,1.0000,0.2926
-9.250,-0.3586,0.10649,0.09935,-0.0232,1.0000,0.3008
-9.000,-0.3748,0.10456,0.09756,-0.0229,1.0000,0.3094
-8.750,-0.3627,0.10113,0.09414,-0.0217,1.0000,0.3205
-8.500,-0.3589,0.09783,0.09090,-0.0206,1.0000,0.3301
-8.250,-0.4918,0.08091,0.07444,-0.0402,1.0000,0.1638
-8.000,-0.5774,0.07004,0.06343,-0.0452,1.0000,0.1367
-7.750,-0.5806,0.06610,0.05943,-0.0438,1.0000,0.1352
-7.500,-0.5871,0.06208,0.05531,-0.0425,1.0000,0.1343
-7.250,-0.5917,0.05804,0.05110,-0.0412,1.0000,0.1332
-7.000,-0.5945,0.05387,0.04665,-0.0401,1.0000,0.1325
-6.750,-0.5931,0.04975,0.04215,-0.0391,1.0000,0.1323
-6.500,-0.5869,0.04581,0.03772,-0.0381,1.0000,0.1325
-6.250,-0.5765,0.04221,0.03353,-0.0372,1.0000,0.1346
-6.000,-0.5618,0.03966,0.03083,-0.0361,1.0000,0.1404
-5.750,-0.5452,0.03730,0.02809,-0.0350,1.0000,0.1485
-5.500,-0.5269,0.03502,0.02563,-0.0340,1.0000,0.1580
-5.250,-0.5079,0.03316,0.02360,-0.0330,1.0000,0.1736
-5.000,-0.4883,0.03157,0.02180,-0.0320,1.0000,0.1949
-4.750,-0.4700,0.03043,0.02076,-0.0308,1.0000,0.2216
-4.500,-0.4509,0.02928,0.01963,-0.0297,1.0000,0.2500
-4.250,-0.4306,0.02813,0.01845,-0.0286,1.0000,0.2783
-4.000,-0.4109,0.02712,0.01753,-0.0275,1.0000,0.3099
-3.750,-0.3919,0.02618,0.01680,-0.0261,1.0000,0.3476
-3.500,-0.3733,0.02527,0.01617,-0.0247,1.0000,0.3985
-3.250,-0.3563,0.02442,0.01580,-0.0226,1.0000,0.4701
-3.000,-0.3445,0.02409,0.01615,-0.0189,1.0000,0.5608
-2.750,-0.3384,0.02440,0.01686,-0.0133,1.0000,0.6534
-2.500,-0.3362,0.02480,0.01744,-0.0068,1.0000,0.7294
-2.250,-0.3366,0.02506,0.01777,0.0002,1.0000,0.7930
-2.000,-0.3367,0.02516,0.01790,0.0071,1.0000,0.8538
-1.750,-0.3046,0.02569,0.01831,0.0086,1.0000,0.9305
-1.500,-0.1359,0.02762,0.01943,-0.0171,1.0000,1.0000
-1.250,-0.1487,0.02713,0.01888,-0.0137,1.0000,1.0000
-1.000,-0.1590,0.02668,0.01835,-0.0104,1.0000,1.0000
-0.750,-0.1644,0.02636,0.01793,-0.0078,1.0000,1.0000
-0.500,-0.1272,0.02714,0.01848,-0.0123,0.9889,1.0000
-0.250,-0.0804,0.02818,0.01927,-0.0181,0.9735,1.0000
0.000,-0.0347,0.02916,0.02003,-0.0234,0.9584,1.0000
0.250,0.0089,0.03004,0.02072,-0.0280,0.9433,1.0000
0.500,0.0483,0.03080,0.02132,-0.0317,0.9278,1.0000
0.750,0.0876,0.03155,0.02193,-0.0352,0.9122,1.0000
1.000,0.1265,0.03229,0.02254,-0.0384,0.8969,1.0000
1.250,0.1645,0.03298,0.02313,-0.0412,0.8814,1.0000
1.500,0.2022,0.03365,0.02371,-0.0439,0.8660,1.0000
1.750,0.2391,0.03429,0.02429,-0.0462,0.8505,1.0000
2.000,0.2757,0.03489,0.02483,-0.0483,0.8350,1.0000
2.250,0.3122,0.03545,0.02535,-0.0503,0.8195,1.0000
2.500,0.3497,0.03595,0.02583,-0.0522,0.8044,1.0000
2.750,0.3850,0.03642,0.02630,-0.0537,0.7889,1.0000
3.000,0.4186,0.03688,0.02676,-0.0548,0.7733,1.0000
3.250,0.4524,0.03728,0.02717,-0.0557,0.7577,1.0000
3.500,0.4858,0.03764,0.02756,-0.0565,0.7422,1.0000
3.750,0.5195,0.03793,0.02789,-0.0571,0.7267,1.0000
4.000,0.5537,0.03813,0.02815,-0.0577,0.7112,1.0000
4.250,0.5889,0.03821,0.02828,-0.0581,0.6958,1.0000
4.500,0.6245,0.03823,0.02837,-0.0586,0.6803,1.0000
4.750,0.6618,0.03813,0.02837,-0.0590,0.6648,1.0000
5.000,0.6985,0.03795,0.02827,-0.0591,0.6491,1.0000
5.250,0.7357,0.03768,0.02809,-0.0592,0.6333,1.0000
5.500,0.7748,0.03724,0.02775,-0.0593,0.6173,1.0000
5.750,0.8164,0.03663,0.02722,-0.0596,0.6010,1.0000
6.000,0.8594,0.03592,0.02660,-0.0599,0.5841,1.0000
6.250,0.8731,0.03689,0.02765,-0.0578,0.5651,1.0000
6.500,0.8983,0.03720,0.02804,-0.0566,0.5463,1.0000
6.750,0.9312,0.03706,0.02798,-0.0560,0.5275,1.0000
7.000,0.9717,0.03647,0.02741,-0.0560,0.5081,1.0000
7.250,1.0052,0.03639,0.02734,-0.0555,0.4885,1.0000
7.500,1.0203,0.03733,0.02839,-0.0534,0.4688,1.0000
7.750,1.0459,0.03770,0.02880,-0.0522,0.4486,1.0000
8.000,1.0868,0.03728,0.02826,-0.0524,0.4273,1.0000
8.250,1.0977,0.03852,0.02963,-0.0499,0.4080,1.0000
8.500,1.1148,0.03946,0.03066,-0.0480,0.3885,1.0000
8.750,1.1399,0.04001,0.03118,-0.0469,0.3685,1.0000
9.000,1.1680,0.04057,0.03165,-0.0462,0.3487,1.0000
9.250,1.1791,0.04201,0.03324,-0.0438,0.3314,1.0000
9.500,1.1917,0.04348,0.03480,-0.0417,0.3147,1.0000
9.750,1.2046,0.04501,0.03642,-0.0397,0.2986,1.0000
10.000,1.2168,0.04656,0.03805,-0.0377,0.2830,1.0000
10.250,1.2291,0.04826,0.03982,-0.0357,0.2686,1.0000
10.500,1.2409,0.04987,0.04148,-0.0337,0.2541,1.0000
10.750,1.2534,0.05146,0.04312,-0.0319,0.2400,1.0000
11.000,1.2665,0.05297,0.04463,-0.0301,0.2260,1.0000
11.250,1.2412,0.05651,0.04856,-0.0255,0.2208,1.0000
11.500,1.2506,0.05832,0.05038,-0.0236,0.2094,1.0000
11.750,1.2169,0.06240,0.05475,-0.0191,0.2072,1.0000
12.000,1.1740,0.06798,0.06056,-0.0161,0.2074,1.0000
12.250,1.1198,0.07605,0.06879,-0.0157,0.2100,1.0000
12.500,1.0644,0.08663,0.07942,-0.0185,0.2122,1.0000
