Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rg15a213-il-500000
Airfoil,rg15a213-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,93.3169
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-rg15a213-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.500,-0.5524,0.10292,0.10042,-0.0422,1.0000,0.0177
-13.250,-0.5517,0.10020,0.09773,-0.0431,1.0000,0.0181
-13.000,-0.6948,0.06422,0.06134,-0.0659,1.0000,0.0157
-12.750,-0.7856,0.04766,0.04414,-0.0774,1.0000,0.0148
-12.500,-0.8023,0.04404,0.04037,-0.0778,1.0000,0.0148
-12.250,-0.8138,0.04153,0.03778,-0.0770,1.0000,0.0149
-12.000,-0.8236,0.03963,0.03580,-0.0752,1.0000,0.0150
-11.750,-0.8438,0.03774,0.03380,-0.0714,1.0000,0.0151
-11.500,-0.8652,0.03643,0.03239,-0.0659,1.0000,0.0151
-11.250,-0.8694,0.03528,0.03118,-0.0624,1.0000,0.0153
-11.000,-0.8731,0.03398,0.02978,-0.0590,1.0000,0.0156
-10.750,-0.8761,0.03246,0.02812,-0.0555,1.0000,0.0157
-10.500,-0.8757,0.03102,0.02652,-0.0524,1.0000,0.0161
-10.250,-0.8507,0.02878,0.02399,-0.0542,0.9973,0.0164
-10.000,-0.8227,0.02689,0.02183,-0.0561,0.9947,0.0168
-9.750,-0.7944,0.02541,0.02010,-0.0575,0.9919,0.0172
-9.500,-0.7652,0.02422,0.01870,-0.0588,0.9886,0.0176
-9.250,-0.7391,0.02176,0.01612,-0.0600,0.9860,0.0183
-9.000,-0.7067,0.02062,0.01491,-0.0618,0.9842,0.0189
-8.750,-0.6761,0.01980,0.01403,-0.0630,0.9813,0.0198
-8.500,-0.6470,0.01899,0.01314,-0.0638,0.9772,0.0207
-8.250,-0.6138,0.01825,0.01230,-0.0653,0.9745,0.0214
-8.000,-0.5817,0.01696,0.01092,-0.0669,0.9724,0.0223
-7.750,-0.5469,0.01603,0.00997,-0.0689,0.9709,0.0234
-7.500,-0.5227,0.01539,0.00929,-0.0684,0.9644,0.0245
-7.250,-0.4888,0.01480,0.00865,-0.0699,0.9615,0.0258
-7.000,-0.4538,0.01402,0.00782,-0.0717,0.9595,0.0275
-6.750,-0.4170,0.01339,0.00718,-0.0738,0.9580,0.0297
-6.500,-0.3910,0.01294,0.00669,-0.0735,0.9515,0.0317
-6.250,-0.3569,0.01234,0.00610,-0.0749,0.9484,0.0361
-6.000,-0.3205,0.01175,0.00555,-0.0768,0.9463,0.0467
-5.750,-0.2832,0.01113,0.00508,-0.0790,0.9445,0.0713
-5.500,-0.2541,0.01078,0.00477,-0.0793,0.9385,0.0855
-5.250,-0.2207,0.01042,0.00444,-0.0804,0.9338,0.0989
-5.000,-0.1847,0.01002,0.00410,-0.0822,0.9303,0.1153
-4.750,-0.1549,0.00970,0.00383,-0.0826,0.9229,0.1349
-4.500,-0.1223,0.00932,0.00354,-0.0837,0.9165,0.1627
-4.250,-0.0919,0.00898,0.00331,-0.0842,0.9084,0.1950
-4.000,-0.0607,0.00864,0.00307,-0.0850,0.9002,0.2306
-3.750,-0.0333,0.00833,0.00288,-0.0849,0.8897,0.2711
-3.500,-0.0041,0.00800,0.00269,-0.0853,0.8802,0.3216
-3.250,0.0231,0.00768,0.00253,-0.0852,0.8691,0.3762
-3.000,0.0493,0.00740,0.00239,-0.0849,0.8573,0.4326
-2.750,0.0758,0.00712,0.00228,-0.0846,0.8458,0.4928
-2.500,0.1021,0.00689,0.00223,-0.0842,0.8342,0.5644
-2.250,0.1286,0.00682,0.00224,-0.0837,0.8218,0.6140
-2.000,0.1554,0.00682,0.00224,-0.0833,0.8091,0.6434
-1.750,0.1825,0.00684,0.00223,-0.0829,0.7964,0.6621
-1.500,0.2096,0.00688,0.00222,-0.0825,0.7838,0.6780
-1.250,0.2365,0.00693,0.00222,-0.0820,0.7709,0.6945
-1.000,0.2633,0.00699,0.00223,-0.0816,0.7577,0.7089
-0.750,0.2898,0.00705,0.00225,-0.0811,0.7441,0.7213
-0.500,0.3163,0.00710,0.00227,-0.0806,0.7305,0.7308
-0.250,0.3431,0.00717,0.00226,-0.0802,0.7167,0.7397
0.000,0.3694,0.00723,0.00229,-0.0797,0.7030,0.7479
0.250,0.3958,0.00730,0.00231,-0.0792,0.6890,0.7571
0.500,0.4219,0.00738,0.00235,-0.0787,0.6750,0.7661
0.750,0.4479,0.00746,0.00239,-0.0781,0.6606,0.7743
1.000,0.4738,0.00755,0.00243,-0.0776,0.6460,0.7824
1.500,0.5253,0.00773,0.00253,-0.0764,0.6163,0.7985
1.750,0.5509,0.00782,0.00259,-0.0759,0.6011,0.8062
2.000,0.5763,0.00792,0.00266,-0.0752,0.5857,0.8142
2.250,0.6015,0.00802,0.00272,-0.0746,0.5701,0.8222
2.500,0.6266,0.00813,0.00280,-0.0739,0.5543,0.8304
2.750,0.6514,0.00824,0.00289,-0.0732,0.5384,0.8383
3.000,0.6762,0.00837,0.00298,-0.0725,0.5226,0.8469
3.250,0.7005,0.00849,0.00308,-0.0718,0.5064,0.8548
3.500,0.7250,0.00863,0.00318,-0.0711,0.4905,0.8633
3.750,0.7489,0.00876,0.00329,-0.0702,0.4746,0.8715
4.250,0.7956,0.00904,0.00354,-0.0683,0.4430,0.8919
4.750,0.8390,0.00932,0.00381,-0.0657,0.4114,0.9197
5.000,0.8596,0.00945,0.00393,-0.0641,0.3946,0.9418
5.250,0.8894,0.00964,0.00410,-0.0646,0.3756,0.9696
5.500,0.9229,0.00990,0.00429,-0.0662,0.3564,1.0000
5.750,0.9481,0.01016,0.00449,-0.0659,0.3406,1.0000
6.000,0.9728,0.01044,0.00471,-0.0655,0.3253,1.0000
6.250,0.9968,0.01072,0.00494,-0.0650,0.3098,1.0000
6.500,1.0203,0.01103,0.00519,-0.0644,0.2940,1.0000
6.750,1.0431,0.01137,0.00546,-0.0636,0.2770,1.0000
7.000,1.0655,0.01172,0.00575,-0.0628,0.2605,1.0000
7.250,1.0871,0.01210,0.00606,-0.0619,0.2436,1.0000
7.500,1.1084,0.01250,0.00638,-0.0609,0.2266,1.0000
7.750,1.1295,0.01289,0.00672,-0.0598,0.2106,1.0000
8.000,1.1500,0.01331,0.00708,-0.0587,0.1955,1.0000
8.250,1.1699,0.01374,0.00746,-0.0575,0.1816,1.0000
8.500,1.1882,0.01419,0.00785,-0.0560,0.1685,1.0000
8.750,1.2062,0.01463,0.00826,-0.0544,0.1557,1.0000
9.000,1.2236,0.01509,0.00869,-0.0528,0.1439,1.0000
9.250,1.2406,0.01557,0.00915,-0.0511,0.1330,1.0000
9.500,1.2567,0.01610,0.00965,-0.0493,0.1232,1.0000
10.000,1.2879,0.01720,0.01073,-0.0457,0.1049,1.0000
10.250,1.3025,0.01781,0.01133,-0.0438,0.0972,1.0000
10.500,1.3161,0.01848,0.01197,-0.0419,0.0892,1.0000
10.750,1.3304,0.01910,0.01262,-0.0401,0.0823,1.0000
11.000,1.3413,0.01993,0.01342,-0.0379,0.0749,1.0000
11.250,1.3540,0.02066,0.01418,-0.0361,0.0683,1.0000
11.500,1.3639,0.02158,0.01510,-0.0339,0.0617,1.0000
11.750,1.3720,0.02263,0.01614,-0.0317,0.0559,1.0000
12.000,1.3805,0.02368,0.01724,-0.0297,0.0513,1.0000
12.250,1.3876,0.02486,0.01843,-0.0276,0.0475,1.0000
12.500,1.3914,0.02631,0.01992,-0.0254,0.0443,1.0000
12.750,1.4005,0.02745,0.02115,-0.0239,0.0424,1.0000
13.000,1.4080,0.02876,0.02249,-0.0224,0.0399,1.0000
13.250,1.4108,0.03047,0.02425,-0.0207,0.0382,1.0000
13.500,1.4111,0.03248,0.02633,-0.0191,0.0366,1.0000
13.750,1.4190,0.03395,0.02790,-0.0182,0.0354,1.0000
14.000,1.4255,0.03559,0.02962,-0.0173,0.0340,1.0000
14.250,1.4292,0.03756,0.03165,-0.0165,0.0328,1.0000
14.500,1.4290,0.03999,0.03413,-0.0158,0.0316,1.0000
14.750,1.4246,0.04295,0.03719,-0.0152,0.0308,1.0000
15.000,1.4205,0.04605,0.04039,-0.0149,0.0300,1.0000
15.250,1.4228,0.04857,0.04303,-0.0149,0.0295,1.0000
15.500,1.4243,0.05129,0.04585,-0.0150,0.0288,1.0000
15.750,1.4233,0.05438,0.04906,-0.0154,0.0282,1.0000
16.000,1.4223,0.05761,0.05239,-0.0159,0.0276,1.0000
16.250,1.4193,0.06119,0.05606,-0.0167,0.0270,1.0000
16.500,1.4151,0.06504,0.06001,-0.0177,0.0264,1.0000
16.750,1.4088,0.06932,0.06437,-0.0190,0.0258,1.0000
17.000,1.3988,0.07421,0.06935,-0.0207,0.0251,1.0000
17.250,1.3875,0.07936,0.07459,-0.0224,0.0246,1.0000
17.500,1.3844,0.08357,0.07893,-0.0241,0.0242,1.0000
17.750,1.3810,0.08791,0.08340,-0.0259,0.0237,1.0000
18.000,1.3760,0.09256,0.08818,-0.0279,0.0232,1.0000
18.250,1.3701,0.09742,0.09315,-0.0301,0.0227,1.0000
18.500,1.3643,0.10240,0.09824,-0.0326,0.0221,1.0000
18.750,1.3576,0.10758,0.10351,-0.0351,0.0216,1.0000
19.000,1.3500,0.11297,0.10899,-0.0379,0.0210,1.0000
19.250,1.3413,0.11854,0.11462,-0.0408,0.0205,1.0000
