Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-rhodesg30-il-500000
Airfoil,rhodesg30-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,88.7405
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-rhodesg30-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.750,-0.4169,0.10493,0.10261,-0.0252,1.0000,0.0356
-11.500,-0.4272,0.09804,0.09574,-0.0279,1.0000,0.0299
-11.250,-0.7658,0.03022,0.02699,-0.0618,1.0000,0.0205
-11.000,-0.7472,0.03037,0.02713,-0.0595,1.0000,0.0196
-10.750,-0.7568,0.02721,0.02363,-0.0552,1.0000,0.0187
-10.500,-0.7295,0.02587,0.02161,-0.0552,0.9984,0.0164
-10.250,-0.6982,0.02436,0.02000,-0.0565,0.9958,0.0153
-10.000,-0.6693,0.02234,0.01769,-0.0578,0.9928,0.0148
-9.750,-0.6396,0.02085,0.01598,-0.0587,0.9893,0.0144
-9.500,-0.6079,0.01961,0.01456,-0.0599,0.9864,0.0142
-9.250,-0.5747,0.01848,0.01329,-0.0613,0.9841,0.0142
-9.000,-0.5445,0.01744,0.01215,-0.0621,0.9802,0.0143
-8.750,-0.5116,0.01657,0.01119,-0.0632,0.9760,0.0143
-8.500,-0.4763,0.01570,0.01024,-0.0649,0.9730,0.0147
-8.250,-0.4395,0.01495,0.00939,-0.0668,0.9709,0.0152
-8.000,-0.4077,0.01442,0.00877,-0.0675,0.9663,0.0154
-7.750,-0.3744,0.01394,0.00820,-0.0685,0.9618,0.0156
-7.500,-0.3388,0.01350,0.00766,-0.0699,0.9579,0.0158
-7.250,-0.3069,0.01309,0.00717,-0.0705,0.9521,0.0160
-7.000,-0.2763,0.01263,0.00661,-0.0708,0.9457,0.0167
-6.750,-0.2447,0.01205,0.00592,-0.0714,0.9402,0.0174
-6.500,-0.2187,0.01142,0.00517,-0.0709,0.9313,0.0184
-6.250,-0.1863,0.01202,0.00592,-0.0714,0.9238,0.0230
-6.000,-0.1615,0.01122,0.00501,-0.0706,0.9143,0.0357
-5.750,-0.1336,0.01130,0.00503,-0.0702,0.9055,0.0383
-5.500,-0.1048,0.01156,0.00522,-0.0700,0.8971,0.0401
-5.250,-0.0781,0.01174,0.00541,-0.0696,0.8873,0.0418
-5.000,-0.0497,0.01254,0.00626,-0.0694,0.8782,0.0450
-4.750,-0.0220,0.01353,0.00722,-0.0690,0.8678,0.0483
-4.500,0.0026,0.01276,0.00637,-0.0684,0.8564,0.0502
-4.250,0.0281,0.01246,0.00608,-0.0679,0.8449,0.0524
-4.000,0.0542,0.01239,0.00600,-0.0675,0.8339,0.0549
-3.750,0.0807,0.01245,0.00601,-0.0670,0.8223,0.0574
-3.500,0.1068,0.01229,0.00574,-0.0665,0.8099,0.0599
-3.250,0.1322,0.01148,0.00490,-0.0659,0.7973,0.0613
-3.000,0.1584,0.01114,0.00450,-0.0653,0.7836,0.0611
-2.750,0.1846,0.01090,0.00419,-0.0647,0.7687,0.0606
-2.500,0.2104,0.01061,0.00383,-0.0641,0.7526,0.0605
-2.250,0.2357,0.01030,0.00347,-0.0634,0.7353,0.0606
-2.000,0.2608,0.01003,0.00313,-0.0626,0.7169,0.0610
-1.750,0.2857,0.00980,0.00283,-0.0619,0.6968,0.0617
-1.500,0.3106,0.00965,0.00261,-0.0612,0.6743,0.0624
-1.250,0.3352,0.00956,0.00244,-0.0604,0.6489,0.0631
-1.000,0.3597,0.00953,0.00230,-0.0596,0.6197,0.0639
-0.750,0.3834,0.00958,0.00220,-0.0586,0.5809,0.0645
-0.500,0.4058,0.00975,0.00214,-0.0575,0.5200,0.0652
-0.250,0.4274,0.01005,0.00214,-0.0563,0.4553,0.0659
0.000,0.4511,0.01025,0.00217,-0.0555,0.4220,0.0667
0.250,0.4760,0.01038,0.00220,-0.0550,0.4042,0.0684
0.500,0.5016,0.01048,0.00224,-0.0545,0.3917,0.0698
0.750,0.5273,0.01058,0.00230,-0.0541,0.3821,0.0708
1.000,0.5531,0.01067,0.00235,-0.0537,0.3746,0.0737
1.250,0.5790,0.01074,0.00243,-0.0532,0.3683,0.0815
1.500,0.5895,0.00906,0.00263,-0.0504,0.3625,0.7546
1.750,0.6703,0.00889,0.00289,-0.0618,0.3493,1.0000
2.000,0.6940,0.00907,0.00301,-0.0610,0.3428,1.0000
2.250,0.7182,0.00922,0.00314,-0.0603,0.3381,1.0000
2.500,0.7427,0.00935,0.00327,-0.0597,0.3331,1.0000
2.750,0.7663,0.00955,0.00342,-0.0588,0.3264,1.0000
3.000,0.7911,0.00965,0.00353,-0.0583,0.3193,1.0000
3.250,0.8151,0.00982,0.00368,-0.0576,0.3127,1.0000
3.500,0.8397,0.00995,0.00384,-0.0570,0.3068,1.0000
3.750,0.8641,0.01009,0.00398,-0.0563,0.2990,1.0000
4.000,0.8887,0.01023,0.00413,-0.0558,0.2902,1.0000
4.250,0.9129,0.01039,0.00428,-0.0551,0.2785,1.0000
4.500,0.9371,0.01056,0.00441,-0.0545,0.2565,1.0000
4.750,0.9513,0.01158,0.00484,-0.0525,0.1516,1.0000
5.000,0.9659,0.01269,0.00559,-0.0505,0.0885,1.0000
5.250,0.9831,0.01356,0.00622,-0.0489,0.0534,1.0000
5.500,1.0051,0.01397,0.00670,-0.0480,0.0503,1.0000
5.750,1.0259,0.01448,0.00725,-0.0469,0.0472,1.0000
6.000,1.0455,0.01509,0.00790,-0.0456,0.0442,1.0000
6.250,1.0637,0.01578,0.00866,-0.0441,0.0420,1.0000
6.500,1.0844,0.01622,0.00917,-0.0430,0.0407,1.0000
6.750,1.1038,0.01676,0.00977,-0.0418,0.0391,1.0000
7.000,1.1217,0.01737,0.01044,-0.0404,0.0372,1.0000
7.250,1.1379,0.01807,0.01119,-0.0387,0.0354,1.0000
7.500,1.1466,0.01925,0.01243,-0.0359,0.0333,1.0000
7.750,1.1590,0.02010,0.01337,-0.0337,0.0319,1.0000
8.000,1.1749,0.02060,0.01394,-0.0320,0.0307,1.0000
