Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1014-il-100000
Airfoil,s1014-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,38.2226
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-s1014-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.750,-0.6692,0.10457,0.09936,-0.0549,1.0000,0.0980
-14.500,-0.7073,0.09295,0.08770,-0.0610,1.0000,0.0969
-14.250,-0.7570,0.08216,0.07679,-0.0663,1.0000,0.0951
-14.000,-0.8105,0.07322,0.06764,-0.0691,1.0000,0.0929
-13.750,-0.8581,0.06661,0.06075,-0.0693,1.0000,0.0918
-13.500,-0.8912,0.06215,0.05605,-0.0679,1.0000,0.0918
-13.250,-0.9180,0.05898,0.05267,-0.0652,1.0000,0.0920
-13.000,-0.9495,0.05721,0.05075,-0.0599,1.0000,0.0921
-12.750,-0.9822,0.05620,0.04961,-0.0531,1.0000,0.0923
-12.500,-1.0120,0.05506,0.04832,-0.0465,1.0000,0.0925
-12.250,-1.0392,0.05393,0.04703,-0.0399,1.0000,0.0930
-12.000,-1.0649,0.05286,0.04579,-0.0331,1.0000,0.0936
-11.750,-1.0886,0.05172,0.04446,-0.0262,1.0000,0.0942
-11.500,-1.1081,0.05035,0.04284,-0.0200,1.0000,0.0955
-11.250,-1.1252,0.04885,0.04102,-0.0139,1.0000,0.0969
-11.000,-1.1396,0.04741,0.03920,-0.0080,1.0000,0.0981
-10.750,-1.1261,0.04525,0.03709,-0.0068,1.0000,0.1013
-10.500,-1.1192,0.04413,0.03591,-0.0041,1.0000,0.1044
-10.250,-1.1165,0.04290,0.03448,-0.0007,1.0000,0.1078
-10.000,-1.1179,0.04160,0.03282,0.0036,1.0000,0.1108
-9.750,-1.1027,0.03983,0.03100,0.0050,1.0000,0.1148
-9.500,-1.0916,0.03886,0.02999,0.0072,1.0000,0.1192
-9.250,-1.0829,0.03778,0.02868,0.0099,1.0000,0.1237
-9.000,-1.0676,0.03638,0.02718,0.0115,1.0000,0.1288
-8.750,-1.0525,0.03547,0.02628,0.0131,1.0000,0.1343
-8.500,-1.0416,0.03457,0.02511,0.0157,1.0000,0.1399
-8.250,-1.0200,0.03338,0.02404,0.0163,1.0000,0.1468
-8.000,-1.0063,0.03259,0.02311,0.0183,1.0000,0.1539
-7.750,-0.9862,0.03157,0.02215,0.0192,1.0000,0.1616
-7.500,-0.9719,0.03086,0.02133,0.0212,1.0000,0.1701
-7.250,-0.9527,0.02995,0.02055,0.0222,1.0000,0.1794
-7.000,-0.9369,0.02919,0.01974,0.0239,1.0000,0.1902
-6.750,-0.9214,0.02848,0.01909,0.0257,1.0000,0.2020
-6.500,-0.9058,0.02770,0.01843,0.0274,1.0000,0.2153
-6.250,-0.8918,0.02696,0.01780,0.0293,1.0000,0.2308
-6.000,-0.8790,0.02621,0.01718,0.0315,1.0000,0.2495
-5.750,-0.8675,0.02542,0.01659,0.0340,1.0000,0.2727
-5.500,-0.8582,0.02457,0.01601,0.0368,1.0000,0.3041
-5.250,-0.8522,0.02354,0.01544,0.0402,1.0000,0.3500
-5.000,-0.8516,0.02229,0.01494,0.0447,1.0000,0.4339
-4.750,-0.8060,0.02566,0.01992,0.0478,1.0000,0.6489
-4.500,-0.8128,0.02574,0.01987,0.0540,1.0000,0.7013
-4.250,-0.8064,0.02659,0.02057,0.0587,1.0000,0.7332
-4.000,-0.7859,0.02817,0.02203,0.0618,1.0000,0.7547
-3.750,-0.7628,0.02969,0.02344,0.0644,1.0000,0.7729
-3.500,-0.7322,0.03131,0.02493,0.0657,1.0000,0.7881
-3.250,-0.6976,0.03282,0.02633,0.0661,1.0000,0.8023
-3.000,-0.6610,0.03417,0.02755,0.0658,1.0000,0.8165
-2.750,-0.6287,0.03513,0.02839,0.0657,1.0000,0.8305
-2.500,-0.5527,0.03700,0.03012,0.0580,1.0000,0.8414
-2.250,-0.4826,0.03838,0.03137,0.0510,1.0000,0.8529
-2.000,-0.4344,0.03918,0.03208,0.0474,1.0000,0.8672
-1.750,-0.3824,0.03998,0.03280,0.0431,1.0000,0.8832
-1.500,-0.3268,0.04071,0.03346,0.0380,1.0000,0.9007
-1.250,-0.2807,0.04109,0.03379,0.0340,1.0000,0.9164
-1.000,-0.2293,0.04140,0.03405,0.0285,0.9969,0.9295
-0.750,-0.1779,0.04185,0.03444,0.0225,0.9896,0.9408
-0.500,-0.0961,0.04210,0.03465,0.0108,0.9811,0.9499
-0.250,-0.0538,0.04199,0.03452,0.0065,0.9745,0.9586
0.000,0.0000,0.04217,0.03470,0.0000,0.9668,0.9668
0.250,0.0536,0.04198,0.03452,-0.0065,0.9587,0.9745
0.500,0.0960,0.04210,0.03464,-0.0108,0.9499,0.9811
0.750,0.1770,0.04184,0.03443,-0.0223,0.9408,0.9896
1.000,0.2281,0.04140,0.03405,-0.0282,0.9295,0.9967
1.250,0.2800,0.04110,0.03379,-0.0339,0.9167,1.0000
1.500,0.3266,0.04070,0.03345,-0.0380,0.9007,1.0000
1.750,0.3819,0.03998,0.03280,-0.0431,0.8833,1.0000
2.000,0.4329,0.03921,0.03211,-0.0472,0.8674,1.0000
2.250,0.4823,0.03837,0.03136,-0.0509,0.8530,1.0000
2.500,0.5564,0.03692,0.03004,-0.0587,0.8420,1.0000
2.750,0.6272,0.03517,0.02843,-0.0655,0.8306,1.0000
3.000,0.6620,0.03410,0.02749,-0.0659,0.8164,1.0000
3.250,0.6971,0.03285,0.02635,-0.0660,0.8024,1.0000
3.500,0.7322,0.03130,0.02492,-0.0657,0.7881,1.0000
3.750,0.7628,0.02968,0.02342,-0.0644,0.7730,1.0000
4.000,0.7859,0.02815,0.02201,-0.0618,0.7547,1.0000
4.250,0.8062,0.02658,0.02056,-0.0587,0.7332,1.0000
4.500,0.8128,0.02571,0.01984,-0.0540,0.7011,1.0000
4.750,0.8060,0.02565,0.01990,-0.0478,0.6489,1.0000
5.000,0.8516,0.02228,0.01493,-0.0447,0.4348,1.0000
5.250,0.8521,0.02353,0.01543,-0.0402,0.3498,1.0000
5.500,0.8582,0.02455,0.01600,-0.0368,0.3043,1.0000
5.750,0.8673,0.02542,0.01658,-0.0340,0.2726,1.0000
6.000,0.8789,0.02621,0.01718,-0.0315,0.2494,1.0000
6.250,0.8917,0.02695,0.01779,-0.0294,0.2308,1.0000
6.500,0.9057,0.02769,0.01842,-0.0274,0.2152,1.0000
6.750,0.9214,0.02847,0.01908,-0.0257,0.2020,1.0000
7.000,0.9369,0.02919,0.01974,-0.0240,0.1902,1.0000
7.250,0.9527,0.02994,0.02054,-0.0222,0.1796,1.0000
7.500,0.9720,0.03085,0.02133,-0.0212,0.1702,1.0000
