Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1221-flap-il-1000000
Airfoil,s1221-flap-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,133.825
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s1221-flap-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.1843,0.10088,0.09916,-0.0587,0.9845,0.0128
-9.500,-0.1735,0.09813,0.09641,-0.0601,0.9820,0.0130
-9.250,-0.1613,0.09458,0.09287,-0.0630,0.9801,0.0130
-9.000,-0.1473,0.09128,0.08957,-0.0659,0.9786,0.0132
-8.750,-0.1307,0.08788,0.08617,-0.0695,0.9773,0.0136
-8.500,-0.1269,0.08487,0.08318,-0.0701,0.9719,0.0137
-8.250,-0.1155,0.08098,0.07929,-0.0734,0.9695,0.0142
-8.000,-0.1137,0.07097,0.06929,-0.0822,0.9671,0.0155
-7.000,-0.0192,0.01109,0.00836,-0.1587,0.9353,0.0193
-6.750,0.0163,0.00955,0.00686,-0.1621,0.9303,0.0198
-6.500,0.0691,0.00793,0.00507,-0.1702,0.9254,0.0206
-6.250,0.1170,0.01344,0.00952,-0.1859,0.9292,0.0138
-6.000,0.1684,0.01200,0.00787,-0.1914,0.9204,0.0136
-5.750,0.2378,0.01061,0.00624,-0.2005,0.9011,0.0132
-5.500,0.2767,0.01071,0.00552,-0.2028,0.7261,0.0131
-5.250,0.3009,0.01073,0.00516,-0.2022,0.6522,0.0132
-5.000,0.3297,0.01059,0.00474,-0.2025,0.5963,0.0134
-4.750,0.3601,0.01044,0.00436,-0.2032,0.5542,0.0137
-4.250,0.4229,0.01016,0.00374,-0.2047,0.5008,0.0148
-4.000,0.4541,0.01005,0.00350,-0.2053,0.4826,0.0154
-3.750,0.4866,0.00987,0.00319,-0.2062,0.4672,0.0161
-3.500,0.5177,0.00978,0.00300,-0.2068,0.4532,0.0172
-3.250,0.5484,0.00972,0.00285,-0.2072,0.4412,0.0184
-3.000,0.5793,0.00965,0.00271,-0.2077,0.4303,0.0215
-2.750,0.6199,0.00901,0.00242,-0.2109,0.4191,0.1571
-2.500,0.6524,0.00884,0.00243,-0.2119,0.4107,0.2419
-2.250,0.6810,0.00893,0.00247,-0.2118,0.4019,0.2592
-2.000,0.7101,0.00897,0.00251,-0.2118,0.3951,0.2718
-1.750,0.7385,0.00907,0.00257,-0.2117,0.3874,0.2855
-1.500,0.7668,0.00916,0.00262,-0.2115,0.3811,0.2960
-1.250,0.7953,0.00924,0.00269,-0.2114,0.3744,0.3049
-1.000,0.8232,0.00938,0.00274,-0.2111,0.3676,0.3095
-0.750,0.8525,0.00940,0.00276,-0.2112,0.3628,0.3140
-0.500,0.8813,0.00948,0.00281,-0.2112,0.3575,0.3179
-0.250,0.9095,0.00960,0.00288,-0.2110,0.3514,0.3218
0.000,0.9382,0.00966,0.00292,-0.2109,0.3478,0.3256
0.250,0.9668,0.00973,0.00298,-0.2109,0.3434,0.3304
0.500,0.9953,0.00983,0.00306,-0.2108,0.3391,0.3361
0.750,1.0234,0.00997,0.00316,-0.2106,0.3346,0.3417
1.000,1.0520,0.01002,0.00323,-0.2105,0.3321,0.3476
1.250,1.0807,0.01009,0.00332,-0.2105,0.3288,0.3552
1.500,1.1088,0.01020,0.00341,-0.2103,0.3253,0.3624
1.750,1.1371,0.01032,0.00353,-0.2102,0.3217,0.3724
2.000,1.1649,0.01048,0.00368,-0.2101,0.3182,0.3825
2.250,1.1935,0.01054,0.00379,-0.2100,0.3164,0.3947
2.500,1.2219,0.01062,0.00391,-0.2099,0.3142,0.4085
2.750,1.2502,0.01072,0.00405,-0.2098,0.3116,0.4244
3.000,1.2782,0.01083,0.00419,-0.2097,0.3088,0.4418
3.250,1.3060,0.01099,0.00436,-0.2096,0.3057,0.4602
3.500,1.3335,0.01119,0.00458,-0.2093,0.3023,0.4801
3.750,1.3618,0.01126,0.00473,-0.2093,0.3009,0.5019
4.000,1.3901,0.01134,0.00488,-0.2092,0.2988,0.5262
4.250,1.4183,0.01143,0.00504,-0.2091,0.2962,0.5525
4.500,1.4462,0.01155,0.00522,-0.2090,0.2933,0.5828
4.750,1.4739,0.01172,0.00543,-0.2089,0.2896,0.6171
5.000,1.5016,0.01190,0.00570,-0.2087,0.2859,0.6624
5.250,1.5295,0.01196,0.00591,-0.2086,0.2839,0.7154
5.500,1.5566,0.01209,0.00610,-0.2083,0.2815,0.7464
5.750,1.5833,0.01224,0.00629,-0.2079,0.2789,0.7656
6.000,1.6098,0.01242,0.00649,-0.2075,0.2757,0.7797
6.250,1.6356,0.01268,0.00674,-0.2069,0.2717,0.7915
6.500,1.6624,0.01280,0.00692,-0.2066,0.2688,0.8024
6.750,1.6893,0.01290,0.00707,-0.2063,0.2653,0.8133
7.000,1.7157,0.01305,0.00724,-0.2059,0.2604,0.8247
7.250,1.7413,0.01327,0.00748,-0.2054,0.2547,0.8378
7.500,1.7678,0.01336,0.00766,-0.2050,0.2507,0.8549
7.750,1.7879,0.01336,0.00781,-0.2033,0.2464,1.0000
8.000,1.8134,0.01365,0.00808,-0.2028,0.2409,1.0000
8.250,1.8395,0.01384,0.00830,-0.2024,0.2360,1.0000
8.500,1.8648,0.01411,0.00857,-0.2018,0.2290,1.0000
8.750,1.8899,0.01440,0.00886,-0.2013,0.2223,1.0000
9.000,1.9143,0.01476,0.00919,-0.2006,0.2131,1.0000
9.250,1.9385,0.01514,0.00954,-0.1999,0.2031,1.0000
9.500,1.9615,0.01563,0.00998,-0.1991,0.1901,1.0000
9.750,1.9837,0.01622,0.01050,-0.1981,0.1757,1.0000
10.000,2.0043,0.01696,0.01114,-0.1969,0.1590,1.0000
10.250,2.0237,0.01781,0.01189,-0.1955,0.1418,1.0000
10.500,2.0420,0.01873,0.01271,-0.1940,0.1241,1.0000
10.750,2.0595,0.01967,0.01357,-0.1923,0.1092,1.0000
11.000,2.0765,0.02058,0.01442,-0.1905,0.0972,1.0000
11.250,2.0923,0.02155,0.01534,-0.1885,0.0861,1.0000
11.500,2.1067,0.02255,0.01630,-0.1863,0.0767,1.0000
11.750,2.1180,0.02362,0.01735,-0.1835,0.0682,1.0000
12.000,2.1264,0.02470,0.01842,-0.1802,0.0613,1.0000
12.250,2.1359,0.02571,0.01946,-0.1772,0.0560,1.0000
12.500,2.1427,0.02694,0.02069,-0.1738,0.0508,1.0000
12.750,2.1520,0.02801,0.02181,-0.1710,0.0476,1.0000
13.000,2.1567,0.02944,0.02326,-0.1676,0.0438,1.0000
13.250,2.1639,0.03069,0.02458,-0.1646,0.0415,1.0000
13.500,2.1681,0.03222,0.02616,-0.1615,0.0390,1.0000
13.750,2.1699,0.03398,0.02797,-0.1582,0.0369,1.0000
14.000,2.1733,0.03567,0.02974,-0.1554,0.0352,1.0000
14.250,2.1757,0.03752,0.03168,-0.1526,0.0340,1.0000
14.500,2.1751,0.03973,0.03397,-0.1499,0.0328,1.0000
14.750,2.1702,0.04245,0.03677,-0.1471,0.0314,1.0000
15.000,2.1628,0.04564,0.04006,-0.1447,0.0301,1.0000
15.250,2.1583,0.04876,0.04331,-0.1431,0.0296,1.0000
15.500,2.1507,0.05258,0.04726,-0.1420,0.0290,1.0000
15.750,2.1400,0.05737,0.05219,-0.1420,0.0284,1.0000
16.000,2.1253,0.06332,0.05830,-0.1430,0.0278,1.0000
16.250,2.1059,0.07055,0.06569,-0.1450,0.0274,1.0000
16.500,2.0817,0.07896,0.07428,-0.1476,0.0271,1.0000
