Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s810-nr-200000
Airfoil,s810-nr
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,50
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-s810-nr-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.4696,0.09438,0.09041,-0.0843,0.8826,0.0285
-12.000,-0.4798,0.09078,0.08671,-0.0849,0.8771,0.0284
-11.750,-0.4959,0.08760,0.08337,-0.0850,0.8723,0.0285
-11.500,-0.5128,0.08466,0.08030,-0.0847,0.8674,0.0285
-11.250,-0.5357,0.08239,0.07786,-0.0832,0.8625,0.0285
-11.000,-0.5458,0.07974,0.07507,-0.0820,0.8588,0.0285
-10.750,-0.5647,0.07784,0.07301,-0.0795,0.8551,0.0286
-10.500,-0.5801,0.07605,0.07108,-0.0765,0.8514,0.0286
-10.250,-0.5950,0.06867,0.06360,-0.0754,0.8489,0.0292
-10.000,-0.5776,0.06142,0.05644,-0.0778,0.8473,0.0308
-9.750,-0.5815,0.05913,0.05404,-0.0756,0.8448,0.0313
-9.500,-0.5826,0.05681,0.05158,-0.0737,0.8427,0.0321
-9.250,-0.5823,0.05456,0.04921,-0.0719,0.8404,0.0336
-9.000,-0.5802,0.05279,0.04725,-0.0699,0.8381,0.0361
-8.750,-0.5757,0.05184,0.04602,-0.0673,0.8359,0.0383
-8.500,-0.5533,0.03697,0.03112,-0.0619,0.8310,0.0416
-8.250,-0.5370,0.03302,0.02720,-0.0625,0.8299,0.0437
-8.000,-0.5260,0.03056,0.02462,-0.0614,0.8286,0.0466
-7.750,-0.5165,0.02988,0.02364,-0.0591,0.8269,0.0515
-7.500,-0.5086,0.02643,0.01994,-0.0578,0.8255,0.0555
-7.250,-0.4891,0.02392,0.01744,-0.0580,0.8242,0.0597
-7.000,-0.4804,0.02240,0.01558,-0.0559,0.8227,0.0691
-6.750,-0.4586,0.02030,0.01349,-0.0562,0.8213,0.0763
-6.500,-0.4438,0.01838,0.01143,-0.0555,0.8198,0.0901
-5.500,-0.2958,0.02791,0.01945,-0.0588,0.8173,0.0403
-5.250,-0.1834,0.02505,0.01679,-0.0680,0.8184,0.0385
-5.000,-0.1584,0.02460,0.01637,-0.0669,0.8174,0.0377
-4.750,-0.1440,0.02405,0.01582,-0.0651,0.8163,0.0378
-4.500,-0.1351,0.02338,0.01514,-0.0629,0.8152,0.0385
-4.250,-0.1295,0.02269,0.01445,-0.0607,0.8139,0.0392
-4.000,-0.1270,0.02214,0.01387,-0.0583,0.8122,0.0401
-3.750,-0.1356,0.02169,0.01336,-0.0541,0.8097,0.0411
-3.500,-0.1393,0.02134,0.01292,-0.0504,0.8079,0.0453
-3.250,-0.1310,0.02124,0.01274,-0.0482,0.8064,0.0515
-3.000,-0.1227,0.02098,0.01240,-0.0457,0.8046,0.0645
-2.750,-0.1370,0.01941,0.01165,-0.0407,0.8026,0.3144
-2.500,-0.1339,0.02134,0.01497,-0.0347,0.8015,0.6482
-2.250,0.0367,0.03282,0.02674,-0.0400,0.8038,0.6866
-2.000,-0.0084,0.03087,0.02476,-0.0329,0.8014,0.6897
-1.750,0.0562,0.03238,0.02621,-0.0362,0.8012,0.6951
-1.500,0.0653,0.03260,0.02643,-0.0343,0.7992,0.6976
-1.250,-0.0245,0.03205,0.02596,-0.0209,0.7922,0.7064
-1.000,-0.0058,0.03208,0.02595,-0.0199,0.7903,0.7075
-0.750,0.0170,0.03199,0.02580,-0.0197,0.7888,0.7086
-0.500,0.0419,0.03188,0.02566,-0.0198,0.7876,0.7100
-0.250,-0.0476,0.03291,0.02675,-0.0036,0.7778,0.7153
0.000,-0.0226,0.03238,0.02613,-0.0052,0.7758,0.7178
0.250,0.0145,0.03186,0.02550,-0.0084,0.7743,0.7202
0.500,0.0558,0.03176,0.02538,-0.0109,0.7733,0.7211
0.750,0.0967,0.03162,0.02522,-0.0133,0.7725,0.7220
1.000,0.0402,0.03266,0.02629,-0.0014,0.7616,0.7244
1.250,0.0793,0.03249,0.02610,-0.0039,0.7599,0.7256
1.500,0.1230,0.03229,0.02588,-0.0070,0.7588,0.7269
1.750,0.1012,0.03295,0.02652,-0.0012,0.7486,0.7299
2.000,0.1393,0.03269,0.02623,-0.0038,0.7465,0.7320
2.250,0.1842,0.03234,0.02584,-0.0076,0.7451,0.7338
2.500,0.2282,0.03213,0.02568,-0.0104,0.7441,0.7346
2.750,0.2110,0.03288,0.02646,-0.0045,0.7326,0.7360
3.000,0.2529,0.03260,0.02622,-0.0068,0.7311,0.7371
3.250,0.2964,0.03237,0.02605,-0.0094,0.7299,0.7384
3.500,0.2891,0.03303,0.02675,-0.0052,0.7183,0.7405
3.750,0.3036,0.03338,0.02712,-0.0041,0.7103,0.7424
4.000,0.3360,0.03318,0.02696,-0.0054,0.7059,0.7440
4.250,0.3797,0.03262,0.02646,-0.0081,0.7039,0.7456
4.500,0.4300,0.03186,0.02579,-0.0117,0.7027,0.7472
4.750,0.4825,0.03093,0.02496,-0.0153,0.7012,0.7485
5.000,0.4854,0.03116,0.02526,-0.0118,0.6897,0.7501
5.250,0.4990,0.03123,0.02542,-0.0099,0.6796,0.7517
5.500,0.5604,0.02942,0.02380,-0.0137,0.6781,0.7531
