Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s810-nr-500000
Airfoil,s810-nr
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,83.2446
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-s810-nr-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.4508,0.08900,0.08556,-0.0774,0.7767,0.0121
-12.000,-0.4612,0.08503,0.08151,-0.0785,0.7751,0.0121
-11.750,-0.4762,0.08113,0.07752,-0.0792,0.7736,0.0121
-11.500,-0.4921,0.07749,0.07377,-0.0793,0.7721,0.0121
-11.250,-0.5119,0.07422,0.07038,-0.0785,0.7707,0.0121
-11.000,-0.5217,0.07126,0.06735,-0.0780,0.7691,0.0121
-10.750,-0.5382,0.06852,0.06449,-0.0764,0.7675,0.0121
-10.500,-0.5524,0.06602,0.06187,-0.0744,0.7659,0.0122
-10.250,-0.5613,0.06368,0.05943,-0.0725,0.7643,0.0122
-10.000,-0.5795,0.06163,0.05723,-0.0686,0.7626,0.0122
-9.750,-0.5895,0.05970,0.05515,-0.0652,0.7612,0.0122
-9.500,-0.5944,0.05746,0.05274,-0.0624,0.7599,0.0122
-9.250,-0.6177,0.05009,0.04512,-0.0587,0.7587,0.0127
-9.000,-0.6140,0.04699,0.04193,-0.0574,0.7577,0.0131
-8.750,-0.6066,0.04473,0.03955,-0.0559,0.7566,0.0133
-8.500,-0.5981,0.04262,0.03735,-0.0546,0.7555,0.0137
-8.250,-0.5869,0.04062,0.03521,-0.0533,0.7542,0.0141
-8.000,-0.5742,0.03871,0.03316,-0.0520,0.7529,0.0150
-7.750,-0.5581,0.03692,0.03120,-0.0507,0.7517,0.0161
-7.500,-0.5378,0.03581,0.02988,-0.0494,0.7506,0.0177
-7.250,-0.5168,0.03673,0.03059,-0.0478,0.7495,0.0188
-7.000,-0.5003,0.03589,0.02951,-0.0462,0.7485,0.0190
-6.750,-0.4803,0.02944,0.02279,-0.0459,0.7478,0.0205
-6.500,-0.4532,0.02750,0.02082,-0.0464,0.7470,0.0213
-6.250,-0.4267,0.02599,0.01922,-0.0467,0.7462,0.0224
-6.000,-0.3990,0.02470,0.01784,-0.0468,0.7455,0.0238
-5.750,-0.3705,0.02372,0.01675,-0.0470,0.7447,0.0258
-5.500,-0.3532,0.02438,0.01726,-0.0454,0.7438,0.0282
-5.250,-0.2341,0.01998,0.01284,-0.0558,0.7441,0.0178
-5.000,-0.2084,0.01943,0.01230,-0.0550,0.7436,0.0178
-4.750,-0.1920,0.01879,0.01167,-0.0533,0.7428,0.0178
-4.250,-0.1688,0.01734,0.01020,-0.0496,0.7408,0.0198
-4.000,-0.1672,0.01640,0.00923,-0.0465,0.7395,0.0201
