Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s828-nr-200000
Airfoil,s828-nr
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,63.8635
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s828-nr-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.2203,0.10379,0.10017,-0.1107,0.9418,0.0419
-12.000,-0.2203,0.09963,0.09601,-0.1130,0.9357,0.0430
-11.750,-0.2308,0.09339,0.08978,-0.1183,0.9304,0.0459
-11.500,-0.1868,0.08179,0.07834,-0.1143,0.9032,0.0485
-11.250,-0.1795,0.07929,0.07583,-0.1136,0.9004,0.0499
-11.000,-0.1835,0.07482,0.07137,-0.1153,0.8976,0.0507
-10.750,-0.2003,0.06786,0.06442,-0.1199,0.8950,0.0504
-10.500,-0.2270,0.06114,0.05763,-0.1239,0.8924,0.0501
-10.250,-0.2513,0.05631,0.05271,-0.1247,0.8899,0.0503
-10.000,-0.2697,0.05271,0.04902,-0.1241,0.8872,0.0508
-9.750,-0.2900,0.04937,0.04558,-0.1229,0.8836,0.0508
-9.500,-0.3055,0.04654,0.04266,-0.1206,0.8802,0.0517
-9.250,-0.3201,0.04413,0.04013,-0.1176,0.8772,0.0522
-9.000,-0.3367,0.04182,0.03769,-0.1134,0.8745,0.0530
-8.750,-0.3519,0.03995,0.03570,-0.1091,0.8707,0.0539
-8.500,-0.3625,0.03786,0.03345,-0.1050,0.8669,0.0550
-8.250,-0.4281,0.04166,0.03589,-0.0954,0.8668,0.0281
-8.000,-0.4236,0.03759,0.03138,-0.0913,0.8642,0.0220
-7.750,-0.4194,0.03328,0.02617,-0.0862,0.8622,0.0193
-7.500,-0.4012,0.03155,0.02409,-0.0846,0.8608,0.0190
-7.250,-0.3760,0.02920,0.02151,-0.0847,0.8598,0.0198
-7.000,-0.3738,0.02971,0.02210,-0.0813,0.8562,0.0222
-6.750,-0.3599,0.02915,0.02135,-0.0791,0.8537,0.0243
-6.500,-0.3249,0.02735,0.01931,-0.0805,0.8528,0.0249
-6.250,-0.2620,0.02445,0.01625,-0.0872,0.8533,0.0272
-6.000,-0.2430,0.02368,0.01551,-0.0860,0.8516,0.0321
-5.750,-0.2290,0.02305,0.01486,-0.0838,0.8497,0.0389
-5.500,-0.2193,0.02250,0.01434,-0.0807,0.8481,0.0519
-5.250,-0.2115,0.02200,0.01396,-0.0774,0.8468,0.0803
-5.000,-0.2960,0.02587,0.01763,-0.0574,0.8393,0.0451
-4.750,-0.3338,0.02700,0.01873,-0.0457,0.8365,0.0426
-4.500,-0.3422,0.02706,0.01875,-0.0392,0.8352,0.0492
-4.250,-0.3352,0.02647,0.01831,-0.0356,0.8339,0.0770
-4.000,-0.3354,0.02599,0.01817,-0.0309,0.8330,0.1341
-3.750,-0.3425,0.02559,0.01829,-0.0252,0.8325,0.2282
-3.500,-0.3595,0.02510,0.01844,-0.0177,0.8310,0.3580
-3.250,-0.3826,0.02460,0.01866,-0.0090,0.8308,0.5013
-3.000,-0.3862,0.02558,0.02099,-0.0007,0.8299,0.7969
-2.750,-0.0689,0.03046,0.02505,-0.0479,0.8321,0.8669
-2.500,0.0587,0.03108,0.02540,-0.0660,0.8332,0.8816
-2.250,0.1291,0.03133,0.02552,-0.0741,0.8335,0.8945
-2.000,-0.0738,0.03391,0.02842,-0.0333,0.8259,0.9046
-1.750,0.1674,0.03249,0.02656,-0.0721,0.8309,0.9166
-1.500,0.2335,0.03186,0.02583,-0.0801,0.8313,0.9195
-0.250,0.2636,0.03509,0.02900,-0.0655,0.8187,0.9600
0.000,0.2514,0.03607,0.03000,-0.0598,0.8146,0.9667
0.250,0.2526,0.03667,0.03060,-0.0565,0.8111,0.9724
0.500,0.2832,0.03675,0.03066,-0.0582,0.8086,0.9757
0.750,0.3154,0.03679,0.03069,-0.0599,0.8067,0.9789
1.000,0.3503,0.03681,0.03069,-0.0619,0.8051,0.9815
1.250,0.3976,0.03660,0.03049,-0.0662,0.8040,0.9840
1.500,0.3716,0.03762,0.03154,-0.0585,0.7952,0.9875
1.750,0.4066,0.03757,0.03149,-0.0606,0.7927,0.9895
2.000,0.4462,0.03745,0.03138,-0.0633,0.7910,0.9911
2.250,0.4905,0.03727,0.03124,-0.0668,0.7898,0.9924
2.500,0.4682,0.03815,0.03216,-0.0593,0.7792,0.9946
2.750,0.5099,0.03792,0.03196,-0.0624,0.7773,0.9957
3.000,0.5569,0.03762,0.03171,-0.0663,0.7760,0.9969
3.250,0.5421,0.03833,0.03246,-0.0599,0.7651,0.9980
3.500,0.5866,0.03792,0.03212,-0.0631,0.7631,0.9989
3.750,0.6299,0.03756,0.03184,-0.0662,0.7606,1.0000
4.000,0.6240,0.03792,0.03224,-0.0609,0.7503,1.0000
4.250,0.6739,0.03698,0.03141,-0.0643,0.7485,1.0000
4.500,0.7456,0.03509,0.02965,-0.0710,0.7474,1.0000
4.750,0.8961,0.02927,0.02409,-0.0897,0.7468,1.0000
5.000,0.7432,0.03510,0.02978,-0.0610,0.7248,1.0000
5.250,0.8404,0.03136,0.02624,-0.0706,0.7233,1.0000
5.500,1.0805,0.02017,0.01538,-0.1025,0.7211,1.0000
5.750,1.1109,0.01859,0.01388,-0.1018,0.7062,1.0000
6.000,1.1183,0.01812,0.01356,-0.0975,0.6884,1.0000
6.250,1.1172,0.01799,0.01355,-0.0917,0.6670,1.0000
6.750,1.1042,0.01729,0.01208,-0.0767,0.4978,1.0000
7.000,1.0721,0.01812,0.01267,-0.0655,0.4587,1.0000
7.250,1.0404,0.01927,0.01357,-0.0551,0.4171,1.0000
7.500,1.0106,0.02062,0.01467,-0.0456,0.3735,1.0000
7.750,0.9853,0.02203,0.01584,-0.0373,0.3306,1.0000
8.000,0.9622,0.02352,0.01707,-0.0298,0.2851,1.0000
8.250,0.9426,0.02502,0.01829,-0.0230,0.2378,1.0000
8.500,0.9273,0.02644,0.01944,-0.0171,0.1919,1.0000
8.750,0.9146,0.02784,0.02057,-0.0117,0.1491,1.0000
9.000,0.9045,0.02919,0.02167,-0.0067,0.1159,1.0000
9.250,0.8982,0.03040,0.02273,-0.0022,0.0925,1.0000
9.500,0.8935,0.03157,0.02379,0.0020,0.0777,1.0000
9.750,0.8919,0.03257,0.02478,0.0058,0.0672,1.0000
10.000,0.8889,0.03371,0.02591,0.0098,0.0598,1.0000
10.250,0.8897,0.03459,0.02680,0.0132,0.0538,1.0000
10.500,0.8895,0.03563,0.02787,0.0168,0.0488,1.0000
10.750,0.8927,0.03638,0.02869,0.0200,0.0447,1.0000
11.000,0.8947,0.03730,0.02959,0.0232,0.0413,1.0000
11.250,0.8997,0.03814,0.03050,0.0262,0.0373,1.0000
11.500,0.9050,0.03886,0.03131,0.0292,0.0343,1.0000
11.750,0.9082,0.03973,0.03215,0.0323,0.0310,1.0000
12.000,0.9192,0.04075,0.03329,0.0348,0.0276,1.0000
12.250,0.9276,0.04161,0.03428,0.0374,0.0255,1.0000
12.500,0.9284,0.04249,0.03520,0.0405,0.0233,1.0000
12.750,0.9438,0.04448,0.03733,0.0419,0.0205,1.0000
13.000,0.9478,0.04577,0.03881,0.0442,0.0191,1.0000
13.250,0.9531,0.04758,0.04083,0.0460,0.0170,1.0000
13.500,0.9599,0.04961,0.04302,0.0473,0.0162,1.0000
13.750,0.9667,0.05251,0.04606,0.0485,0.0153,1.0000
14.000,0.9631,0.05724,0.05114,0.0501,0.0148,1.0000
14.250,0.9627,0.05932,0.05341,0.0514,0.0150,1.0000
14.500,0.9428,0.06480,0.05924,0.0533,0.0147,1.0000
14.750,0.9300,0.06736,0.06204,0.0544,0.0145,1.0000
15.000,0.9134,0.07108,0.06605,0.0552,0.0140,1.0000
16.250,0.8212,0.09900,0.09497,0.0495,0.0144,1.0000
16.500,0.6293,0.10340,0.10017,0.0481,0.0185,1.0000
16.750,0.5992,0.11111,0.10802,0.0429,0.0192,1.0000
