Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc1095r8-il-50000
Airfoil,sc1095r8-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,24.4103
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-sc1095r8-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-6.750,-0.4718,0.09959,0.09294,0.0044,1.0000,0.2587
-6.500,-0.4900,0.09820,0.09168,0.0017,1.0000,0.2719
-6.250,-0.4776,0.09452,0.08804,0.0033,1.0000,0.2883
-6.000,-0.4770,0.09164,0.08525,0.0036,1.0000,0.3056
-5.750,-0.4440,0.08720,0.08081,0.0079,1.0000,0.3308
-5.500,-0.4546,0.08542,0.07916,0.0084,1.0000,0.3558
-5.250,-0.4386,0.08241,0.07620,0.0118,1.0000,0.3890
-5.000,-0.4365,0.08028,0.07416,0.0147,1.0000,0.4244
-4.750,-0.3992,0.07650,0.07038,0.0194,1.0000,0.4721
-4.500,-0.3868,0.07441,0.06836,0.0240,1.0000,0.5259
-4.250,-0.3584,0.07174,0.06570,0.0291,1.0000,0.5948
-4.000,-0.2956,0.06716,0.06107,0.0326,1.0000,0.6952
-3.000,-0.3383,0.04306,0.03527,-0.0248,1.0000,0.2050
-2.750,-0.3094,0.03959,0.03105,-0.0250,1.0000,0.1702
-2.500,-0.2875,0.03700,0.02831,-0.0240,1.0000,0.1634
-2.250,-0.2635,0.03457,0.02541,-0.0231,1.0000,0.1553
-2.000,-0.2387,0.03285,0.02321,-0.0219,1.0000,0.1497
-1.750,-0.2154,0.03085,0.02102,-0.0208,1.0000,0.1470
-1.500,-0.1912,0.02919,0.01913,-0.0196,1.0000,0.1460
-1.250,-0.1670,0.02790,0.01756,-0.0184,1.0000,0.1487
-1.000,-0.1423,0.02686,0.01622,-0.0171,1.0000,0.1516
-0.750,-0.1179,0.02536,0.01478,-0.0161,1.0000,0.1555
-0.500,-0.0934,0.02439,0.01382,-0.0149,1.0000,0.1637
-0.250,-0.0687,0.02347,0.01292,-0.0136,1.0000,0.1752
0.000,-0.0439,0.02264,0.01214,-0.0125,1.0000,0.1910
0.250,-0.0195,0.02172,0.01141,-0.0117,1.0000,0.2230
0.500,0.0102,0.01798,0.01057,-0.0085,1.0000,1.0000
0.750,0.0283,0.01832,0.01042,-0.0072,1.0000,1.0000
1.000,0.0459,0.01873,0.01057,-0.0063,1.0000,1.0000
1.250,0.0631,0.01924,0.01091,-0.0057,1.0000,1.0000
1.500,0.0797,0.01990,0.01143,-0.0054,1.0000,1.0000
1.750,0.1428,0.02086,0.01224,-0.0130,0.9793,1.0000
2.000,0.2516,0.02123,0.01252,-0.0261,0.9298,1.0000
2.250,0.3389,0.02065,0.01196,-0.0334,0.8785,1.0000
2.500,0.3885,0.01996,0.01124,-0.0334,0.8257,1.0000
2.750,0.4186,0.01943,0.01057,-0.0299,0.7695,1.0000
3.000,0.4400,0.01921,0.01008,-0.0255,0.7067,1.0000
3.250,0.4597,0.01931,0.00977,-0.0213,0.6408,1.0000
3.500,0.4795,0.01977,0.00973,-0.0178,0.5752,1.0000
3.750,0.5010,0.02053,0.00998,-0.0152,0.5158,1.0000
4.000,0.5236,0.02145,0.01046,-0.0132,0.4651,1.0000
4.250,0.5473,0.02248,0.01117,-0.0118,0.4247,1.0000
4.500,0.5716,0.02351,0.01191,-0.0105,0.3933,1.0000
4.750,0.5965,0.02460,0.01286,-0.0094,0.3677,1.0000
5.000,0.6215,0.02568,0.01375,-0.0084,0.3473,1.0000
5.250,0.6465,0.02682,0.01477,-0.0075,0.3299,1.0000
5.500,0.6716,0.02812,0.01613,-0.0068,0.3158,1.0000
5.750,0.6963,0.02952,0.01760,-0.0060,0.3036,1.0000
6.000,0.7209,0.03085,0.01886,-0.0052,0.2929,1.0000
6.250,0.7448,0.03231,0.02045,-0.0045,0.2828,1.0000
6.500,0.7685,0.03409,0.02230,-0.0039,0.2763,1.0000
6.750,0.7899,0.03616,0.02473,-0.0033,0.2698,1.0000
7.000,0.8140,0.03772,0.02622,-0.0026,0.2637,1.0000
7.250,0.8321,0.04023,0.02909,-0.0020,0.2582,1.0000
7.500,0.8491,0.04288,0.03208,-0.0016,0.2534,1.0000
7.750,0.8658,0.04574,0.03520,-0.0012,0.2507,1.0000
8.000,0.8811,0.04888,0.03857,-0.0008,0.2489,1.0000
8.250,0.8966,0.05200,0.04185,-0.0005,0.2472,1.0000
8.500,0.9082,0.05575,0.04577,-0.0003,0.2456,1.0000
8.750,0.9080,0.06087,0.05124,-0.0009,0.2454,1.0000
9.000,0.9042,0.06653,0.05719,-0.0021,0.2464,1.0000
9.250,0.8492,0.08028,0.07134,-0.0101,0.2618,1.0000
