Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20012-il-1000000
Airfoil,sc20012-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,71.7587
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20012-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.000,-1.1266,0.13239,0.12994,0.0144,1.0000,0.0158
-18.750,-1.1716,0.11888,0.11625,0.0066,1.0000,0.0157
-18.500,-1.2097,0.10714,0.10434,-0.0002,1.0000,0.0157
-18.250,-1.2439,0.09645,0.09349,-0.0063,1.0000,0.0157
-18.000,-1.2730,0.08682,0.08369,-0.0118,1.0000,0.0157
-17.750,-1.2971,0.07837,0.07507,-0.0167,1.0000,0.0157
-17.500,-1.3160,0.07112,0.06767,-0.0208,1.0000,0.0157
-17.250,-1.3317,0.06485,0.06124,-0.0241,1.0000,0.0157
-17.000,-1.3438,0.05960,0.05584,-0.0265,1.0000,0.0157
-16.750,-1.3533,0.05507,0.05118,-0.0282,1.0000,0.0158
-16.500,-1.3594,0.05128,0.04726,-0.0292,1.0000,0.0158
-16.250,-1.3622,0.04805,0.04391,-0.0299,1.0000,0.0158
-16.000,-1.3732,0.04408,0.03979,-0.0301,1.0000,0.0159
-15.750,-1.3827,0.04049,0.03606,-0.0299,1.0000,0.0161
-15.500,-1.3875,0.03754,0.03298,-0.0294,1.0000,0.0162
-15.250,-1.3882,0.03510,0.03044,-0.0286,1.0000,0.0164
-15.000,-1.3862,0.03302,0.02826,-0.0277,1.0000,0.0165
-14.750,-1.3820,0.03121,0.02636,-0.0266,1.0000,0.0166
-14.500,-1.3760,0.02963,0.02471,-0.0254,1.0000,0.0168
-14.250,-1.3684,0.02826,0.02325,-0.0240,1.0000,0.0169
-14.000,-1.3598,0.02701,0.02193,-0.0226,1.0000,0.0171
-13.750,-1.3500,0.02590,0.02075,-0.0210,1.0000,0.0172
-13.500,-1.3396,0.02490,0.01967,-0.0192,1.0000,0.0174
-13.250,-1.3286,0.02397,0.01867,-0.0173,1.0000,0.0176
-13.000,-1.3172,0.02314,0.01776,-0.0153,1.0000,0.0178
-12.750,-1.3043,0.02237,0.01693,-0.0134,1.0000,0.0180
-12.500,-1.2883,0.02163,0.01612,-0.0119,1.0000,0.0182
-12.250,-1.2707,0.02093,0.01535,-0.0107,1.0000,0.0185
-12.000,-1.2520,0.02027,0.01462,-0.0096,1.0000,0.0187
-11.750,-1.2320,0.01967,0.01396,-0.0086,1.0000,0.0189
-11.500,-1.2140,0.01886,0.01308,-0.0074,1.0000,0.0192
-11.250,-1.1955,0.01804,0.01223,-0.0063,1.0000,0.0198
-11.000,-1.1743,0.01745,0.01160,-0.0054,1.0000,0.0203
-10.750,-1.1520,0.01694,0.01107,-0.0048,1.0000,0.0208
-10.500,-1.1292,0.01646,0.01055,-0.0041,1.0000,0.0214
-10.250,-1.1059,0.01601,0.01006,-0.0036,1.0000,0.0220
-10.000,-1.0823,0.01558,0.00959,-0.0030,1.0000,0.0226
-9.750,-1.0601,0.01496,0.00897,-0.0023,1.0000,0.0238
-9.500,-1.0359,0.01457,0.00858,-0.0018,1.0000,0.0249
-9.250,-1.0111,0.01424,0.00821,-0.0015,1.0000,0.0261
-9.000,-0.9874,0.01376,0.00775,-0.0009,1.0000,0.0279
-8.750,-0.9623,0.01344,0.00744,-0.0005,1.0000,0.0297
-8.500,-0.9375,0.01310,0.00709,-0.0001,1.0000,0.0315
-8.250,-0.9127,0.01278,0.00680,0.0003,1.0000,0.0336
-8.000,-0.8872,0.01257,0.00657,0.0006,1.0000,0.0354
-7.750,-0.8633,0.01222,0.00625,0.0012,1.0000,0.0375
-7.500,-0.8329,0.01197,0.00601,0.0005,0.9965,0.0396
-7.250,-0.7983,0.01178,0.00580,-0.0011,0.9886,0.0413
