Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc2110-il-1000000
Airfoil,sc2110-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,91.6784
Max Cl/Cd alpha,9.25
Url,http://airfoiltools.com/polar/csv?polar=xf-sc2110-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4674,0.08132,0.07982,0.0003,0.9194,0.0115
-8.500,-0.4736,0.07625,0.07476,-0.0018,0.9165,0.0116
-8.250,-0.6114,0.07367,0.07203,-0.0077,0.9200,0.0111
-8.000,-0.6117,0.06920,0.06748,-0.0098,0.9157,0.0112
-7.750,-0.6085,0.06527,0.06347,-0.0111,0.9121,0.0113
-7.500,-0.6023,0.06166,0.05976,-0.0119,0.9088,0.0114
-7.250,-0.5919,0.05813,0.05613,-0.0129,0.9056,0.0115
-7.000,-0.5799,0.05464,0.05253,-0.0136,0.9021,0.0117
-6.750,-0.5665,0.05115,0.04892,-0.0140,0.8988,0.0119
-6.500,-0.5517,0.04757,0.04518,-0.0141,0.8959,0.0124
-6.250,-0.5311,0.04048,0.03761,-0.0129,0.8929,0.0139
-6.000,-0.5206,0.03381,0.03056,-0.0126,0.8897,0.0142
-5.750,-0.4994,0.03190,0.02856,-0.0126,0.8867,0.0144
-5.500,-0.4772,0.03016,0.02670,-0.0125,0.8838,0.0146
-5.250,-0.4542,0.02839,0.02479,-0.0122,0.8811,0.0149
-5.000,-0.4306,0.02650,0.02272,-0.0118,0.8784,0.0154
-4.750,-0.4051,0.02431,0.02030,-0.0115,0.8755,0.0162
-4.500,-0.3791,0.02082,0.01619,-0.0103,0.8715,0.0178
-4.250,-0.3536,0.01646,0.01148,-0.0091,0.8667,0.0132
-4.000,-0.3285,0.01315,0.00773,-0.0078,0.8618,0.0120
-3.750,-0.3004,0.01225,0.00675,-0.0076,0.8564,0.0123
-3.500,-0.2729,0.01154,0.00596,-0.0074,0.8510,0.0127
-3.250,-0.2456,0.01101,0.00534,-0.0070,0.8461,0.0133
-3.000,-0.2168,0.01057,0.00487,-0.0071,0.8406,0.0138
-2.750,-0.1892,0.00984,0.00408,-0.0070,0.8346,0.0144
-2.500,-0.1612,0.00948,0.00370,-0.0069,0.8289,0.0151
-2.250,-0.1319,0.00918,0.00340,-0.0071,0.8224,0.0161
-2.000,-0.1034,0.00895,0.00313,-0.0071,0.8155,0.0171
-1.750,-0.0741,0.00859,0.00276,-0.0073,0.8084,0.0188
-1.500,-0.0451,0.00839,0.00255,-0.0074,0.7999,0.0205
-1.250,-0.0156,0.00814,0.00227,-0.0076,0.7903,0.0224
-1.000,0.0136,0.00795,0.00206,-0.0078,0.7816,0.0252
-0.750,0.0433,0.00776,0.00186,-0.0081,0.7700,0.0295
-0.500,0.0729,0.00759,0.00168,-0.0083,0.7553,0.0379
-0.250,0.1025,0.00588,0.00138,-0.0099,0.7374,0.4979
0.000,0.1319,0.00514,0.00134,-0.0105,0.7084,0.7307
0.250,0.1613,0.00514,0.00134,-0.0107,0.6597,0.7890
0.500,0.1908,0.00543,0.00141,-0.0111,0.5678,0.8352
0.750,0.2198,0.00603,0.00157,-0.0116,0.4350,0.8658
1.000,0.2471,0.00642,0.00172,-0.0116,0.3620,0.8882
1.250,0.2746,0.00665,0.00182,-0.0114,0.3264,0.9027
1.500,0.3026,0.00684,0.00189,-0.0115,0.2998,0.9127
1.750,0.3304,0.00701,0.00196,-0.0114,0.2778,0.9194
2.000,0.3582,0.00716,0.00203,-0.0114,0.2602,0.9266
2.250,0.3858,0.00730,0.00209,-0.0113,0.2455,0.9333
2.500,0.4126,0.00744,0.00217,-0.0110,0.2320,0.9401
2.750,0.4399,0.00757,0.00224,-0.0109,0.2201,0.9469
3.000,0.4654,0.00768,0.00231,-0.0103,0.2095,0.9538
3.250,0.4918,0.00782,0.00239,-0.0100,0.1996,0.9608
3.500,0.5164,0.00790,0.00244,-0.0092,0.1915,0.9684
3.750,0.5423,0.00800,0.00251,-0.0087,0.1836,0.9759
4.000,0.5695,0.00811,0.00257,-0.0086,0.1758,0.9840
4.250,0.6013,0.00825,0.00267,-0.0096,0.1681,0.9893
4.500,0.6339,0.00840,0.00278,-0.0107,0.1611,0.9948
4.750,0.6669,0.00857,0.00291,-0.0120,0.1545,1.0000
5.000,0.6958,0.00874,0.00305,-0.0124,0.1489,1.0000
5.250,0.7246,0.00897,0.00322,-0.0129,0.1417,1.0000
5.500,0.7539,0.00911,0.00336,-0.0134,0.1380,1.0000
5.750,0.7829,0.00931,0.00353,-0.0138,0.1329,1.0000
6.000,0.8117,0.00956,0.00375,-0.0143,0.1275,1.0000
6.250,0.8407,0.00972,0.00391,-0.0147,0.1242,1.0000
6.500,0.8694,0.00994,0.00410,-0.0151,0.1197,1.0000
6.750,0.8977,0.01024,0.00437,-0.0155,0.1143,1.0000
7.000,0.9264,0.01041,0.00456,-0.0158,0.1122,1.0000
7.250,0.9547,0.01062,0.00478,-0.0162,0.1091,1.0000
7.500,0.9827,0.01089,0.00502,-0.0165,0.1053,1.0000
7.750,1.0102,0.01122,0.00535,-0.0167,0.1011,1.0000
8.000,1.0383,0.01141,0.00557,-0.0170,0.0992,1.0000
8.250,1.0660,0.01165,0.00582,-0.0172,0.0966,1.0000
8.500,1.0933,0.01194,0.00610,-0.0174,0.0936,1.0000
8.750,1.1196,0.01238,0.00654,-0.0175,0.0892,1.0000
9.000,1.1472,0.01258,0.00677,-0.0177,0.0878,1.0000
9.250,1.1744,0.01281,0.00704,-0.0179,0.0856,1.0000
9.500,1.2011,0.01311,0.00733,-0.0180,0.0827,1.0000
9.750,1.2268,0.01354,0.00775,-0.0181,0.0789,1.0000
10.000,1.2531,0.01384,0.00809,-0.0181,0.0768,1.0000
10.250,1.2796,0.01411,0.00840,-0.0182,0.0750,1.0000
10.500,1.3055,0.01443,0.00876,-0.0182,0.0727,1.0000
10.750,1.3306,0.01483,0.00915,-0.0182,0.0698,1.0000
11.000,1.3552,0.01530,0.00963,-0.0181,0.0668,1.0000
11.250,1.3809,0.01557,0.00996,-0.0181,0.0652,1.0000
11.500,1.4058,0.01593,0.01035,-0.0180,0.0629,1.0000
11.750,1.4298,0.01637,0.01080,-0.0178,0.0603,1.0000
12.000,1.4526,0.01693,0.01139,-0.0175,0.0574,1.0000
12.250,1.4771,0.01725,0.01177,-0.0174,0.0559,1.0000
12.500,1.5006,0.01767,0.01223,-0.0171,0.0535,1.0000
12.750,1.5226,0.01823,0.01278,-0.0168,0.0506,1.0000
13.000,1.5443,0.01876,0.01337,-0.0163,0.0482,1.0000
13.250,1.5664,0.01923,0.01389,-0.0159,0.0460,1.0000
13.500,1.5863,0.01988,0.01453,-0.0153,0.0429,1.0000
13.750,1.6058,0.02052,0.01523,-0.0147,0.0402,1.0000
14.000,1.6241,0.02121,0.01595,-0.0139,0.0369,1.0000
14.250,1.6395,0.02207,0.01683,-0.0128,0.0331,1.0000
14.500,1.6488,0.02318,0.01793,-0.0110,0.0282,1.0000
14.750,1.6551,0.02455,0.01931,-0.0091,0.0225,1.0000
15.000,1.6561,0.02638,0.02115,-0.0069,0.0164,1.0000
15.250,1.6549,0.02845,0.02326,-0.0048,0.0125,1.0000
15.500,1.6560,0.03038,0.02529,-0.0031,0.0106,1.0000
15.750,1.6553,0.03256,0.02756,-0.0017,0.0096,1.0000
16.000,1.6559,0.03472,0.02984,-0.0006,0.0090,1.0000
16.250,1.6552,0.03710,0.03233,0.0003,0.0086,1.0000
16.500,1.6514,0.03994,0.03529,0.0008,0.0082,1.0000
16.750,1.6440,0.04335,0.03883,0.0008,0.0079,1.0000
17.000,1.6330,0.04749,0.04311,0.0002,0.0077,1.0000
17.250,1.6171,0.05267,0.04846,-0.0013,0.0075,1.0000
17.500,1.5964,0.05925,0.05522,-0.0043,0.0075,1.0000
17.750,1.5684,0.06792,0.06410,-0.0091,0.0075,1.0000
18.000,1.5287,0.07971,0.07615,-0.0160,0.0077,1.0000
18.250,1.4747,0.09370,0.09039,-0.0232,0.0082,1.0000
18.500,1.4083,0.10942,0.10635,-0.0310,0.0088,1.0000
