Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sd2083-il-50000
Airfoil,sd2083-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,37.4229
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-sd2083-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.000,-0.3762,0.09629,0.08975,-0.0233,1.0000,0.2522
-7.750,-0.3863,0.09440,0.08801,-0.0229,1.0000,0.2620
-7.500,-0.3981,0.09315,0.08690,-0.0215,1.0000,0.2735
-7.250,-0.3918,0.08992,0.08370,-0.0196,1.0000,0.2867
-7.000,-0.3903,0.08716,0.08102,-0.0173,1.0000,0.2996
-6.750,-0.3932,0.08486,0.07882,-0.0147,1.0000,0.3114
-6.500,-0.4030,0.08302,0.07710,-0.0114,1.0000,0.3242
-6.250,-0.4122,0.08122,0.07541,-0.0083,1.0000,0.3376
-6.000,-0.4185,0.07923,0.07351,-0.0049,1.0000,0.3544
-5.750,-0.4305,0.07767,0.07206,-0.0015,1.0000,0.3725
-5.500,-0.4364,0.07550,0.06998,0.0022,1.0000,0.3929
-4.250,-0.4203,0.05330,0.04712,-0.0243,1.0000,0.2484
-4.000,-0.4279,0.05422,0.04847,-0.0130,1.0000,0.3252
-3.750,-0.3462,0.03930,0.03073,-0.0354,1.0000,0.1292
-3.500,-0.3240,0.03647,0.02756,-0.0350,1.0000,0.1259
-3.250,-0.2989,0.03380,0.02432,-0.0347,1.0000,0.1218
-3.000,-0.2733,0.03158,0.02157,-0.0341,1.0000,0.1205
-2.750,-0.2485,0.02981,0.01939,-0.0334,1.0000,0.1219
-2.500,-0.2240,0.02839,0.01762,-0.0326,1.0000,0.1280
-2.250,-0.2004,0.02710,0.01621,-0.0318,1.0000,0.1398
-2.000,-0.1758,0.02585,0.01485,-0.0308,1.0000,0.1549
-1.750,-0.1495,0.02452,0.01363,-0.0301,1.0000,0.1955
-1.500,-0.1091,0.01976,0.01204,-0.0297,1.0000,1.0000
-1.250,-0.0885,0.02003,0.01168,-0.0289,1.0000,1.0000
-1.000,-0.0685,0.02033,0.01154,-0.0282,1.0000,1.0000
-0.750,-0.0488,0.02067,0.01151,-0.0276,1.0000,1.0000
-0.500,-0.0291,0.02104,0.01157,-0.0270,1.0000,1.0000
-0.250,-0.0096,0.02145,0.01167,-0.0264,1.0000,1.0000
0.000,0.0098,0.02189,0.01187,-0.0259,1.0000,1.0000
0.250,0.0291,0.02237,0.01214,-0.0255,1.0000,1.0000
0.500,0.0481,0.02289,0.01247,-0.0250,1.0000,1.0000
0.750,0.0670,0.02344,0.01285,-0.0246,1.0000,1.0000
1.000,0.0856,0.02404,0.01330,-0.0243,1.0000,1.0000
1.250,0.1041,0.02468,0.01382,-0.0239,1.0000,1.0000
1.500,0.1222,0.02537,0.01440,-0.0237,1.0000,1.0000
1.750,0.1401,0.02611,0.01504,-0.0234,1.0000,1.0000
2.000,0.1729,0.02730,0.01616,-0.0262,0.9932,1.0000
2.250,0.2210,0.02883,0.01764,-0.0317,0.9765,1.0000
2.500,0.2691,0.03034,0.01912,-0.0370,0.9593,1.0000
2.750,0.3139,0.03168,0.02046,-0.0415,0.9411,1.0000
3.000,0.3532,0.03280,0.02161,-0.0447,0.9217,1.0000
3.250,0.4000,0.03397,0.02287,-0.0490,0.9023,1.0000
3.500,0.4358,0.03487,0.02385,-0.0511,0.8812,1.0000
3.750,0.4813,0.03571,0.02481,-0.0545,0.8602,1.0000
4.000,0.5168,0.03639,0.02564,-0.0560,0.8376,1.0000
4.250,0.5682,0.03677,0.02621,-0.0594,0.8162,1.0000
4.500,0.6007,0.03713,0.02673,-0.0599,0.7919,1.0000
4.750,0.6433,0.03713,0.02700,-0.0613,0.7684,1.0000
5.000,0.7007,0.03632,0.02650,-0.0637,0.7459,1.0000
5.250,0.7419,0.03564,0.02609,-0.0638,0.7202,1.0000
5.500,0.7866,0.03432,0.02512,-0.0633,0.6946,1.0000
5.750,0.8357,0.03231,0.02344,-0.0625,0.6676,1.0000
6.000,0.8849,0.02993,0.02136,-0.0611,0.6362,1.0000
6.250,0.9255,0.02806,0.01971,-0.0588,0.5976,1.0000
6.500,0.9596,0.02684,0.01850,-0.0562,0.5514,1.0000
6.750,0.9855,0.02656,0.01810,-0.0533,0.5007,1.0000
7.000,1.0078,0.02693,0.01820,-0.0506,0.4486,1.0000
7.250,1.0246,0.02795,0.01908,-0.0478,0.3977,1.0000
7.500,1.0426,0.02922,0.02001,-0.0454,0.3484,1.0000
7.750,1.0565,0.03082,0.02145,-0.0428,0.3021,1.0000
8.000,1.0704,0.03260,0.02306,-0.0402,0.2584,1.0000
8.250,1.0833,0.03460,0.02486,-0.0377,0.2172,1.0000
8.500,1.0944,0.03674,0.02673,-0.0351,0.1782,1.0000
8.750,1.1002,0.03882,0.02883,-0.0321,0.1450,1.0000
9.000,1.1104,0.04140,0.03135,-0.0297,0.1189,1.0000
9.250,1.1259,0.04431,0.03426,-0.0281,0.1018,1.0000
9.500,1.1405,0.04823,0.03862,-0.0262,0.0939,1.0000
9.750,1.1608,0.05216,0.04250,-0.0256,0.0868,1.0000
10.000,1.1592,0.05577,0.04677,-0.0225,0.0843,1.0000
10.250,1.1555,0.05961,0.05113,-0.0197,0.0825,1.0000
10.500,1.1480,0.06356,0.05550,-0.0170,0.0814,1.0000
10.750,1.1352,0.06753,0.05982,-0.0144,0.0808,1.0000
11.000,1.1168,0.07143,0.06400,-0.0116,0.0811,1.0000
11.250,1.0958,0.07569,0.06849,-0.0098,0.0820,1.0000
11.500,1.0725,0.08044,0.07344,-0.0092,0.0828,1.0000
11.750,1.0490,0.08581,0.07896,-0.0097,0.0837,1.0000
12.000,1.0277,0.09171,0.08497,-0.0114,0.0848,1.0000
12.250,1.0090,0.09814,0.09147,-0.0137,0.0858,1.0000
12.500,0.9969,0.10467,0.09804,-0.0160,0.0865,1.0000
12.750,0.9006,0.13105,0.12428,-0.0382,0.1099,1.0000
13.000,0.9011,0.13737,0.13059,-0.0399,0.1117,1.0000
