Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sd7032-il-50000
Airfoil,sd7032-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,31.9463
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sd7032-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.250,-0.3441,0.10755,0.10109,-0.0284,1.0000,0.2098
-8.000,-0.3170,0.10163,0.09514,-0.0263,1.0000,0.2204
-7.750,-0.3474,0.10265,0.09640,-0.0259,1.0000,0.2247
-7.500,-0.3236,0.09736,0.09110,-0.0240,1.0000,0.2364
-7.250,-0.3337,0.09551,0.08939,-0.0224,1.0000,0.2425
-7.000,-0.3390,0.09388,0.08786,-0.0201,1.0000,0.2524
-6.750,-0.3384,0.09117,0.08524,-0.0178,1.0000,0.2608
-6.500,-0.3661,0.09126,0.08552,-0.0147,1.0000,0.2685
-6.250,-0.3611,0.08830,0.08263,-0.0119,1.0000,0.2809
-6.000,-0.3651,0.08610,0.08053,-0.0092,1.0000,0.2928
-5.750,-0.3746,0.08427,0.07881,-0.0068,1.0000,0.3047
-5.500,-0.3793,0.08222,0.07686,-0.0039,1.0000,0.3208
-5.250,-0.3854,0.08030,0.07504,-0.0015,1.0000,0.3351
-5.000,-0.3890,0.07828,0.07310,0.0014,1.0000,0.3539
-4.750,-0.4064,0.07723,0.07217,0.0020,1.0000,0.3750
-4.500,-0.3976,0.07410,0.06907,0.0072,1.0000,0.3942
-3.750,-0.2889,0.04666,0.03971,-0.0487,1.0000,0.1493
-3.500,-0.2562,0.04171,0.03418,-0.0519,1.0000,0.1327
-3.250,-0.2271,0.03839,0.03036,-0.0537,1.0000,0.1299
-3.000,-0.1974,0.03562,0.02704,-0.0551,1.0000,0.1298
-2.750,-0.1683,0.03324,0.02413,-0.0559,1.0000,0.1295
-2.500,-0.1407,0.03143,0.02182,-0.0562,1.0000,0.1328
-2.250,-0.1162,0.03005,0.02023,-0.0561,1.0000,0.1417
-2.000,-0.0912,0.02895,0.01874,-0.0557,1.0000,0.1503
-1.750,-0.0686,0.02799,0.01773,-0.0551,1.0000,0.1663
-1.500,-0.0457,0.02713,0.01693,-0.0545,1.0000,0.1931
-1.250,-0.0176,0.02581,0.01611,-0.0548,1.0000,0.2793
-1.000,-0.0147,0.02236,0.01566,-0.0477,1.0000,1.0000
-0.750,0.0087,0.02296,0.01552,-0.0482,1.0000,1.0000
-0.500,0.0298,0.02363,0.01572,-0.0486,1.0000,1.0000
-0.250,0.0713,0.02478,0.01638,-0.0527,0.9900,1.0000
0.000,0.1222,0.02608,0.01725,-0.0583,0.9744,1.0000
0.250,0.1721,0.02731,0.01810,-0.0636,0.9585,1.0000
0.500,0.2204,0.02844,0.01894,-0.0684,0.9426,1.0000
0.750,0.2598,0.02933,0.01961,-0.0715,0.9256,1.0000
1.000,0.2990,0.03018,0.02029,-0.0744,0.9083,1.0000
