Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sg6041-il-200000
Airfoil,sg6041-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,72.8156
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-sg6041-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.4366,0.08647,0.08299,-0.0397,1.0000,0.0472
-8.500,-0.4530,0.08219,0.07881,-0.0429,1.0000,0.0480
-8.250,-0.4712,0.07888,0.07557,-0.0434,1.0000,0.0480
-8.000,-0.4926,0.07647,0.07320,-0.0413,1.0000,0.0479
-7.750,-0.5155,0.07363,0.07033,-0.0399,1.0000,0.0483
-7.500,-0.5407,0.07119,0.06771,-0.0380,1.0000,0.0488
-7.250,-0.5524,0.06896,0.06531,-0.0357,1.0000,0.0490
-7.000,-0.5593,0.06641,0.06257,-0.0336,1.0000,0.0492
-6.750,-0.5627,0.05948,0.05581,-0.0327,1.0000,0.0504
-6.500,-0.5589,0.05682,0.05317,-0.0309,1.0000,0.0512
-6.250,-0.5543,0.05445,0.05077,-0.0292,1.0000,0.0525
-6.000,-0.5489,0.05190,0.04813,-0.0277,1.0000,0.0544
-5.750,-0.5336,0.04852,0.04449,-0.0283,0.9985,0.0579
-5.500,-0.5075,0.04325,0.03866,-0.0316,0.9943,0.0633
-5.250,-0.4821,0.04096,0.03641,-0.0329,0.9907,0.0679
-5.000,-0.4534,0.03062,0.02463,-0.0323,0.9873,0.0407
-4.750,-0.4217,0.02624,0.01965,-0.0327,0.9851,0.0339
-4.500,-0.3899,0.02302,0.01576,-0.0328,0.9827,0.0321
-4.250,-0.3599,0.02139,0.01388,-0.0331,0.9789,0.0324
-4.000,-0.3267,0.02017,0.01252,-0.0340,0.9754,0.0345
-3.750,-0.2894,0.01953,0.01169,-0.0358,0.9724,0.0389
-3.500,-0.2600,0.01818,0.01040,-0.0363,0.9686,0.0434
-3.250,-0.2299,0.01726,0.00944,-0.0367,0.9637,0.0514
-3.000,-0.1948,0.01652,0.00877,-0.0383,0.9600,0.0690
-2.750,-0.1582,0.01585,0.00819,-0.0403,0.9569,0.1028
-2.500,-0.1341,0.01507,0.00773,-0.0400,0.9501,0.1565
-2.250,-0.1127,0.01295,0.00762,-0.0397,0.9458,0.6014
-2.000,-0.0864,0.01278,0.00787,-0.0385,0.9409,0.7528
-1.750,-0.0620,0.01276,0.00791,-0.0370,0.9339,0.8067
-1.500,-0.0273,0.01274,0.00790,-0.0375,0.9301,0.8466
-1.250,-0.0041,0.01274,0.00790,-0.0359,0.9227,0.8769
-1.000,0.0296,0.01270,0.00784,-0.0362,0.9178,0.9049
-0.750,0.0749,0.01271,0.00779,-0.0388,0.9154,0.9331
-0.500,0.1468,0.01297,0.00798,-0.0463,0.9161,0.9637
-0.250,0.2103,0.01288,0.00780,-0.0532,0.9152,0.9712
0.000,0.2647,0.01267,0.00753,-0.0584,0.9114,0.9745
0.250,0.3124,0.01242,0.00724,-0.0624,0.9052,0.9790
0.500,0.3627,0.01203,0.00681,-0.0666,0.9010,0.9820
0.750,0.4068,0.01172,0.00649,-0.0698,0.8929,0.9863
1.000,0.4537,0.01129,0.00604,-0.0733,0.8860,0.9894
1.250,0.4938,0.01098,0.00573,-0.0756,0.8749,0.9948
1.500,0.5359,0.01063,0.00538,-0.0783,0.8636,0.9995
1.750,0.5584,0.01038,0.00512,-0.0771,0.8496,1.0000
2.000,0.5772,0.01018,0.00491,-0.0752,0.8345,1.0000
2.250,0.5949,0.01001,0.00473,-0.0730,0.8178,1.0000
2.500,0.6125,0.00986,0.00456,-0.0708,0.7998,1.0000
2.750,0.6318,0.00972,0.00437,-0.0688,0.7807,1.0000
3.000,0.6480,0.00967,0.00430,-0.0664,0.7577,1.0000
