Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sg6042-il-1000000
Airfoil,sg6042-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,145.509
Max Cl/Cd alpha,2.25
Url,http://airfoiltools.com/polar/csv?polar=xf-sg6042-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.2941,0.09340,0.09174,-0.0550,0.9926,0.0101
-9.000,-0.2829,0.08931,0.08765,-0.0588,0.9906,0.0103
-7.750,-0.2847,0.02202,0.01884,-0.1250,0.9570,0.0090
-7.500,-0.2639,0.01936,0.01576,-0.1253,0.9509,0.0091
-7.250,-0.2400,0.01618,0.01214,-0.1265,0.9470,0.0097
-7.000,-0.2157,0.01542,0.01128,-0.1263,0.9409,0.0100
-6.750,-0.1876,0.01480,0.01057,-0.1267,0.9362,0.0105
-6.500,-0.1582,0.01380,0.00937,-0.1273,0.9321,0.0111
-6.250,-0.1337,0.01305,0.00846,-0.1268,0.9253,0.0116
-6.000,-0.1048,0.01257,0.00783,-0.1270,0.9203,0.0119
-5.750,-0.0804,0.01116,0.00624,-0.1267,0.9145,0.0126
-5.500,-0.0544,0.01058,0.00560,-0.1265,0.9085,0.0131
-5.250,-0.0261,0.01018,0.00513,-0.1266,0.9037,0.0138
-5.000,0.0000,0.00979,0.00469,-0.1263,0.8981,0.0145
-4.750,0.0274,0.00959,0.00442,-0.1261,0.8927,0.0152
-4.500,0.0542,0.00892,0.00365,-0.1260,0.8876,0.0160
-4.250,0.0801,0.00855,0.00326,-0.1256,0.8820,0.0168
-4.000,0.1074,0.00829,0.00295,-0.1255,0.8765,0.0177
-3.750,0.1352,0.00806,0.00267,-0.1254,0.8715,0.0187
-3.500,0.1620,0.00782,0.00239,-0.1252,0.8661,0.0199
-3.250,0.1895,0.00759,0.00213,-0.1251,0.8611,0.0216
-3.000,0.2174,0.00745,0.00195,-0.1250,0.8560,0.0235
