Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ssca09-il-1000000
Airfoil,ssca09-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,86.9679
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-ssca09-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.6458,0.08173,0.08034,0.0011,0.9695,0.0093
-8.500,-0.6661,0.07398,0.07252,-0.0065,0.9570,0.0092
-8.250,-0.6721,0.06906,0.06751,-0.0087,0.9498,0.0093
-8.000,-0.6712,0.06443,0.06278,-0.0106,0.9441,0.0095
-7.750,-0.6679,0.06011,0.05834,-0.0116,0.9388,0.0097
-7.500,-0.6624,0.05571,0.05378,-0.0121,0.9344,0.0101
-7.250,-0.6527,0.05063,0.04851,-0.0126,0.9298,0.0108
-7.000,-0.5975,0.03054,0.02816,-0.0143,0.9174,0.0119
-6.750,-0.6072,0.02081,0.01794,-0.0128,0.9129,0.0123
-6.500,-0.5898,0.01917,0.01622,-0.0124,0.9095,0.0127
-6.250,-0.5711,0.01759,0.01453,-0.0120,0.9064,0.0131
-6.000,-0.5504,0.01580,0.01261,-0.0118,0.9030,0.0140
-5.750,-0.5236,0.01507,0.01158,-0.0106,0.8996,0.0160
-5.500,-0.5033,0.01297,0.00917,-0.0097,0.8963,0.0161
-4.750,-0.4573,0.01548,0.01023,-0.0054,0.8949,0.0122
-4.500,-0.4311,0.01428,0.00894,-0.0050,0.8920,0.0116
-4.250,-0.4040,0.01275,0.00729,-0.0048,0.8888,0.0113
-4.000,-0.3771,0.01173,0.00618,-0.0046,0.8853,0.0112
-3.750,-0.3503,0.01095,0.00533,-0.0043,0.8820,0.0113
-3.500,-0.3233,0.01037,0.00468,-0.0041,0.8789,0.0115
-3.250,-0.2951,0.00999,0.00425,-0.0041,0.8757,0.0119
-3.000,-0.2672,0.00920,0.00341,-0.0042,0.8722,0.0132
-2.750,-0.2388,0.00893,0.00312,-0.0043,0.8687,0.0146
-2.500,-0.2107,0.00869,0.00285,-0.0043,0.8651,0.0159
-2.250,-0.1823,0.00834,0.00247,-0.0043,0.8596,0.0189
-2.000,-0.1543,0.00812,0.00222,-0.0042,0.8514,0.0223
-1.750,-0.1263,0.00782,0.00193,-0.0041,0.8398,0.0348
-1.500,-0.0986,0.00715,0.00167,-0.0043,0.8287,0.1598
-1.250,-0.0711,0.00578,0.00138,-0.0052,0.8210,0.4805
-1.000,-0.0426,0.00512,0.00130,-0.0056,0.8150,0.6532
-0.750,-0.0140,0.00487,0.00128,-0.0058,0.8085,0.7292
-0.500,0.0144,0.00474,0.00127,-0.0057,0.8010,0.7782
-0.250,0.0422,0.00462,0.00127,-0.0055,0.7926,0.8249
0.000,0.0695,0.00455,0.00129,-0.0051,0.7845,0.8581
