Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-tsagi12-il-100000
Airfoil,tsagi12-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,49.5898
Max Cl/Cd alpha,7.75
Url,http://airfoiltools.com/polar/csv?polar=xf-tsagi12-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.4630,0.10460,0.09958,-0.0223,1.0000,0.1229
-10.000,-0.4758,0.10087,0.09594,-0.0257,1.0000,0.1282
-9.750,-0.5191,0.09595,0.09118,-0.0346,1.0000,0.1298
-9.500,-0.4741,0.09291,0.08804,-0.0268,1.0000,0.1348
-9.250,-0.4766,0.08942,0.08460,-0.0279,1.0000,0.1400
-9.000,-0.5223,0.08452,0.07984,-0.0346,1.0000,0.1436
-8.750,-0.5756,0.08242,0.07773,-0.0331,1.0000,0.1444
-8.500,-0.5102,0.07724,0.07262,-0.0320,1.0000,0.1519
-8.250,-0.5377,0.07436,0.06978,-0.0305,1.0000,0.1561
-8.000,-0.6068,0.07392,0.06909,-0.0266,1.0000,0.1594
-7.750,-0.5547,0.06795,0.06341,-0.0268,1.0000,0.1658
-7.500,-0.6100,0.06809,0.06322,-0.0215,1.0000,0.1743
-7.250,-0.6359,0.04991,0.04411,-0.0181,1.0000,0.0857
-7.000,-0.6384,0.04645,0.04053,-0.0141,1.0000,0.0824
-6.750,-0.6470,0.04327,0.03704,-0.0088,1.0000,0.0803
-6.500,-0.6521,0.04084,0.03433,-0.0039,1.0000,0.0801
-6.250,-0.6557,0.03839,0.03154,0.0010,1.0000,0.0795
-6.000,-0.6562,0.03603,0.02882,0.0055,1.0000,0.0793
-5.750,-0.6531,0.03384,0.02624,0.0095,1.0000,0.0790
-5.500,-0.6461,0.03203,0.02411,0.0128,1.0000,0.0802
-5.250,-0.6371,0.03069,0.02245,0.0158,1.0000,0.0833
-5.000,-0.5982,0.02890,0.01995,0.0139,0.9925,0.0877
-4.750,-0.5562,0.02656,0.01757,0.0105,0.9853,0.0949
-4.500,-0.5118,0.02500,0.01564,0.0075,0.9768,0.1026
-4.250,-0.4621,0.02365,0.01421,0.0031,0.9697,0.1157
-4.000,-0.4202,0.02229,0.01291,0.0003,0.9599,0.1304
-3.750,-0.3769,0.02111,0.01193,-0.0030,0.9517,0.1568
-3.500,-0.3367,0.01997,0.01104,-0.0056,0.9428,0.1936
-3.250,-0.3034,0.01883,0.01036,-0.0070,0.9329,0.2590
-3.000,-0.1734,0.01786,0.01208,-0.0214,0.9468,0.9028
-2.750,-0.0798,0.01887,0.01268,-0.0320,0.9470,0.9441
-2.500,0.0359,0.01886,0.01233,-0.0479,0.9510,0.9781
-2.250,0.1306,0.01796,0.01118,-0.0614,0.9494,1.0000
-2.000,0.1808,0.01745,0.01050,-0.0665,0.9364,1.0000
-1.750,0.2258,0.01700,0.00991,-0.0705,0.9209,1.0000
-1.500,0.2644,0.01666,0.00944,-0.0731,0.9036,1.0000
-1.250,0.2967,0.01643,0.00909,-0.0743,0.8855,1.0000
-1.000,0.3243,0.01629,0.00883,-0.0744,0.8676,1.0000
-0.750,0.3478,0.01623,0.00866,-0.0737,0.8504,1.0000
-0.500,0.3690,0.01623,0.00855,-0.0725,0.8339,1.0000
-0.250,0.3886,0.01627,0.00850,-0.0709,0.8174,1.0000
0.000,0.4078,0.01634,0.00849,-0.0693,0.8013,1.0000
0.250,0.4272,0.01641,0.00850,-0.0678,0.7859,1.0000
0.500,0.4468,0.01650,0.00851,-0.0662,0.7709,1.0000
0.750,0.4667,0.01659,0.00853,-0.0646,0.7564,1.0000
1.000,0.4869,0.01669,0.00856,-0.0631,0.7425,1.0000
1.250,0.5069,0.01681,0.00866,-0.0617,0.7283,1.0000
1.500,0.5270,0.01695,0.00876,-0.0602,0.7143,1.0000
1.750,0.5474,0.01711,0.00890,-0.0589,0.7009,1.0000
2.000,0.5680,0.01728,0.00905,-0.0575,0.6881,1.0000
2.250,0.5889,0.01745,0.00921,-0.0562,0.6761,1.0000
2.500,0.6109,0.01760,0.00931,-0.0550,0.6653,1.0000
2.750,0.6318,0.01779,0.00952,-0.0538,0.6534,1.0000
3.000,0.6524,0.01804,0.00982,-0.0525,0.6417,1.0000
3.250,0.6737,0.01827,0.01007,-0.0513,0.6311,1.0000
3.500,0.6965,0.01842,0.01019,-0.0502,0.6216,1.0000
3.750,0.7164,0.01872,0.01058,-0.0489,0.6100,1.0000
4.000,0.7373,0.01900,0.01094,-0.0477,0.5995,1.0000
4.250,0.7605,0.01916,0.01107,-0.0466,0.5906,1.0000
4.500,0.7801,0.01948,0.01151,-0.0452,0.5792,1.0000
4.750,0.8004,0.01980,0.01192,-0.0439,0.5687,1.0000
5.000,0.8231,0.01998,0.01214,-0.0427,0.5595,1.0000
5.250,0.8433,0.02028,0.01255,-0.0413,0.5486,1.0000
5.500,0.8629,0.02059,0.01298,-0.0398,0.5372,1.0000
5.750,0.8836,0.02077,0.01323,-0.0383,0.5254,1.0000
6.000,0.9045,0.02080,0.01333,-0.0367,0.5118,1.0000
6.250,0.9247,0.02081,0.01339,-0.0349,0.4969,1.0000
6.500,0.9440,0.02074,0.01336,-0.0329,0.4794,1.0000
6.750,0.9637,0.02039,0.01292,-0.0306,0.4576,1.0000
7.000,0.9778,0.02028,0.01288,-0.0278,0.4324,1.0000
7.250,0.9926,0.02026,0.01289,-0.0251,0.4083,1.0000
