Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-ui1720-il-1000000
Airfoil,ui1720-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,110.554
Max Cl/Cd alpha,16.25
Url,http://airfoiltools.com/polar/csv?polar=xf-ui1720-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.000,-0.7449,0.09525,0.09301,-0.0155,1.0004,0.0157
-13.750,-0.7642,0.08794,0.08564,-0.0201,1.0004,0.0158
-13.500,-1.0263,0.03211,0.02896,-0.0757,1.0004,0.0137
-13.250,-1.0184,0.02718,0.02377,-0.0798,1.0004,0.0142
-13.000,-1.0010,0.02493,0.02138,-0.0808,1.0004,0.0146
-12.750,-0.9805,0.02338,0.01973,-0.0811,1.0004,0.0150
-12.500,-0.9586,0.02212,0.01837,-0.0812,1.0004,0.0155
-12.250,-0.9357,0.02105,0.01720,-0.0811,1.0004,0.0159
-12.000,-0.9126,0.01996,0.01600,-0.0809,1.0004,0.0164
-11.750,-0.8899,0.01868,0.01464,-0.0809,1.0004,0.0171
-11.500,-0.8657,0.01780,0.01371,-0.0806,1.0004,0.0178
-11.250,-0.8409,0.01708,0.01291,-0.0802,1.0004,0.0185
-11.000,-0.8158,0.01642,0.01217,-0.0797,1.0004,0.0192
-10.750,-0.6755,0.01496,0.01010,-0.1039,0.8008,0.0221
-10.500,-0.6619,0.01524,0.00947,-0.1013,0.5251,0.0233
-10.250,-0.6376,0.01502,0.00891,-0.1006,0.4314,0.0247
-10.000,-0.6122,0.01467,0.00833,-0.1001,0.3725,0.0263
-9.750,-0.5861,0.01435,0.00784,-0.0997,0.3354,0.0283
-9.500,-0.5596,0.01400,0.00738,-0.0993,0.3116,0.0305
-9.250,-0.5325,0.01373,0.00701,-0.0989,0.2977,0.0330
-9.000,-0.5050,0.01349,0.00674,-0.0986,0.2885,0.0357
-8.750,-0.4774,0.01333,0.00652,-0.0982,0.2814,0.0381
-8.500,-0.4495,0.01324,0.00636,-0.0978,0.2751,0.0405
-8.250,-0.4214,0.01312,0.00624,-0.0974,0.2725,0.0426
-8.000,-0.3930,0.01310,0.00617,-0.0971,0.2694,0.0446
-7.750,-0.3650,0.01302,0.00601,-0.0967,0.2665,0.0463
-7.500,-0.3369,0.01297,0.00594,-0.0963,0.2633,0.0478
-7.250,-0.3087,0.01299,0.00591,-0.0959,0.2601,0.0494
-7.000,-0.2802,0.01303,0.00587,-0.0955,0.2585,0.0508
-6.750,-0.2524,0.01277,0.00561,-0.0952,0.2578,0.0523
-6.500,-0.2241,0.01271,0.00553,-0.0948,0.2568,0.0536
-6.250,-0.1957,0.01266,0.00544,-0.0945,0.2558,0.0549
-6.000,-0.1673,0.01265,0.00536,-0.0941,0.2548,0.0562
-5.750,-0.1394,0.01241,0.00509,-0.0937,0.2538,0.0577
-5.500,-0.1112,0.01233,0.00502,-0.0934,0.2529,0.0591
-5.250,-0.0829,0.01229,0.00494,-0.0931,0.2520,0.0605
-5.000,-0.0546,0.01223,0.00483,-0.0927,0.2510,0.0617
-4.750,-0.0263,0.01220,0.00475,-0.0923,0.2502,0.0626
-4.500,0.0015,0.01191,0.00442,-0.0920,0.2493,0.0640
-4.250,0.0295,0.01177,0.00427,-0.0916,0.2483,0.0652
-4.000,0.0576,0.01170,0.00418,-0.0912,0.2471,0.0663
-3.750,0.0856,0.01167,0.00411,-0.0909,0.2460,0.0676
-3.500,0.1135,0.01165,0.00406,-0.0904,0.2449,0.0687
-3.250,0.1414,0.01166,0.00403,-0.0900,0.2439,0.0694
-3.000,0.1691,0.01159,0.00394,-0.0896,0.2431,0.0705
-2.750,0.1973,0.01144,0.00379,-0.0893,0.2429,0.0720
-2.500,0.2256,0.01137,0.00371,-0.0890,0.2427,0.0733
-2.250,0.2539,0.01132,0.00365,-0.0886,0.2425,0.0746
-2.000,0.2822,0.01129,0.00360,-0.0883,0.2422,0.0759
-1.750,0.3106,0.01129,0.00358,-0.0880,0.2420,0.0773
-1.500,0.3388,0.01122,0.00351,-0.0877,0.2417,0.0795
-1.250,0.3671,0.01120,0.00349,-0.0873,0.2414,0.0819
-1.000,0.3954,0.01121,0.00350,-0.0870,0.2411,0.0844
-0.750,0.4236,0.01122,0.00350,-0.0867,0.2409,0.0874
-0.500,0.4518,0.01122,0.00352,-0.0864,0.2406,0.0927
-0.250,0.4801,0.01123,0.00356,-0.0861,0.2403,0.1000
0.000,0.5082,0.01124,0.00361,-0.0858,0.2400,0.1123
